"Ang et al. 1985, Spec. 9"	
1484	
0	0
0.50414	18.466
1.3443	39.24
2.1846	58.859
3.1928	79.632
4.2012	100.41
5.1252	116.57
6.1336	132.72
7.142	153.49
7.9819	168.5
8.9063	188.12
9.5786	203.12
10.503	222.74
11.259	236.59
12.099	252.75
12.855	270.06
13.695	286.22
14.452	302.38
15.544	315.07
16.384	324.31
17.225	326.62
17.561	320.84
17.645	309.3
17.14	291.99
16.636	278.14
15.796	260.83
14.704	236.59
13.695	216.97
12.435	189.27
11.511	169.66
10.251	144.26
8.9063	121.18
8.066	103.87
6.8898	81.941
5.2934	55.398
4.1171	31.161
2.7727	8.0789
1.2603	-17.312
0	-43.856
-1.0923	-64.628
-2.3526	-92.327
-3.8651	-121.18
-5.3774	-148.88
-6.5537	-170.81
-8.2342	-207.74
-9.7465	-236.59
-11.007	-263.14
-12.771	-291.99
-14.2	-313.92
-15.46	-322
-15.964	-325.46
-16.3	-322
-16.132	-304.69
-15.712	-286.22
-15.124	-267.75
-14.032	-242.36
-12.603	-212.36
-11.427	-184.66
-10.083	-153.49
-8.6543	-126.95
-7.478	-102.71
-5.9654	-72.711
-4.033	-41.548
-3.0249	-21.928
-1.5964	1.1541
0.50414	39.24
2.1846	65.785
3.6129	93.484
5.3774	124.64
7.142	154.65
9.0744	188.12
10.755	212.36
12.351	240.05
14.368	271.22
15.796	289.68
16.888	303.53
17.392	310.45
17.225	295.45
16.552	274.68
15.376	249.29
13.864	215.82
12.771	190.43
11.595	170.81
10.167	144.26
8.8222	121.18
7.3939	95.792
6.3856	73.863
4.3691	39.24
2.5206	5.7707
1.0083	-19.62
-0.16804	-39.24
-1.4284	-58.859
-3.2769	-88.867
-4.7051	-111.95
-6.5537	-143.11
-8.1501	-171.96
-9.4104	-196.2
-10.671	-216.97
-12.099	-244.67
-13.864	-274.68
-15.04	-293.14
-15.796	-304.69
-16.3	-310.45
-16.132	-301.22
-15.796	-287.37
-15.292	-272.37
-14.284	-245.83
-13.276	-219.28
-12.015	-193.89
-10.503	-163.89
-9.4104	-139.65
-7.8141	-107.33
-6.3017	-76.171
-4.5372	-47.32
-3.0249	-24.236
-1.4284	2.3082
0	30.007
1.2603	51.933
2.7727	79.632
4.3691	110.8
6.3856	141.96
8.066	170.81
9.9146	200.81
11.679	227.36
13.359	252.75
14.704	271.22
16.384	295.45
17.14	303.53
17.476	303.53
16.552	280.45
15.376	252.75
14.2	223.9
12.771	193.89
11.007	159.27
9.4945	131.57
7.8981	102.71
6.7219	80.789
4.9573	50.781
3.5288	21.928
1.6804	-10.387
-0.16804	-39.24
-1.5964	-64.628
-3.781	-98.101
-5.7975	-131.57
-8.4861	-177.73
-10.083	-206.58
-11.679	-234.28
-13.528	-267.75
-14.956	-286.22
-15.88	-297.76
-16.3	-301.22
-15.544	-278.14
-14.62	-251.6
-12.939	-213.51
-11.091	-177.73
-9.4104	-141.96
-7.478	-103.87
-5.8816	-69.245
-4.033	-39.24
-2.0165	-4.6164
-0.16804	23.082
1.5124	54.242
3.3609	92.327
4.7892	117.72
6.9738	151.19
8.6543	184.66
10.419	210.05
12.519	241.21
14.284	267.75
16.384	293.14
17.14	302.38
17.392	303.53
16.888	283.91
15.88	261.98
14.62	229.67
13.023	199.66
11.511	169.66
9.5786	136.19
7.8981	103.87
6.8057	84.249
5.2934	55.398
3.781	27.699
1.7645	-8.0789
0.084021	-34.623
-1.0923	-53.09
-2.7727	-79.632
-4.4531	-108.49
-5.9654	-132.72
-7.5618	-162.73
-9.3264	-196.2
-11.007	-221.59
-12.855	-246.98
-14.704	-275.83
-15.796	-290.83
-16.3	-296.61
-15.544	-273.53
-14.452	-245.83
-12.351	-201.97
-10.755	-165.04
-8.8222	-126.95
-6.9738	-90.019
-4.8732	-51.933
-2.8567	-15.003
-0.42012	24.236
1.6804	63.476
3.697	96.945
5.2934	126.95
7.142	159.27
8.9063	189.27
10.503	211.2
12.435	242.36
14.284	270.06
16.216	293.14
17.056	302.38
17.476	303.53
16.552	278.14
15.292	246.98
13.528	207.74
11.427	163.89
9.4945	132.72
7.3099	92.327
5.2934	57.707
3.697	28.853
1.8485	-3.4623
0.33609	-32.315
-0.84021	-48.472
-2.6886	-79.632
-4.7892	-116.57
-6.8898	-151.19
-8.9903	-193.89
-11.091	-227.36
-13.528	-264.29
-15.208	-287.37
-16.3	-301.22
-15.796	-281.6
-14.956	-261.98
-13.864	-236.59
-12.435	-205.43
-10.839	-170.81
-8.9903	-131.57
-7.0579	-93.484
-4.3691	-46.164
-2.6886	-16.158
-0.42012	24.236
2.2686	70.402
4.3691	108.49
6.4696	143.11
8.9903	183.5
10.923	213.51
13.528	252.75
15.292	275.83
17.14	304.69
18.149	318.53
19.829	333.54
21.93	341.61
23.526	342.77
24.703	343.92
25.291	342.77
25.291	335.85
24.87	318.53
24.114	291.99
22.854	263.14
21.509	234.28
20.333	208.89
18.821	182.35
17.056	147.73
15.208	120.03
13.023	88.867
10.839	55.398
8.6543	26.544
6.0495	-4.6164
4.2852	-27.699
2.3526	-51.933
0.25206	-76.171
-1.5124	-94.636
-4.033	-122.34
-5.9654	-144.26
-7.8981	-176.58
-9.7465	-205.43
-11.931	-241.21
-13.948	-273.53
-15.964	-302.38
-17.645	-325.46
-19.661	-338.15
-21.846	-346.23
-23.022	-346.23
-23.694	-346.23
-23.694	-335.85
-23.526	-312.76
-22.938	-291.99
-21.93	-263.14
-20.417	-228.51
-18.401	-186.97
-16.72	-153.49
-14.704	-123.49
-13.107	-94.636
-11.007	-63.476
-9.4945	-45.012
-7.3939	-13.85
-5.2093	13.85
-2.8567	40.394
-1.0083	65.785
0.67219	81.941
2.1006	99.253
4.3691	122.34
6.3017	141.96
8.4861	168.5
10.503	188.12
12.603	211.2
14.536	235.44
16.384	251.6
18.317	272.37
20.081	289.68
21.846	303.53
23.358	317.38
24.366	325.46
24.87	328.92
25.291	327.77
25.206	312.76
24.366	280.45
22.434	242.36
21.594	226.21
19.997	197.35
18.485	170.81
16.3	131.57
13.78	92.327
10.671	49.629
8.4861	21.928
4.8732	-23.082
2.1846	-51.933
-0.33609	-80.789
-2.3526	-102.71
-4.9573	-131.57
-7.5618	-154.65
-9.6624	-178.89
-12.267	-211.2
-15.796	-251.6
-18.065	-280.45
-20.501	-303.53
-22.266	-324.31
-23.778	-335.85
-24.534	-342.77
-25.039	-346.23
-24.366	-323.15
-22.938	-289.68
-21.089	-255.06
-19.493	-222.74
-17.225	-180.04
-14.704	-132.72
-12.687	-98.101
-10.419	-61.168
-7.9819	-25.39
-5.8816	1.1541
-2.8567	34.623
0.16804	70.402
2.2686	98.101
5.2934	128.1
7.9819	160.42
10.671	189.27
14.452	223.9
17.056	249.29
19.493	273.53
21.258	285.06
22.77	297.76
24.282	311.61
25.291	317.38
24.786	302.38
24.03	276.99
22.854	249.29
21.342	220.44
19.493	188.12
17.056	147.73
15.124	116.57
12.687	80.789
9.9987	42.702
7.5618	6.9245
5.0414	-20.774
1.9325	-54.242
-0.42012	-81.941
-2.2686	-99.253
-5.5453	-131.57
-8.3182	-160.42
-10.419	-183.5
-12.603	-212.36
-15.124	-240.05
-17.645	-272.37
-19.913	-297.76
-22.182	-317.38
-23.694	-331.23
-24.786	-337
-24.366	-323.15
-23.19	-294.3
-21.678	-260.83
-19.913	-229.67
-18.065	-195.05
-16.216	-160.42
-14.284	-125.8
-12.351	-92.327
-9.9146	-55.398
-7.3099	-15.003
-4.4531	18.466
-1.5964	54.242
1.0923	81.941
3.1087	105.02
4.9573	126.95
7.73	151.19
10.335	183.5
12.183	201.97
14.452	222.74
16.384	240.05
18.065	258.52
19.745	273.53
21.173	286.22
23.106	302.38
24.534	313.92
25.291	317.38
24.954	302.38
24.114	280.45
22.77	248.14
21.173	215.82
18.821	176.58
17.056	141.96
14.788	108.49
12.435	71.554
10.839	45.012
8.5702	18.466
6.6378	-5.7707
4.2852	-32.315
2.1846	-51.933
0	-77.323
-2.2686	-100.41
-4.4531	-121.18
-6.7219	-145.42
-9.2423	-174.27
-11.847	-204.28
-14.452	-234.28
-16.804	-261.98
-19.325	-290.83
-21.089	-306.99
-23.526	-326.62
-24.618	-331.23
-23.862	-311.61
-22.266	-279.29
-20.753	-245.83
-18.317	-199.66
-16.048	-156.96
-13.948	-121.18
-11.931	-86.558
-9.7465	-55.398
-7.6459	-24.236
-4.8732	9.2327
-2.1006	43.856
0.75618	73.863
3.1087	102.71
5.6294	130.41
8.3182	155.8
10.671	181.19
13.443	210.05
16.216	237.75
18.569	261.98
21.426	285.06
23.358	302.38
24.45	311.61
25.291	313.92
24.366	288.53
23.274	261.98
22.014	231.97
20.081	196.2
18.569	166.19
16.888	137.34
14.284	100.41
11.847	63.476
9.5786	32.315
7.3939	1.1541
4.1171	-25.39
1.9325	-48.472
0.084021	-69.245
-1.8485	-91.175
-4.1171	-116.57
-6.8898	-144.26
-9.6624	-171.96
-11.595	-195.05
-13.948	-222.74
-15.964	-246.98
-18.569	-274.68
-21.006	-301.22
-23.358	-320.84
-24.618	-326.62
-24.114	-309.3
-22.77	-283.91
-21.006	-253.9
-19.157	-214.66
-17.056	-171.96
-15.208	-137.34
-12.939	-100.41
-10.587	-62.324
-7.6459	-19.62
-3.781	26.544
-1.8485	48.472
0.75618	76.171
3.445	105.02
5.7975	130.41
8.066	156.96
9.9146	177.73
12.687	205.43
15.628	234.28
17.645	252.75
20.081	275.83
22.77	297.76
25.206	318.53
26.802	331.23
29.157	345.08
31.003	349.7
32.179	350.85
33.02	352.01
33.525	352.01
33.442	340.46
32.936	322
31.844	291.99
30.417	264.29
28.651	235.44
27.14	203.12
25.542	178.89
23.61	146.57
21.846	117.72
20.165	92.327
18.233	65.785
15.964	39.24
13.864	16.158
11.343	-6.9245
9.3264	-24.236
6.6378	-49.629
3.5288	-76.171
0.58816	-99.253
-1.7645	-121.18
-4.5372	-146.57
-6.3856	-160.42
-9.3264	-188.12
-12.015	-213.51
-14.032	-234.28
-16.72	-256.21
-19.325	-289.68
-21.089	-308.15
-23.526	-334.69
-25.626	-346.23
-27.308	-352.01
-29.324	-358.93
-30.584	-361.24
-31.341	-362.39
-31.928	-362.39
-31.509	-343.92
-30.752	-317.38
-29.576	-290.83
-27.81	-256.21
-26.132	-221.59
-24.282	-186.97
-22.014	-150.03
-20.081	-118.87
-18.485	-91.175
-16.3	-62.324
-14.284	-38.086
-12.771	-21.928
-10.083	3.4623
-7.478	25.39
-5.5453	42.702
-2.6048	65.785
-0.084021	86.558
2.3526	105.02
4.8732	122.34
7.73	143.11
10.923	170.81
14.2	198.51
16.72	218.13
19.829	243.52
22.602	263.14
25.71	287.37
28.4	306.99
30.919	324.31
32.852	338.15
33.358	340.46
33.271	334.69
33.104	320.84
32.433	301.22
31.509	282.76
29.995	252.75
28.651	226.21
27.224	201.97
25.794	177.73
23.946	145.42
22.014	115.41
20.081	87.714
17.392	53.09
15.124	25.39
12.603	0
9.9987	-23.082
7.5618	-41.548
3.9489	-69.245
1.5124	-88.867
-1.4284	-110.8
-4.1171	-131.57
-6.4696	-145.42
-8.9063	-166.19
-11.259	-188.12
-14.2	-212.36
-17.476	-241.21
-20.081	-267.75
-22.602	-288.53
-25.039	-308.15
-26.97	-323.15
-30.165	-342.77
-31.341	-350.85
-31.676	-352.01
-31.593	-338.15
-31.003	-316.22
-29.743	-290.83
-28.064	-258.52
-26.383	-223.9
-24.786	-193.89
-22.938	-161.58
-21.258	-133.88
-19.157	-99.253
-17.476	-76.171
-15.628	-50.781
-13.864	-33.469
-11.763	-8.0789
-9.1585	12.695
-6.4696	38.086
-4.2852	55.398
-1.6804	76.171
0.67219	92.327
2.8567	110.8
5.5453	130.41
7.9819	148.88
10.755	167.35
13.528	190.43
16.384	214.66
19.325	238.9
21.342	251.6
23.862	271.22
26.048	287.37
28.148	301.22
30.249	315.07
31.928	324.31
33.104	332.38
33.442	334.69
32.769	309.3
31.593	278.14
29.995	250.44
28.651	223.9
26.886	191.58
25.542	167.35
23.862	139.65
21.762	109.64
19.661	79.632
16.888	45.012
14.368	16.158
11.931	-8.0789
10.335	-23.082
7.478	-41.548
5.0414	-65.785
1.5964	-86.558
-0.92423	-105.02
-2.6886	-121.18
-5.7975	-139.65
-8.4021	-160.42
-11.259	-183.5
-14.62	-211.2
-17.476	-237.75
-20.249	-260.83
-23.358	-285.06
-25.71	-305.84
-28.484	-325.46
-29.995	-335.85
-30.919	-340.46
-31.509	-341.61
-31.76	-339.31
-31.341	-317.38
-30.417	-289.68
-28.484	-256.21
-26.886	-226.21
-25.375	-190.43
-23.358	-156.96
-20.921	-118.87
-18.317	-83.097
-15.712	-50.781
-13.359	-25.39
-10.503	8.0789
-7.0579	36.931
-3.6129	60.015
-0.50414	86.558
1.9325	105.02
4.6213	125.8
7.6459	144.26
10.251	163.89
14.368	195.05
17.561	218.13
20.501	240.05
23.946	267.75
26.718	287.37
29.24	305.84
31.341	317.38
32.936	324.31
33.271	323.15
33.02	306.99
32.095	283.91
30.584	255.06
28.986	226.21
26.551	180.04
24.114	144.26
22.602	118.87
20.669	90.019
17.897	54.242
15.208	24.236
12.519	-2.3082
10.167	-23.082
6.8898	-49.629
3.6129	-75.019
-0.42012	-102.71
-3.6129	-125.8
-6.5537	-144.26
-9.6624	-168.5
-12.351	-189.27
-15.292	-214.66
-18.569	-245.83
-21.762	-273.53
-24.366	-294.3
-26.299	-310.45
-28.903	-327.77
-30.919	-339.31
-31.593	-343.92
-31.509	-326.62
-30.836	-297.76
-29.576	-272.37
-28.316	-246.98
-26.299	-212.36
-24.87	-181.19
-23.022	-151.19
-20.165	-109.64
-18.149	-81.941
-15.712	-49.629
-13.191	-19.62
-10.503	5.7707
-7.8981	27.699
-4.1171	60.015
-1.1763	84.249
1.6804	103.87
4.5372	122.34
6.9738	139.65
9.8306	160.42
13.107	183.5
16.132	205.43
18.821	227.36
22.014	249.29
24.534	268.91
27.978	290.83
30.584	305.84
32.433	317.38
33.188	323.15
33.104	310.45
33.02	295.45
32.095	275.83
30.668	248.14
29.24	220.44
27.727	195.05
26.132	166.19
23.946	135.03
22.014	105.02
19.661	73.863
17.392	43.856
14.872	16.158
12.183	-10.387
9.5786	-28.853
7.6459	-43.856
4.3691	-70.402
1.4284	-92.327
-1.4284	-110.8
-4.2012	-129.26
-7.5618	-150.03
-10.503	-170.81
-13.864	-198.51
-17.14	-226.21
-19.745	-250.44
-22.434	-271.22
-26.048	-300.07
-29.576	-328.92
-31.257	-338.15
-31.76	-338.15
-31.76	-323.15
-31.171	-305.84
-30.165	-281.6
-28.484	-250.44
-26.215	-207.74
-24.198	-173.12
-21.342	-128.1
-18.821	-95.792
-16.216	-60.015
-13.78	-31.161
-9.9987	5.7707
-7.3099	26.544
-4.6213	48.472
-1.2603	76.171
0	96.015
2.0967	110.2
4.1933	124.38
6.1735	137.47
8.3868	153.84
10.833	172.39
13.046	188.75
15.259	206.21
18.055	229.12
20.617	247.67
22.598	264.04
25.509	281.49
27.49	296.77
29.936	316.41
32.382	329.5
34.595	340.41
36.81	349.14
39.487	360.05
41.933	364.42
44.265	364.42
46.01	363.32
47.526	362.23
48.572	358.96
49.273	356.78
49.04	342.59
48.572	324.04
47.757	303.32
46.825	278.22
45.08	249.85
43.564	223.67
41.933	197.48
39.954	169.11
38.207	140.75
36.109	108.02
34.247	82.919
32.032	60.007
29.586	36.005
27.023	10.911
23.53	-14.184
20.268	-38.187
16.89	-56.737
13.395	-78.556
9.9009	-96.015
6.2901	-112.38
2.6792	-127.66
-0.58242	-144.02
-4.1933	-165.84
-8.2702	-186.57
-12.347	-211.66
-16.54	-238.94
-20.617	-264.04
-23.297	-282.59
-25.977	-301.13
-28.771	-321.86
-31.333	-338.23
-33.896	-353.5
-35.761	-361.14
-38.324	-365.51
-41.234	-370.96
-43.797	-376.42
-45.428	-379.69
-46.36	-384.06
-47.409	-381.87
-47.292	-370.96
-46.942	-349.14
-46.243	-319.68
-44.963	-292.4
-43.216	-261.85
-41.351	-233.49
-39.604	-202.94
-38.09	-175.66
-35.527	-140.75
-33.431	-111.29
-30.985	-80.74
-28.539	-50.189
-26.441	-29.459
-22.365	3.2732
-18.754	30.55
-13.629	57.827
-9.5517	82.919
-5.2418	104.74
-0.58242	126.57
3.7275	148.38
9.3188	170.21
14.327	194.21
18.987	219.3
24.345	245.49
28.654	268.4
32.032	283.68
35.644	301.13
39.721	315.32
43.449	327.32
46.126	336.05
48.224	340.41
49.388	341.5
49.855	342.59
49.157	330.59
48.224	308.77
46.477	274.95
44.846	243.31
43.332	211.66
41.234	177.84
39.022	147.29
37.041	114.56
34.828	87.283
32.266	56.737
29.82	38.187
26.909	13.093
23.297	-9.8195
19.336	-38.187
14.211	-65.464
10.717	-85.103
6.0571	-106.92
1.9802	-126.57
-2.0967	-146.2
-6.6396	-168.02
-11.182	-189.85
-16.54	-220.4
-20.617	-241.12
-24.927	-265.13
-29.355	-291.31
-33.315	-315.32
-37.739	-332.77
-40.77	-344.78
-44.148	-360.05
-45.778	-367.69
-46.711	-367.69
-47.409	-367.69
-47.757	-362.23
-47.292	-337.14
-46.01	-307.68
-44.496	-277.13
-42.05	-237.85
-40.185	-201.85
-38.09	-169.11
-35.761	-137.47
-33.198	-103.65
-30.284	-65.464
-27.14	-33.823
-23.413	1.0911
-19.336	25.094
-15.609	46.915
-11.066	73.102
-6.1735	93.831
-2.5626	111.29
2.2132	133.11
6.523	152.75
10.6	173.48
15.376	195.3
20.501	219.3
25.626	243.31
30.985	266.22
35.994	289.13
39.487	304.41
42.634	316.41
46.01	330.59
48.689	337.14
49.621	340.41
49.273	326.23
47.991	291.31
46.477	260.76
44.496	228.03
42.634	193.12
39.837	151.66
37.391	117.83
35.293	86.193
30.985	42.551
26.909	8.7283
21.899	-27.276
18.637	-46.915
14.56	-69.828
9.9009	-91.651
6.0571	-110.2
0.46594	-133.11
-3.6109	-153.84
-8.2702	-174.57
-12.93	-196.39
-16.075	-216.03
-20.734	-241.12
-23.995	-255.31
-28.539	-279.31
-32.266	-300.04
-35.761	-318.59
-39.721	-336.05
-43.332	-349.14
-46.36	-358.96
-47.526	-362.23
-47.991	-357.87
-47.757	-341.5
-46.711	-315.32
-44.613	-276.04
-42.4	-242.21
-40.536	-206.21
-37.739	-169.11
-34.828	-124.38
-31.567	-78.556
-28.306	-41.461
-23.646	-3.2732
-19.336	27.276
-14.91	53.463
-9.7846	78.556
-4.4265	104.74
0.34945	129.83
6.523	153.84
11.182	175.66
17.239	204.03
25.277	236.76
28.189	248.76
31.217	261.85
35.41	280.4
38.672	294.59
42.283	308.77
44.613	316.41
46.942	325.14
48.458	328.41
49.621	329.5
49.621	318.59
48.572	302.23
47.409	272.76
45.545	242.21
43.564	206.21
41.585	172.39
39.139	135.29
36.924	104.74
34.945	80.74
32.032	49.099
28.887	26.185
23.995	-10.911
20.035	-39.278
15.725	-63.28
11.182	-84.014
6.4066	-108.02
2.5626	-122.2
-2.0967	-144.02
-7.1054	-168.02
-12.347	-194.21
-17.938	-225.85
-20.734	-238.94
-24.811	-257.49
-29.121	-284.77
-32.964	-304.41
-36.342	-319.68
-39.604	-333.87
-44.265	-351.32
-46.594	-360.05
-47.757	-362.23
-47.874	-348.05
-46.594	-307.68
-44.846	-274.95
-43.099	-242.21
-40.886	-208.39
-39.022	-174.57
-36.576	-137.47
-33.548	-103.65
-31.45	-70.918
-28.306	-39.278
-24.345	-3.2732
-20.035	27.276
-15.725	51.279
-10.717	79.645
-6.1735	100.38
-1.9802	120.02
1.3978	135.29
5.3581	152.75
11.532	175.66
15.958	194.21
20.967	214.94
26.792	241.12
32.149	266.22
37.391	286.95
41.351	303.32
45.194	318.59
47.991	326.23
49.157	328.41
49.855	326.23
49.855	314.23
48.689	285.86
46.594	253.13
44.379	210.57
41.819	173.48
39.022	135.29
36.225	96.015
34.013	69.828
30.518	38.187
27.374	13.093
23.413	-16.366
18.754	-44.731
13.512	-74.192
8.0373	-99.289
4.4265	-112.38
-0.34945	-135.29
-3.4945	-152.75
-9.0856	-175.66
-14.444	-201.85
-20.035	-230.21
-24.229	-250.94
-28.539	-273.85
-33.779	-300.04
-38.324	-320.77
-42.4	-338.23
-44.846	-349.14
-46.942	-354.59
-47.991	-354.59
-47.757	-332.77
-45.662	-282.59
-43.216	-237.85
-41.468	-208.39
-38.207	-159.3
-35.179	-120.02
-32.499	-82.919
-29.82	-49.099
-25.626	-10.911
-20.734	22.912
-16.54	51.279
-13.163	69.828
-7.4549	96.015
-3.9604	110.2
