"Arakawa et al. 1987, Spec. 16"	
787	
0	0
0	9.2532
0.093674	15.785
0.14051	23.95
0.32786	33.747
0.42154	41.912
0.56205	48.988
0.70256	57.698
0.79624	65.318
0.8899	68.583
0.93674	69.673
0.8899	63.685
0.79624	54.976
0.65573	46.266
0.46838	34.836
0.3747	25.583
0.28103	15.785
0.18735	6.5318
0.046838	-3.8102
0	-14.152
-0.14051	-21.772
-0.32786	-31.026
-0.51521	-44.089
-0.65573	-50.621
-0.84308	-57.698
-0.8899	-63.138
-0.98358	-68.04
-0.93674	-58.241
-0.8899	-50.078
-0.79624	-41.368
-0.60889	-31.026
-0.42154	-20.684
-0.23419	-9.2532
-0.14051	-1.0886
-0.046838	4.3545
0.14051	15.785
0.28103	25.583
0.42154	32.659
0.60889	43.001
0.7494	53.343
0.8899	64.228
1.0773	75.117
1.1241	82.19
1.3114	89.81
1.5456	97.977
1.7329	103.96
1.9204	107.77
1.8735	100.7
1.7329	91.442
1.4989	80.557
1.452	70.762
1.3114	61.506
1.1241	51.711
0.93674	42.457
0.7494	31.026
0.56205	20.684
0.3747	9.7977
0.14051	1.6329
0	-9.7977
-0.28103	-20.139
-0.46838	-30.481
-0.65573	-40.824
-0.84308	-52.253
-0.98358	-61.506
-1.1709	-71.848
-1.3583	-82.737
-1.5925	-90.899
-1.7798	-99.066
-1.9204	-103.96
-2.0608	-106.14
-1.9204	-96.887
-1.7798	-84.912
-1.6393	-73.48
-1.4051	-57.698
-1.1709	-45.176
-1.0773	-36.469
-0.79624	-25.038
-0.60889	-14.696
-0.42154	-5.4433
-0.28103	0.54433
0	10.342
0.32786	24.494
0.65573	39.191
0.8899	50.078
1.1709	63.685
1.4051	76.75
1.6393	91.442
1.8735	102.33
2.1077	114.85
2.3887	124.1
2.6229	132.27
2.8103	137.17
2.7165	129
2.6697	120.84
2.4823	109.95
2.1546	96.887
2.014	82.737
1.7798	71.305
1.452	58.241
1.2646	46.266
1.0304	35.38
0.7494	23.405
0.3747	9.7977
0.093674	-2.1772
-0.18735	-15.24
-0.60889	-28.849
-0.8899	-43.545
-1.2646	-60.42
-1.6393	-77.292
-1.8266	-92.532
-2.1077	-105.05
-2.4355	-117.03
-2.6229	-125.74
-2.8571	-133.9
-3.0913	-137.17
-2.9976	-129.55
-2.8571	-117.57
-2.6229	-103.96
-2.3887	-90.357
-2.1077	-75.117
-1.7798	-58.241
-1.4989	-46.809
-1.3114	-33.747
-0.98358	-17.962
-0.56205	-7.0762
-0.3747	0.54433
-0.046838	9.2532
0.14051	21.228
0.60889	34.836
1.1709	51.711
1.5456	66.95
1.7798	80.015
2.0608	97.977
2.5292	114.85
2.7634	128.46
3.0444	140.43
3.3722	150.23
3.6533	156.76
3.8406	161.11
3.7939	155.13
3.6533	141.52
3.4191	124.1
3.0913	107.77
2.7165	91.442
2.3887	74.027
2.0608	58.788
1.6862	43.001
1.3114	28.849
0.8899	17.418
0.46838	3.8102
0.14051	-5.9873
-0.14051	-16.873
-0.51521	-27.76
-0.98358	-45.176
-1.4051	-58.241
-1.7798	-72.395
-1.9671	-83.28
-2.4355	-100.7
-2.7165	-113.22
-2.9507	-123.56
-3.138	-134.99
-3.4191	-143.15
-3.7001	-151.32
-3.8875	-156.76
-4.1685	-160.57
-4.0748	-150.23
-3.9343	-137.17
-3.747	-124.1
-3.466	-109.41
-3.0444	-93.622
-2.7634	-77.835
-2.3887	-61.506
-2.014	-47.898
-1.7329	-34.292
-1.3583	-23.405
-1.0773	-13.608
-0.70256	-3.2659
-0.32786	7.6202
-0.18735	12.519
0.32786	28.849
0.70256	39.735
1.1709	51.711
1.7329	68.583
2.1077	83.28
2.5761	100.7
2.9507	117.03
3.2318	131.18
3.5597	143.15
3.8406	153.49
4.0748	161.66
4.4496	167.65
4.6838	169.82
4.8711	171.46
4.8711	163.84
4.6838	148.05
4.3558	131.73
3.9343	114.85
3.5128	96.344
3.2318	80.015
2.8103	65.318
2.3887	49.531
1.9204	34.836
1.452	20.684
0.98358	6.5318
0.51521	-5.9873
0	-19.051
-0.42154	-30.481
-0.93674	-41.912
-1.2646	-52.8
-1.8266	-71.848
-2.2482	-86.002
-2.8571	-103.42
-3.2786	-120.29
-3.6533	-136.08
-3.9812	-148.05
-4.1685	-158.4
-4.59	-164.38
-4.8711	-169.28
-5.1053	-172
-5.0584	-163.29
-4.9179	-148.05
-4.59	-129.55
-4.3558	-115.94
-4.0281	-101.24
-3.7001	-83.28
-3.2786	-66.95
-2.8571	-52.8
-2.3419	-39.735
-1.8735	-23.405
-1.4051	-9.7977
-0.84308	3.8102
-0.3747	14.152
0	23.405
0.56205	40.279
1.0304	50.078
1.5925	61.506
2.1077	74.57
2.6697	90.899
3.0913	107.77
3.5597	123.56
3.9812	137.71
4.4027	150.77
4.6369	159.48
5.0115	167.65
5.3863	172.55
5.7141	174.73
5.9014	175.27
5.9483	175.27
5.8078	168.73
5.6672	157.85
5.3395	141.52
5.1053	127.91
4.8242	114.31
4.4027	96.887
3.9343	80.015
3.5597	63.685
2.9976	44.633
2.4355	27.216
1.7798	10.342
1.1709	-3.2659
0.46838	-18.506
-0.046838	-28.849
-0.51521	-38.102
-1.1241	-48.988
-1.5925	-60.963
-2.2013	-74.57
-2.7634	-92.532
-3.466	-112.67
-4.1217	-132.27
-4.4964	-145.33
-4.8711	-156.22
-5.1053	-163.84
-5.2926	-167.65
-5.6672	-172
-5.8547	-173.09
-6.1825	-175.27
-5.9952	-166.56
-5.8547	-151.32
-5.5736	-134.99
-5.1989	-119.75
-4.8242	-103.96
-4.4964	-88.177
-4.2154	-74.57
-3.7939	-60.963
-3.466	-49.531
-2.9976	-34.292
