"Benzoni and Priestley 1994,specimen nr.1"	
2337	
0	-5.008448
0	-5.044032
0	-4.768256
0.0127	-4.510272
0.01524	-4.372384
0.02286	-3.6375744
0.02667	-3.6500288
0.03048	-3.9613888
0.03556	-3.687392
0.04064	-3.8991168
0.04318	-3.9738432
0.04826	-3.6500288
0.0508	-3.6500288
0.05588	-3.749664
0.16002	3.04688
0.20574	7.530464
0.24003	12.263136
0.26035	16.893504
0.2794	21.835232
0.29718	26.318816
0.32131	30.71344
0.34036	35.357152
0.30734	30.700096
0.29845	29.218912
0.26162	24.214912
0.2413	19.77136
0.21082	15.287776
0.18669	10.568448
0.14986	6.022592
0.12954	1.605728
0.09779	-3.438304
0.07493	-8.033088
0.06604	-12.36544
0.04826	-17.222656
0.02667	-21.990912
0.01524	-26.670208
-0.00254	-31.429568
0.02286	-35.886464
0.0127	-40.530176
-0.00762	-44.83584
-0.01905	-49.50624
-0.03302	-50.4848
-0.00889	-45.72544
0.01651	-41.18848
0.03556	-36.71824
0.08255	-26.247648
0.11557	-18.850624
0.15494	-12.27648
0.20066	-6.987808
0.22606	-2.04608
0.20828	1.988256
0.13208	-0.787296
0.20574	4.243392
0.254	9.238496
0.27051	13.52192
0.27686	18.201216
0.2921	24.77536
0.30988	29.521376
0.32766	34.236256
0.33655	39.23136
0.34417	43.5904
0.35179	48.97248
0.36576	55.42208
0.38354	60.4928
0.40005	68.67712
0.42164	73.21408
0.44577	77.75104
0.47879	85.8464
0.50292	92.65184
0.51689	98.16736
0.52705	103.01568
0.53848	108.88704
0.57785	115.38112
0.60325	122.0976
0.61722	127.34624
0.63881	131.8832
0.64643	135.97536
0.64643	131.61632
0.62865	126.90144
0.60706	121.25248
0.58547	115.4256
0.54737	109.91008
0.51689	103.94976
0.4826	97.32224
0.4572	91.71776
0.4191	87.04736
0.3937	80.86464
0.37846	75.616
0.35179	70.67872
0.3302	65.02976
0.30861	60.31488
0.31877	55.6
0.30099	50.17344
0.28321	45.28064
0.27051	39.98752
0.25781	35.232608
0.24384	30.566656
0.26162	35.232608
0.27813	39.72064
0.26289	33.902656
0.2413	28.471648
0.22225	23.75232
0.20701	19.210912
0.20193	14.491584
0.18923	9.661056
0.16764	5.052928
0.1651	0.582688
0.15494	-2.728848
0.12065	-7.210208
0.09652	-11.867264
0.07874	-16.475392
0.06604	-20.967872
0.0508	-25.402528
0.03175	-30.081824
0.01651	-34.801152
0.00889	-39.60944
0	-44.52448
-0.01016	-49.32832
-0.02159	-54.08768
-0.03429	-58.80256
-0.04191	-63.69536
-0.0508	-67.74304
-0.0635	-73.03616
-0.08636	-78.19584
-0.10287	-83.4
-0.11684	-88.64864
-0.12573	-93.31904
-0.14732	-98.03392
-0.17018	-102.65984
-0.1905	-107.28576
-0.2159	-112.04512
-0.24003	-116.62656
-0.25781	-121.25248
-0.27686	-125.8784
-0.30099	-130.3264
-0.32385	-134.81888
-0.35687	-139.35584
-0.37465	-141.84672
-0.37338	-137.48768
-0.36576	-132.81728
-0.33274	-127.25728
-0.30353	-122.05312
-0.28575	-117.24928
-0.26416	-112.00064
-0.24638	-107.46368
-0.22606	-102.57088
-0.19558	-97.32224
-0.17145	-91.71776
-0.14478	-87.1808
-0.12319	-82.46592
-0.10922	-78.0624
-0.07874	-72.54688
-0.0508	-67.1648
-0.03048	-61.42688
0.00508	-55.95584
0.03048	-49.72864
0.0635	-43.394688
0.08128	-37.292032
0.09906	-31.256096
0.12446	-25.402528
0.14478	-20.024896
0.16256	-15.16768
0.18669	-10.870912
0.20193	-5.640064
0.20701	-1.13424
0.21844	3.073568
0.21844	8.041984
0.23114	12.983712
0.25019	19.184224
0.25781	22.560256
0.27178	28.324864
0.28067	32.808448
0.29464	37.71904
0.31369	43.05664
0.33528	48.83904
0.35179	54.7104
0.37592	60.84864
0.39116	66.9424
0.40386	73.1696
0.43688	79.48576
0.46355	85.71296
0.48133	91.80672
0.508	97.72256
0.52578	103.77184
0.54737	110.088
0.58674	116.40416
0.59944	122.00864
0.61214	127.47968
0.635	133.12864
0.65151	138.7776
0.68199	144.29312
0.71247	149.58624
0.72644	154.70144
0.75819	159.59424
0.78867	164.48704
0.81153	169.33536
0.84074	174.49504
0.86614	171.38144
0.8636	166.88896
0.84455	162.08512
0.82931	157.6816
0.80137	153.18912
0.78105	148.5632
0.74803	143.93728
0.72136	138.91104
0.70739	134.1072
0.66802	129.25888
0.64262	124.41056
0.61214	119.78464
0.59563	115.15872
0.56261	110.22144
0.52832	105.15072
0.51181	100.56928
0.48387	95.80992
0.46609	91.22848
0.43815	86.42464
0.40386	81.48736
0.38862	76.55008
0.37592	71.56832
0.35179	67.20928
0.33909	62.67232
0.32131	58.13536
0.30099	53.46496
0.28575	48.88352
0.27559	44.39104
0.26797	39.5872
0.25527	34.87232
0.25146	30.041792
0.24257	25.362496
0.22479	20.652064
0.2159	15.861568
0.20574	11.266784
0.19177	6.698688
0.17399	2.126144
0.15367	-2.366336
0.11684	-6.898848
0.1016	-11.355744
0.08763	-15.963872
0.08382	-20.4608
0.07747	-25.313568
0.07366	-29.699296
0.06604	-34.974624
0.04699	-39.858528
0.02032	-45.10272
0.00254	-50.35136
-0.02667	-55.1552
-0.04191	-59.73664
-0.05588	-64.40704
-0.08128	-69.29984
-0.10287	-74.01472
-0.11684	-78.81856
-0.13081	-83.57792
-0.15748	-88.24832
-0.1778	-92.82976
-0.19304	-97.4112
-0.21717	-102.25952
-0.23495	-106.9744
-0.25146	-112.04512
-0.26416	-116.76
-0.27813	-121.47488
-0.29718	-125.92288
-0.31623	-130.41536
-0.34671	-134.95232
-0.37338	-139.53376
-0.38735	-144.1152
-0.40767	-148.47424
-0.43307	-152.87776
-0.49403	-157.54816
-0.5207	-161.99616
-0.56134	-166.5776
-0.61087	-171.0256
-0.63881	-171.42592
-0.64135	-166.97792
-0.62611	-161.06208
-0.60706	-156.43616
-0.57404	-151.49888
-0.54737	-145.76096
-0.51816	-140.28992
-0.49911	-135.30816
-0.46482	-130.37088
-0.42291	-125.38912
-0.40259	-120.58528
-0.38227	-115.82592
-0.36195	-111.02208
-0.31623	-106.12928
-0.29083	-101.14752
-0.26416	-96.0768
-0.23749	-90.65024
-0.19304	-83.35552
-0.16256	-77.70656
-0.12827	-72.45792
-0.10795	-67.43168
-0.07874	-62.76128
-0.05207	-58.35776
-0.02032	-51.90816
0.01651	-45.90336
0.05461	-40.218816
0.07493	-34.912352
0.09271	-29.82384
0.12065	-24.806496
0.14097	-20.273984
0.1651	-15.866016
0.19304	-11.12
0.20574	-6.62752
0.21971	-2.206208
0.2286	2.250688
0.25908	6.970016
0.25019	11.489184
0.25273	16.373088
0.26797	21.514976
0.27813	26.670208
0.29591	32.04784
0.31623	37.05184
0.33909	42.74528
0.3556	47.3712
0.37592	52.264
0.38862	57.24576
0.40005	62.09408
0.4318	67.03136
0.45847	72.01312
0.47371	77.35072
0.4953	82.37696
0.51181	87.35872
0.52578	91.8512
0.54864	97.4112
0.57785	101.72576
0.59182	106.26272
0.60452	111.06656
0.62103	115.51456
0.64643	120.22944
0.66929	124.7664
0.70739	129.25888
0.71882	133.84032
0.73406	138.3328
0.76327	142.86976
0.78486	147.54016
0.80391	152.16608
0.83058	156.48064
0.84836	161.24
0.88646	166.08832
0.91059	170.75872
0.94742	175.11776
0.9652	175.9184
0.96647	171.42592
0.93599	166.88896
0.91186	162.352
0.89027	156.88096
0.8509	151.72128
0.83185	147.18432
0.80264	142.20256
0.77597	136.9984
0.73533	131.57184
0.7112	126.14528
0.66421	120.3184
0.62738	114.35808
0.59944	108.39776
0.56515	103.14912
0.52705	97.94496
0.50546	93.1856
0.46863	86.46912
0.4318	80.15296
0.39624	74.45952
0.37973	69.3888
0.34925	63.20608
0.33147	57.95744
0.31115	53.28704
0.28956	48.21632
0.27686	43.10112
0.27432	38.6976
0.27305	34.076128
0.26797	29.55696
0.25781	25.051136
0.24511	20.580896
0.23495	16.03504
0.21844	11.65376
0.18923	6.858816
0.15494	2.103904
0.13462	-2.406368
0.09017	-6.885504
0.06985	-11.85392
0.04826	-16.586592
0.01905	-21.755168
0	-26.794752
-0.02794	-31.451808
-0.04572	-37.180832
-0.05842	-42.683008
-0.07366	-47.94944
-0.09271	-53.99872
-0.10287	-58.62464
-0.11303	-63.29504
-0.12065	-68.09888
-0.12319	-72.23552
-0.12065	-76.81696
-0.127	-81.26496
-0.15875	-85.75744
-0.18542	-90.5168
-0.20701	-95.00928
-0.22987	-99.6352
-0.254	-104.79488
-0.27305	-109.24288
-0.30226	-114.58048
-0.33909	-119.74016
-0.37846	-125.07776
-0.39243	-129.57024
-0.41402	-134.28512
-0.43688	-138.95552
-0.48895	-143.53696
-0.51181	-148.25184
-0.52705	-152.7888
-0.55626	-157.54816
-0.5842	-162.1296
-0.61976	-166.62208
-0.64897	-171.73728
-0.67437	-176.09632
-0.75057	-180.27744
-0.78486	-184.94784
-0.8128	-189.52928
-0.8255	-189.57376
-0.83185	-185.08128
-0.83439	-180.54432
-0.81788	-175.4736
-0.80264	-170.44736
-0.77724	-165.37664
-0.7493	-159.50528
-0.69469	-153.72288
-0.66802	-147.49568
-0.63246	-141.0016
-0.58547	-134.24064
-0.54229	-127.47968
-0.52197	-122.89824
-0.49657	-118.3168
-0.44577	-113.82432
-0.42164	-109.28736
-0.40005	-104.61696
-0.35814	-97.94496
-0.31877	-93.45248
-0.29083	-88.91552
-0.254	-82.24352
-0.22479	-77.52864
-0.19304	-72.99168
-0.16256	-68.41024
-0.13589	-63.69536
-0.10668	-58.80256
-0.06604	-52.97568
-0.04318	-48.0384
-0.00254	-42.287136
0.02413	-37.776864
0.05969	-31.20272
0.08128	-24.855424
0.11557	-18.788352
0.14097	-13.161632
0.17399	-8.068672
0.19177	-3.2888512
0.20193	1.17872
0.22225	5.724576
0.21844	10.332704
0.2286	15.425664
0.24257	21.052384
0.25908	26.42112
0.27305	32.07008
0.2921	36.891712
0.31496	41.90016
0.33401	47.19328
0.35941	52.9312
0.37592	58.40224
0.38735	63.51744
0.40005	67.96544
0.4318	72.99168
0.45212	77.66208
0.49911	87.6256
0.51435	92.38496
0.54864	97.1888
0.58039	101.77024
0.59563	106.17376
0.62611	110.62176
0.67056	115.4256
0.70358	120.00704
0.73025	125.12224
0.77216	129.79264
0.79375	134.37408
0.82042	138.82208
0.83566	143.84832
0.86614	148.51872
0.88519	153.32256
0.90424	158.03744
0.92964	162.352
0.96266	167.15584
0.98933	171.87072
1.01727	175.4736
1.01346	170.71424
0.98933	165.77696
0.9652	160.3504
0.94107	155.4576
0.90551	150.69824
0.88392	145.98336
0.83947	140.69024
0.81788	136.1088
0.78232	130.94912
0.75438	126.41216
0.71247	121.4304
0.69215	116.40416
0.64008	111.28896
0.60833	106.35168
0.58293	101.14752
0.54737	96.21024
0.51181	91.4064
0.48768	86.55808
0.45847	81.53184
0.43053	76.81696
0.38989	71.8352
0.37211	67.03136
0.35687	62.36096
0.32893	57.51264
0.30861	52.9312
0.28321	47.72704
0.26416	42.83424
0.25527	37.71904
0.24003	33.017504
0.22606	28.160288
0.20574	23.267488
0.19431	18.761664
0.18288	13.83328
0.17272	9.323008
0.16129	4.879456
0.14224	0.284672
0.01524	-22.426816
-0.12065	-44.52448
-0.21717	-67.87648
-0.32512	-93.6304
-0.42799	-117.02688
-0.54356	-140.7792
-0.67437	-159.86112
-0.80264	-176.1408
-0.91948	-190.3744
-0.81788	-167.42272
-0.6858	-146.07232
-0.55245	-126.45664
-0.42291	-107.73056
-0.29083	-88.78208
-0.16256	-69.78912
-0.02921	-47.90496
0.09271	-24.704192
0.19431	-2.393024
0.25019	21.003456
0.34163	44.12416
0.44069	67.6096
0.54102	90.60576
0.65278	113.29056
0.77597	135.84192
0.889	158.1264
1.01727	180.3664
1.14554	195.97888
1.24587	203.76288
1.14046	180.90016
1.01346	161.28448
0.88646	141.40192
0.75819	121.96416
0.63119	105.4176
0.50165	85.53504
0.36957	63.69536
0.26543	40.83264
0.19558	18.263488
0.11938	-3.9862976
0.04826	-26.51008
-0.02413	-49.68416
-0.13589	-72.99168
-0.24384	-95.72096
-0.37846	-114.35808
-0.50673	-132.328
-0.63754	-151.232
-0.76835	-168.66816
-0.89916	-188.19488
-1.02362	-203.45152
-1.15189	-215.5056
-1.22555	-218.8416
-1.14554	-194.46656
-1.01473	-174.8064
-0.87503	-155.36864
-0.74422	-136.776
-0.60833	-119.16192
-0.46863	-101.94816
-0.34036	-85.13472
-0.20828	-66.45312
-0.07874	-47.68256
0.05207	-26.559008
0.17272	-3.9115712
0.24638	19.024096
0.32893	41.85568
0.43307	64.9408
0.53213	87.22528
0.64643	109.50976
0.77851	132.15008
0.90932	154.92384
1.03886	175.82944
1.17094	196.29024
1.30175	215.2832
1.42875	230.09504
1.55702	244.01728
1.60655	246.81952
1.55448	224.1792
1.41859	203.2736
1.28778	185.30368
1.15443	166.8
1.01981	149.27488
0.88773	130.63776
0.75438	113.424
0.6223	97.4112
0.49657	79.08544
0.36703	57.29024
0.26035	33.689152
0.18161	11.413568
0.06731	-10.599584
-0.05715	-33.008608
-0.14351	-56.08928
-0.23114	-79.93056
-0.32131	-102.83776
-0.45085	-123.12064
-0.5842	-136.9984
-0.71882	-153.32256
-0.84836	-169.06848
-0.97663	-183.39104
-1.1049	-199.18144
-1.23317	-213.7264
-1.36271	-227.15936
-1.49225	-237.16736
-1.61925	-243.9728
-1.74752	-249.71072
-1.87706	-256.02688
-2.00533	-261.45344
-2.00914	-260.74176
-1.95072	-238.10144
-1.81991	-220.13152
-1.68402	-203.58496
-1.5494	-188.68416
-1.41732	-173.07168
-1.28016	-159.10496
-1.15824	-147.85152
-1.02997	-135.35264
-0.9017	-122.58688
-0.77089	-108.66464
-0.64262	-96.69952
-0.51181	-82.9552
-0.38227	-69.07744
-0.25527	-54.79936
-0.127	-39.18688
