"Chai, Priestley and Seible 1991, TEST 3"	
1126	
0	0
0	0
0	0
0	0
0	0
0	-1.112
0.025	-2.002
0.025	-2.98
0.025	-3.736
0.025	-3.558
1.549	21.439
2.718	38.698
1.778	20.861
0.66	3.203
-0.584	-16.28
-1.727	-32.693
-0.787	-15.39
0.356	3.203
1.549	21.929
2.667	38.564
1.676	20.817
0.533	2.891
-1.016	-21.884
-2.337	-39.587
-0.813	-14.99
0.406	3.959
1.549	21.884
2.667	39.32
4.013	57.824
4.902	68.988
4.14	55.467
3.048	38.075
1.88	20.327
0.686	2.802
-0.533	-15.524
-1.88	-35.451
-3.023	-50.663
-4.14	-63.829
-3.327	-50.974
-2.134	-33.316
-0.787	-13.522
0.381	4.181
1.524	21.084
2.642	37.63
3.912	55.911
4.851	68.988
6.223	82.288
7.214	95.321
8.814	108.264
10.973	123.654
10.338	107.864
9.195	94.831
7.976	81.309
6.756	67.699
5.613	54.666
4.191	36.785
2.87	20.06
1.397	0.756
0.178	-16.324
-1.092	-33.449
-2.438	-50.93
-3.505	-64.363
-4.699	-78.107
-6.071	-90.561
-7.671	-104.35
-9.779	-119.384
-9.195	-104.572
-8.001	-91.317
-6.782	-78.018
-5.588	-64.852
-4.445	-51.819
-2.921	-33.582
-1.499	-15.346
-0.051	3.336
1.397	23.263
2.972	44.169
4.242	59.47
5.893	76.328
7.061	86.469
7.925	94.075
9.271	107.286
11.151	122.676
9.982	106.129
8.814	93.719
7.544	80.642
6.248	66.809
5.131	54.532
3.658	36.829
2.261	19.438
0.838	1.468
-0.559	-17.392
-1.905	-33.983
-3.302	-50.173
-4.597	-64.54
-5.918	-78.062
-7.214	-90.828
-8.661	-104.528
-10.465	-119.874
-9.373	-104.661
-8.103	-91.184
-6.858	-78.107
-5.639	-65.119
-4.394	-51.374
-2.896	-33.449
-1.448	-15.612
0	2.891
1.321	20.372
2.667	37.63
4.166	55.2
5.334	67.788
6.655	80.776
8.077	94.253
9.525	107.419
11.379	122.631
10.16	107.375
8.839	93.764
7.595	81.176
6.274	67.61
5.105	54.666
3.581	36.785
2.083	17.97
0.762	1.423
-0.559	-15.924
-1.981	-33.316
-3.556	-51.196
-4.775	-64.363
-6.147	-78.151
-7.468	-90.917
-8.941	-104.528
-10.693	-119.918
-9.449	-103.994
-8.255	-91.584
-6.909	-77.973
-5.664	-64.985
-4.47	-51.908
-2.921	-33.849
-1.448	-15.701
0	2.624
1.346	20.594
2.946	41.144
4.191	54.799
5.461	68.01
6.782	80.731
8.204	93.986
9.677	107.286
11.481	122.765
10.236	106.841
8.966	93.541
7.696	81.043
6.35	67.654
5.156	54.755
3.658	37.408
2.134	18.682
0.838	2.224
-0.533	-15.301
-2.007	-33.36
-3.531	-50.618
-4.775	-63.829
-6.147	-77.573
-7.595	-90.472
-9.042	-104.35
-10.77	-119.74
-9.347	-102.704
-8.204	-91.095
-6.909	-77.973
-5.613	-64.674
-4.42	-51.641
-2.845	-33.227
-1.397	-15.568
0.051	3.158
1.473	21.751
2.845	39.009
4.496	57.557
5.563	68.188
6.909	81.354
8.306	93.897
9.779	107.286
11.608	123.076
10.414	107.464
9.093	94.209
7.747	80.82
6.452	67.832
5.232	55.066
3.658	37.497
1.981	16.547
0.762	1.423
-0.559	-15.657
-1.905	-32.337
-3.581	-50.974
-4.851	-64.185
-6.147	-77.351
-7.595	-91.006
-8.992	-103.772
-10.846	-119.562
-9.195	-101.148
-8.128	-90.339
-6.883	-77.929
-5.563	-64.54
-4.369	-51.73
-2.794	-33.093
-1.346	-15.657
0.152	3.781
2.032	28.156
3.607	47.727
5.588	68.766
7.925	90.828
10.312	112.001
13.208	134.463
17.45	155.902
22.86	178.142
20.93	156.036
17.628	134.33
14.275	112.134
11.151	89.939
8.407	68.099
5.969	46.526
3.785	24.42
1.575	0.623
-0.025	-19.171
-2.057	-41.544
-4.242	-63.873
-6.579	-85.891
-9.169	-108.353
-12.09	-129.882
-16.383	-151.855
-21.59	-173.25
-20.041	-151.899
-16.815	-130.104
-13.538	-108.576
-10.414	-86.469
-7.595	-64.363
-5.182	-42.923
-2.87	-19.927
-0.66	3.069
1.499	28.378
3.759	51.641
5.639	67.832
8.56	90.339
11.811	112.09
15.443	134.33
19.329	156.169
23.647	177.431
27.508	190.419
27.559	189.084
26.238	177.253
22.733	155.902
18.847	133.573
15.265	112.401
11.786	89.939
8.788	68.054
6.147	46.482
3.81	24.775
1.651	2.936
-0.406	-20.461
-2.565	-42.123
-4.953	-63.34
-7.849	-85.935
-11.176	-108.353
-14.783	-130.06
-18.694	-151.855
-22.708	-172.849
-25.476	-184.814
-27.534	-193.177
-26.035	-172.716
-22.555	-151.188
-18.872	-129.793
-15.088	-107.908
-11.659	-86.425
-8.509	-64.185
-5.791	-42.3
-3.327	-19.616
-0.914	3.514
1.194	26.377
3.505	49.195
5.867	68.588
8.89	90.028
12.471	112.401
16.281	133.974
20.676	156.436
25.197	178.365
27.508	187.972
26.518	177.698
22.911	156.169
19.05	134.641
15.189	112.579
11.659	90.383
8.509	68.366
5.842	46.704
3.454	24.864
1.194	2.669
-0.991	-20.461
-3.251	-41.856
-5.842	-63.873
-8.839	-85.446
-12.548	-108.353
-16.434	-129.748
-20.676	-151.41
-25.451	-175.74
-27.508	-186.015
-26.035	-172.76
-23.114	-154.879
-18.694	-129.437
-14.91	-107.864
-11.354	-85.935
-8.23	-64.096
-5.563	-42.345
-3.124	-19.838
-0.406	6.361
1.448	26.065
3.658	47.638
6.223	68.544
9.347	90.339
12.979	112.668
16.942	134.33
21.234	156.169
25.527	177.164
27.483	186.371
27.203	179.299
23.622	155.591
19.71	133.84
15.799	111.778
12.217	89.894
9.042	68.01
6.248	46.304
3.759	24.553
1.372	1.69
-0.787	-20.416
-3.073	-41.9
-5.817	-64.14
-8.966	-86.336
-12.649	-108.576
-16.789	-130.771
-20.93	-151.81
-25.451	-174.806
-27.534	-185.393
-26.695	-172.849
-23.266	-151.677
-19.406	-129.837
-15.545	-108.22
-11.811	-85.802
-8.712	-64.629
-5.893	-42.745
-3.302	-19.972
-0.432	6.272
-0.457	2.669
1.346	24.508
3.327	45.77
5.817	66.809
8.738	87.581
12.344	109.777
16.434	132.061
20.777	153.767
25.4	175.518
27.965	186.238
30.429	192.821
33.122	203.763
35.636	208.923
38.151	212.436
40.691	216.973
41.224	217.819
39.421	197.98
35.636	176.185
31.547	154.301
27.153	132.506
22.606	110.399
18.263	89.049
14.097	65.875
10.693	45.503
7.315	23.708
3.785	0.578
1.27	-20.683
-1.499	-42.701
-4.496	-64.941
-7.798	-86.914
-11.582	-109.02
-15.773	-130.549
-20.447	-152.878
-25.476	-176.541
-28.067	-188.773
-30.556	-199.27
-32.995	-207.588
-35.712	-214.483
-38.151	-219.509
-41.3	-225.113
-41.478	-213.86
-38.811	-195.579
-34.925	-173.339
-30.988	-152.033
-26.695	-129.615
-22.403	-108.709
-18.009	-87.27
-13.868	-65.43
-10.185	-44.035
-6.629	-20.95
-3.175	1.913
-0.356	23.93
2.489	45.859
5.639	67.343
9.144	87.981
13.614	111.156
18.567	133.307
23.952	155.013
25.502	160.439
28.016	169.647
30.607	179.343
33.096	188.684
35.611	197.625
38.227	206.343
41.199	213.949
39.218	196.913
35.611	176.852
31.445	155.235
27	133.662
22.174	110.933
17.678	89.405
13.437	66.942
9.906	45.814
6.477	23.975
3.251	1.824
0.279	-22.284
-2.896	-45.014
-5.969	-64.54
-9.652	-86.38
-14.148	-109.154
-18.999	-130.682
-24.155	-152.122
-25.552	-157.726
-28.016	-167.601
-30.582	-177.92
-33.071	-187.972
-35.662	-198.158
-38.151	-207.455
-41.199	-217.018
-38.608	-194.911
-34.747	-173.25
-30.709	-151.899
-26.416	-129.926
-21.946	-108.442
-17.399	-86.603
-13.183	-64.985
-9.423	-43.279
-5.994	-20.461
-2.616	2.669
0.102	25.176
3.048	47.683
6.172	68.01
9.754	88.515
14.249	111.067
19.177	132.372
25.019	155.28
25.552	157.281
28.194	167.2
30.683	176.319
33.198	185.66
35.636	194.689
38.278	204.03
41.199	212.703
39.776	199.137
35.89	177.475
31.623	155.547
26.949	133.04
22.352	111.823
17.602	89.36
13.411	67.209
9.754	46.571
6.35	24.553
2.997	1.601
0.076	-21.84
-2.819	-41.811
-6.172	-63.473
-10.16	-86.291
-14.554	-107.953
-19.736	-130.415
-24.943	-151.588
-25.552	-154.034
-27.991	-163.642
-30.556	-174.05
-33.071	-184.147
-35.611	-194.2
-38.252	-204.475
-41.224	-215.283
-38.837	-194.111
-34.95	-172.316
-30.886	-151.01
-26.568	-129.125
-22.022	-107.419
-17.475	-85.98
-13.183	-64.096
-9.373	-42.3
-5.918	-19.705
-2.565	4.003
0.432	27.622
3.226	47.683
6.528	68.9
10.82	92.696
14.478	110.533
20.193	134.596
25.476	154.524
28.016	163.82
30.556	173.205
33.071	182.546
35.662	192.243
38.227	201.583
40.716	209.99
43.282	217.329
45.771	221.466
48.311	223.69
50.927	226.892
53.391	229.65
54.991	230.584
51.105	197.803
47.32	177.742
43.18	156.97
38.506	134.419
33.884	113.024
28.905	90.65
23.673	68.232
18.847	47.282
13.691	25.443
8.687	3.603
4.039	-19.037
-0.076	-41.366
-4.064	-63.428
-8.357	-86.069
-13.081	-108.086
-18.567	-130.148
-24.155	-150.876
-25.552	-156.08
-28.219	-166.088
-30.556	-174.762
-33.096	-184.281
-35.636	-193.71
-38.202	-202.962
-40.742	-211.636
-43.307	-219.731
-45.949	-225.069
-48.336	-228.761
-50.876	-231.607
-53.492	-234.854
-55.016	-236.1
-53.467	-216.128
-49.632	-193.266
-45.745	-171.96
-41.504	-150.431
-37.109	-128.948
-32.512	-107.508
-27.762	-85.713
-22.758	-63.428
-17.78	-42.034
-12.37	-19.215
-7.137	3.914
-2.311	27.756
1.473	46.126
5.639	68.855
10.16	90.606
15.291	112.09
21.539	134.463
25.908	148.341
30.658	163.064
35.738	178.632
40.894	193.666
46.076	207.722
50.927	219.731
55.067	226.403
52.248	199.359
48.209	177.698
43.942	156.525
39.37	134.908
34.468	112.356
29.464	90.472
24.181	68.544
18.999	47.238
13.487	24.108
8.458	2.936
3.683	-19.527
-0.864	-42.256
-5.131	-63.74
-9.728	-85.624
-15.215	-108.175
-21.234	-130.015
-25.451	-144.338
-30.683	-161.818
-35.662	-178.098
-40.767	-193.977
-45.796	-209.234
-50.978	-223.868
-55.042	-231.074
-53.416	-215.595
-49.632	-193.444
-45.72	-172.227
-41.529	-150.965
-37.008	-129.125
-32.309	-107.686
-27.508	-86.069
-22.479	-64.007
-17.348	-42.212
-12.04	-19.705
-6.909	3.558
-2.286	25.176
2.083	47.816
6.096	68.455
10.846	90.695
16.256	112.09
22.809	134.018
25.756	143.048
30.759	158.571
35.763	173.561
40.919	188.373
45.999	202.34
51.156	215.817
55.042	224.268
52.578	200.204
48.514	178.498
44.018	156.214
39.294	133.885
34.595	112.534
29.489	90.383
24.257	68.944
18.872	47.104
13.462	24.909
8.484	4.626
3.226	-21.662
-1.27	-42.567
-5.664	-64.718
-10.363	-85.58
-15.926	-107.686
-22.073	-129.392
-25.578	-141.091
-30.709	-158.215
-35.789	-174.673
-40.945	-190.686
-45.999	-205.898
-50.978	-220.487
-54.966	-228.227
-54.204	-216.217
-50.394	-193.799
-46.533	-172.538
-42.494	-152.077
-37.567	-128.325
-32.893	-107.019
-28.169	-86.158
-23.063	-63.918
-17.831	-42.167
-12.421	-19.527
-7.366	2.847
-2.388	26.332
1.956	47.282
6.147	68.855
10.897	90.339
16.51	112.001
23.393	134.552
25.933	142.292
30.886	156.836
35.763	170.848
40.894	185.971
45.898	199.626
51.054	213.059
56.134	225.336
61.341	230.896
66.192	232.808
68.707	230.495
71.323	232.408
73.736	233.742
76.302	234.543
78.892	235.344
82.702	236.1
82.296	221.688
77.394	198.336
72.212	177.075
67.031	156.836
61.671	135.797
56.261	113.068
51.206	91.184
45.618	68.766
39.726	47.104
32.969	26.332
23.47	3.336
14.249	-18.815
5.131	-41.678
-1.397	-63.918
-7.366	-86.603
-13.005	-106.93
-20.066	-129.036
-25.781	-145.761
-30.988	-160.929
-35.789	-174.54
-40.869	-188.907
-45.923	-202.784
-51.156	-216.707
-56.032	-227.026
-61.214	-233.387
-66.167	-236.678
-68.809	-237.568
-71.323	-240.281
-73.863	-241.971
-76.606	-242.549
-78.969	-243.395
-82.525	-245.174
-79.832	-214.66
-75.59	-194.289
-70.434	-172.271
-65.176	-151.276
-59.411	-128.948
-53.848	-107.241
-48.92	-86.024
-43.688	-64.496
-37.465	-41.945
-30.048	-19.393
-21.057	3.425
-11.227	25.087
-2.083	48.839
3.632	69.344
9.677	90.606
16.942	112.134
25.781	134.063
26.162	134.952
32.004	148.341
35.865	157.148
40.818	167.912
45.923	178.543
51.079	188.951
56.058	198.692
61.214	207.277
66.167	214.171
71.425	220.487
76.505	225.647
82.753	230.095
78.969	200.249
73.736	178.81
68.148	157.237
62.179	134.374
57.023	113.291
51.816	91.051
46.203	68.766
40.157	47.104
33.147	25.087
24.384	3.425
14.884	-19.215
5.563	-40.566
-2.362	-64.363
-9.093	-86.158
-16.18	-107.063
-25.603	-131.794
-30.785	-144.916
-35.814	-157.37
-40.945	-169.558
-45.974	-181.123
-50.927	-192.509
-56.007	-202.829
-61.087	-211.413
-66.243	-219.286
-71.222	-226.403
-76.225	-232.942
-82.55	-239.436
-79.781	-216.039
-75.133	-193.933
-70.002	-172.36
-64.567	-150.921
-58.674	-128.458
-53.442	-108.131
-48.285	-86.113
-42.926	-64.185
-36.932	-42.256
-29.718	-19.438
-20.98	3.736
-11.684	24.286
-1.956	48.038
4.039	68.766
10.668	90.962
18.212	112.045
25.781	129.57
32.156	143.626
35.789	151.721
40.691	162.085
45.847	172.538
50.952	182.546
56.083	192.42
61.265	201.05
66.218	208.077
71.272	214.572
76.429	220.665
82.575	227.07
78.664	199.938
73.33	178.32
67.92	157.593
61.951	134.685
56.566	112.801
51.46	90.962
45.771	68.722
39.776	47.505
32.715	24.953
24.028	4.092
14.503	-18.948
4.928	-40.966
-2.87	-63.873
-9.627	-85.446
-17.221	-107.152
-25.629	-128.681
-30.709	-141.357
-35.763	-153.589
-40.919	-165.688
-46.076	-177.386
-50.927	-188.373
-56.134	-198.915
-61.163	-207.366
-66.345	-215.328
-71.349	-222.667
-76.505	-229.962
-82.525	-236.856
-79.781	-215.105
-74.752	-191.308
-70.129	-172.138
-64.618	-150.565
-59.08	-129.793
-53.264	-107.286
-48.082	-85.491
-42.748	-63.695
-36.728	-41.722
-29.616	-19.438
-20.472	4.804
-11.303	25.843
-2.057	48.884
3.962	68.811
10.516	90.739
18.263	112.09
26.137	130.326
30.912	140.824
35.789	151.588
41.148	162.841
46.101	172.849
51.283	182.946
56.566	193.088
61.519	201.228
67.335	209.367
71.552	214.838
76.987	221.421
82.169	227.248
86.97	231.518
91.923	233.698
96.672	234.365
101.854	233.876
106.858	236.055
110.007	236.9
108.966	221.377
98.933	178.676
88.214	134.908
75.997	91.228
61.112	47.86
42.824	2.98
31.191	-18.815
14.884	-42.078
2.921	-63.162
-6.121	-86.825
-13.868	-107.152
-25.883	-134.419
-31.039	-146.028
-36.271	-157.637
-41.199	-168.312
-46.126	-178.854
-50.927	-189.173
-56.363	-199.582
-61.29	-207.544
-66.497	-215.016
-71.704	-222.133
-76.53	-228.538
-81.686	-234.765
-86.766	-239.391
-92.075	-243.306
-96.774	-244.862
-101.778	-245.307
-106.782	-247.353
-109.931	-247.932
-106.045	-214.838
-95.961	-172.004
-85.598	-130.237
-73.558	-86.603
-58.191	-42.478
-39.319	3.247
-27.153	25.176
-11.1	46.482
-0.025	68.588
7.595	89.627
17.78	113.068
26.086	128.859
30.963	137.488
36.144	146.917
41.173	155.68
46.279	164.265
51.13	172.182
56.185	180.366
61.57	187.928
66.446	193.71
71.984	199.893
76.505	204.741
81.686	210.124
86.741	215.372
91.745	220.309
97.003	224.846
102.159	228.494
106.883	229.517
109.957	229.606
109.728	219.865
100.533	178.81
89.484	135.13
77.318	91.673
61.976	47.282
44.653	3.025
32.283	-19.037
15.748	-41.811
2.794	-63.206
-6.731	-85.757
-16.688	-108.22
-26.086	-127.035
-30.937	-136.598
-36.093	-146.606
-40.97	-155.902
-46.025	-165.377
-51.13	-174.895
-56.312	-183.569
-61.417	-190.819
-66.523	-197.491
-71.374	-203.674
-76.606	-210.124
-84.353	-219.909
-86.589	-222.622
-91.796	-228.494
-96.723	-233.387
-102.159	-237.879
-106.807	-240.77
-109.855	-239.925
-106.731	-214.305
-96.825	-172.449
-85.877	-128.458
-74.397	-87.181
-58.903	-42.478
-40.386	3.158
-26.848	25.443
-9.855	47.727
0.457	69.122
8.788	90.695
18.872	112.401
26.264	125.567
30.912	133.351
36.449	142.781
41.453	150.921
46.279	158.616
51.283	166.355
56.337	174.006
61.392	180.722
66.904	187.038
71.679	192.109
76.784	197.358
82.042	202.606
86.868	207.455
91.821	212.303
97.282	216.751
101.93	219.687
106.832	220.576
109.931	221.066
107.442	200.249
102.083	178.587
90.703	134.33
78.461	91.006
63.322	48.483
44.933	3.247
32.791	-19.082
15.57	-41.544
1.473	-64.14
-8.23	-85.402
-18.745	-106.796
