"Davey 1975, Spec. 1"	
572	
0	0
0.16702	9.7582
0.50104	15.247
0.50104	19.516
0.83508	23.176
1.0021	29.275
1.0021	34.764
1.8372	42.692
2.5052	49.401
3.5072	53.061
4.1753	56.11
5.3444	56.11
4.8435	49.401
3.6744	37.812
2.8392	27.445
2.0042	15.247
1.1691	4.8793
1.0021	0
0	-15.247
-0.83508	-25.615
-1.1691	-33.544
-2.0042	-40.861
-2.6723	-46.35
-3.5072	-56.11
-4.1753	-62.819
-4.8435	-68.916
-5.6784	-76.236
-6.5136	-82.333
-7.0147	-85.382
-6.3464	-73.185
-5.6784	-65.867
-5.1775	-59.159
-4.3424	-50.01
-3.8412	-39.644
-3.0063	-29.275
-1.8372	-14.637
-0.83508	-4.8793
-0.66807	-0.6099
0.33404	10.978
1.0021	18.906
1.6702	30.495
2.5052	38.424
3.6744	51.841
4.1753	59.767
5.3444	70.136
5.8456	76.845
6.1796	82.945
6.5136	86.602
7.1816	85.993
7.0147	79.285
6.8476	71.356
5.8456	61.599
5.0104	55.498
4.0084	49.401
3.3404	40.861
2.8392	33.544
2.3382	24.396
1.8372	18.296
1.1691	7.9285
0.33404	0
-0.33404	-10.368
-1.3361	-20.127
-1.8372	-27.445
-2.1712	-32.324
-2.6723	-37.204
-3.3404	-43.301
-3.8412	-50.621
-4.6764	-56.718
-4.8435	-62.819
-5.3444	-67.696
-5.6784	-71.965
-6.1796	-76.845
-7.3487	-82.333
-7.5156	-85.382
-7.3487	-80.505
-7.0147	-74.407
-6.8476	-70.747
-6.1796	-64.647
-5.5115	-57.938
-4.1753	-43.912
-3.0063	-29.275
-1.8372	-15.247
-0.66807	0
0.50104	13.417
1.3361	22.566
1.8372	31.104
2.8392	40.252
3.5072	47.573
4.8435	62.21
5.8456	73.185
6.8476	81.113
7.3487	89.654
8.8519	100.63
11.023	114.66
13.695	129.91
16.2	141.49
17.37	144.54
19.875	156.13
22.046	162.22
24.217	165.9
25.219	166.49
25.386	160.4
25.219	156.13
23.716	143.32
23.048	134.17
22.213	128.69
20.543	116.49
19.541	105.51
18.372	98.191
17.871	92.702
16.702	85.382
15.699	77.456
14.864	71.356
13.528	62.21
12.526	55.498
11.691	49.401
10.689	42.081
9.0188	28.664
8.3508	24.396
7.3487	14.637
6.5136	7.3185
5.3444	0
1.5031	-28.664
-0.83508	-45.741
-2.5052	-57.938
-9.0188	-111
-12.192	-129.91
-14.53	-144.54
-16.368	-152.47
-17.871	-158.57
-19.541	-164.66
-20.877	-167.72
-22.881	-173.82
-24.718	-176.86
-23.549	-160.4
-22.213	-143.93
-20.543	-126.25
-19.207	-109.78
-15.699	-81.113
-12.693	-56.11
-9.8539	-34.764
-7.5156	-20.737
-5.6784	-6.7087
-4.6764	0
-1.8372	16.466
0	28.664
2.3382	37.812
6.5136	56.718
10.021	71.965
12.693	86.602
15.031	100.63
16.534	110.39
18.539	120.76
19.875	131.13
22.714	145.15
25.552	157.35
28.56	165.9
31.399	171.99
36.076	177.48
40.919	180.53
45.26	184.19
50.272	186.63
55.115	189.06
58.288	189.67
59.959	191.5
60.124	181.13
59.959	171.38
58.956	158.57
55.951	137.83
55.115	135.39
52.776	108.56
49.268	85.382
47.432	74.407
44.259	56.718
40.084	34.155
37.244	19.516
33.236	-1.2198
28.059	-21.957
22.714	-37.812
17.036	-51.841
14.363	-57.938
6.3464	-73.185
2.3382	-79.896
-0.83508	-85.382
-6.8476	-97.582
-9.5199	-104.9
-11.524	-111
-14.029	-119.54
-15.532	-129.3
-19.04	-140.88
-24.05	-151.25
-27.556	-158.57
-31.9	-164.66
-35.908	-170.76
-39.748	-173.82
-42.923	-176.86
-50.104	-181.13
-56.116	-183.57
-62.464	-184.19
-62.464	-175.03
-61.796	-156.74
-60.46	-144.54
-57.955	-127.47
-55.448	-107.95
-51.775	-82.945
-49.604	-71.356
-46.764	-55.498
-43.591	-39.032
-39.916	-20.737
-36.911	-6.099
-33.404	7.9285
-29.06	21.346
-25.052	31.104
-20.376	42.692
-15.532	53.061
-9.3528	62.819
-5.0104	71.965
-0.66807	79.896
4.1753	85.993
8.5176	94.531
13.361	101.85
17.37	110.39
21.879	119.54
25.72	127.47
30.396	138.44
35.74	148.81
40.584	157.96
43.757	164.66
48.6	172.59
52.944	176.86
56.451	179.3
59.291	181.13
58.788	165.9
57.788	154.3
56.284	137.83
51.775	109.78
48.6	90.262
44.592	68.916
42.088	55.498
38.08	34.764
32.736	10.978
29.896	-1.2198
23.549	-21.957
19.374	-33.544
15.031	-45.741
8.5176	-59.159
1.8372	-70.747
-2.3382	-79.285
-7.5156	-86.602
-12.025	-92.702
-19.04	-101.24
-23.382	-106.73
-28.392	-112.83
-33.736	-119.54
-39.248	-129.3
-44.092	-137.22
-46.764	-144.54
-49.771	-151.25
-53.945	-159.18
-58.288	-164.66
-61.46	-168.32
-61.963	-167.72
-61.295	-162.84
-60.124	-153.08
-58.956	-143.93
-57.62	-133.57
-56.116	-121.37
-54.28	-109.78
-51.775	-95.142
-49.436	-78.065
-45.763	-55.498
-42.923	-40.252
-39.416	-22.566
-35.24	-6.7087
-32.568	3.0495
-26.723	20.737
-23.549	29.275
-18.873	40.861
-14.53	49.401
-10.355	58.547
-6.3464	65.259
-0.16702	75.016
4.1753	82.333
9.3528	89.654
13.027	98.799
16.2	104.9
18.873	109.78
23.215	111.61
27.056	114.66
30.396	119.54
36.243	127.47
39.748	134.17
45.26	143.93
50.439	151.25
54.78	155.52
58.12	158.57
60.792	159.18
59.959	147.59
58.623	134.78
56.284	117.1
54.28	104.29
50.772	82.333
47.6	66.479
45.428	54.89
39.08	28.664
35.575	15.857
31.732	1.2198
29.896	-5.489
24.05	-25.005
20.042	-34.155
14.029	-43.912
7.1816	-55.498
3.6744	-61.599
-0.50104	-68.916
-4.0084	-76.236
-9.3528	-84.165
-16.534	-95.142
-24.217	-104.9
-27.892	-108.56
-31.399	-114.05
-37.579	-122.59
-39.748	-128.08
-41.084	-129.3
-44.592	-136
-46.932	-140.88
-48.268	-144.54
-50.772	-150.03
-52.776	-153.08
-54.28	-156.74
-56.116	-159.79
-60.292	-166.49
-64.8	-171.99
-71.984	-181.13
-78.163	-187.23
-84.676	-193.33
-88.184	-195.77
-87.516	-182.96
-86.512	-171.99
-84.508	-147.59
-81.836	-129.3
-78.664	-109.17
-75.992	-92.702
-72.316	-72.576
-68.976	-55.498
-62.964	-27.445
-58.788	-10.368
-56.284	-0.6099
-57.287	-6.7087
-59.959	-20.127
-63.464	-38.424
-65.804	-53.061
-67.475	-62.21
-70.815	-81.113
-73.32	-95.751
-74.656	-108.56
-77.663	-124.42
-79.667	-137.83
-81.003	-146.37
-83.34	-156.74
-84.676	-164.66
-86.512	-170.76
-88.351	-176.86
-90.856	-182.96
-92.692	-186.63
-96.368	-192.12
-99.54	-191.5
-101.71	-189.67
-103.05	-189.06
-106.56	-186.02
-109.06	-181.13
-111.9	-180.53
-114.07	-178.69
-116.74	-177.48
-119.25	-176.86
-118.41	-165.28
-117.08	-150.03
-115.58	-134.78
-111.9	-109.17
-109.23	-96.362
-106.22	-79.896
-102.72	-61.599
-99.875	-47.573
-96.2	-31.712
-92.359	-17.686
-89.352	-7.3185
-86.68	3.0495
-82.004	19.516
-78.163	29.884
-74.32	40.252
-70.815	49.401
-66.304	58.547
-61.963	64.647
-57.62	70.747
-53.945	76.845
-49.936	81.725
-46.431	84.165
-42.588	86.602
-38.58	89.045
-33.904	89.045
-30.063	89.654
-26.22	89.654
-23.382	89.045
-22.38	88.433
-23.382	79.896
-24.551	73.185
-25.888	67.087
-26.888	60.99
-28.224	55.498
-29.06	51.841
-30.564	46.961
-31.064	43.912
-32.4	39.644
-33.236	35.984
-35.072	29.884
-36.576	24.396
-38.412	18.296
-39.583	13.417
-41.587	6.7087
-42.923	3.0495
-44.092	0
-42.588	4.2692
-41.42	8.5382
-39.916	14.637
-38.748	20.127
-37.244	25.005
-35.575	31.712
-33.571	40.252
-31.9	46.961
-30.564	52.45
-28.892	59.767
-27.056	66.479
-25.386	73.796
-23.382	79.896
-20.543	87.825
-17.536	95.142
-14.363	101.24
-10.856	105.51
-7.3487	107.95
-3.8412	109.78
-1.3361	109.78
1.1691	108.56
2.6723	107.95
6.0124	108.56
8.5176	110.39
11.524	111
13.194	112.22
15.365	112.22
18.873	115.88
21.211	117.1
25.052	120.15
28.727	123.81
32.233	126.85
35.072	131.13
38.58	134.17
41.587	136
44.092	137.83
44.259	132.95
42.756	118.93
42.255	111
40.416	100.63
39.248	90.874
37.912	82.945
36.076	73.185
34.404	65.867
32.568	58.547
30.564	50.621
28.892	43.912
26.388	36.592
24.05	28.055
21.044	18.296
18.038	9.1482
15.532	1.8296
14.196	-1.2198
15.365	3.0495
17.37	10.368
19.541	17.686
22.046	28.055
24.551	36.592
27.391	46.961
29.728	56.718
32.4	68.916
34.74	79.285
37.412	97.582
39.248	107.95
40.919	117.1
43.424	126.25
46.096	134.17
48.268	140.27
51.107	142.1
53.444	144.54
55.951	146.98
57.788	147.59
59.959	150.64
62.796	153.08
65.971	155.52
68.644	156.13
72.484	158.57
77.328	161.01
80.167	161.62
83.34	163.45
83.508	153.69
82.84	141.49
81.836	132.95
80.668	120.15
78.831	109.78
77.495	101.85
76.66	98.191
73.652	83.553
71.316	70.747
66.807	54.278
65.136	46.961
61.796	35.984
58.288	24.396
55.283	15.857
53.111	8.5382
49.436	-0.6099
45.095	-11.588
39.748	-23.786
33.571	-33.544
27.224	-40.861
22.547	-46.35
15.031	-52.45
7.1816	-57.938
1.3361	-62.21
-6.3464	-65.259
-14.196	-68.307
-21.211	-70.747
-26.888	-71.356
-32.568	-73.185
-37.076	-73.796
-39.916	-74.407
-39.916	-67.696
-39.583	-59.159
-38.412	-51.841
-36.911	-40.861
-35.575	-35.375
-33.068	-26.225
-30.396	-19.516
-28.224	-14.027
-25.552	-10.368
-23.048	-5.489
-20.543	-1.2198
-19.875	0
-21.211	-4.2692
-22.547	-8.5382
-25.386	-14.027
-27.556	-20.127
-29.395	-24.396
-31.565	-31.104
-32.901	-34.764
-34.74	-40.861
-36.911	-49.401
-38.58	-55.498
-40.752	-65.259
-43.591	-73.185
-46.431	-78.065
-51.94	-83.553
-56.619	-87.213
-61.46	-91.482
-65.468	-94.531
-70.98	-101.24
-77.996	-110.39
-82.672	-115.27
-86.512	-119.54
-91.691	-125.63
-93.696	-129.3
-98.204	-132.95
-102.38	-134.78
-106.06	-137.22
-110.56	-136.61
-113.57	-137.83
-118.41	-139.05
