"Graff, 2001, C5"	
5014	
0.114064364	0.101632642
-0.063741859	0.090213338
0.130838524	0.169327882
-0.053677337	0.214137932
0.139225604	0.124071304
-0.078838603	0.202892104
0.137548188	0.259528629
-0.048645089	0.191696431
0.135870772	0.168928353
-0.050322505	0.236577225
0.145935268	0.067645501
-0.033548345	0.22540485
0.16438687	0.146655518
-0.023483849	0.090110071
0.176128782	0.629926387
-0.001677416	0.338243868
0.179483614	0.307180574
-0.003354832	0.383504674
0.043612841	0.561328826
0.29690281	4.110775614
0.380773661	2.538842086
0.1073547	0.230680971
0.015096744	1.122951392
0.197935215	1.238962692
0.018451576	0.825648957
0.142580436	0.982198921
0.075483771	0.111356383
-0.023483849	-0.755824556
-0.063741859	-1.752219641
-0.119096612	-2.944250675
-0.290193146	-4.522431436
-0.254967384	-6.489950422
-0.436128414	-7.860224866
-0.462967095	-9.87831951
-0.546837946	-11.38406159
-0.600515284	-12.35041741
-0.617289444	-11.1483671
-0.491483167	-9.480132452
-0.441160662	-7.621620184
-0.399225237	-5.825605616
-0.125806276	-4.068986559
-0.14090302	-2.133774877
-0.109032116	-0.44591132
-0.005032248	0.735149734
0.179483614	1.912713031
0.347225315	3.549321643
0.385805909	5.177352229
0.53677345	6.844243829
0.488128335	8.31137505
0.729676392	9.84469514
0.727998976	11.35626832
0.630708797	9.102270358
0.546837946	7.550646885
0.479741255	5.731711768
0.422709086	3.853084546
0.377418829	2.226760686
0.130838524	1.044638953
0.112386948	0.094763337
-0.068774107	0.358735752
0.157677206	0.198177743
-0.021806433	0.370861829
-0.038580593	-0.692693505
-0.072128939	-1.680406208
-0.249935136	-3.267776827
-0.169419118	-4.928557889
-0.404257485	-6.600046142
-0.447870326	-8.261871413
-0.535096034	-10.01253226
-0.571999186	-11.78822688
-0.642450709	-12.68103676
-0.595483036	-10.67360269
-0.530063761	-8.967115794
-0.504902521	-7.411229044
-0.320386659	-5.422468833
-0.266709296	-3.653409263
-0.154322374	-1.85683453
-0.028516097	-0.234997787
0.060387001	0.716393462
0.233160951	1.651590537
0.300257642	3.819503826
0.456257431	5.280700021
0.501547689	7.108163743
0.526708929	8.563637715
0.66928939	10.31413239
0.739740888	11.58694134
0.660902285	10.32702787
0.58541854	8.703926257
0.518321849	7.078733515
0.431096166	5.044907411
0.385805909	3.406983714
0.270064128	1.668632557
0.182838446	0.502065046
0	0.202950262
0.177806198	0.257465691
-0.013419328	0.344379303
0.177806198	-0.092428387
-0.015096744	0.322586049
0.167741702	0.013540537
-0.015096744	0.277456128
-0.109032116	-1.945821432
-0.58541854	-11.96509428
-0.59380562	-13.10042972
-0.176128782	-1.870147268
0.613934612	8.265750871
0.347225315	3.222859943
0.231483535	0.672714265
0.038580593	0.117578939
-0.041935425	-0.803932932
-0.206322295	-2.239912661
-0.270064128	-4.28465419
-0.390838157	-6.396077195
-0.535096034	-8.68721944
-0.540128282	-11.02857835
-0.657547453	-13.20609526
-0.73470864	-15.46132279
-0.909160005	-17.44381415
-1.021546954	-19.54632134
-1.038321114	-21.62643447
-1.231224081	-23.56772848
-1.315094931	-25.67275229
-1.278191754	-24.45986223
-1.227869249	-23.55773863
-1.222837001	-21.4300382
-1.029934034	-19.84943135
-0.986321192	-17.39894421
-0.769934401	-15.48940068
-0.763224737	-13.16999316
-0.654192621	-11.04240133
-0.486450919	-8.921920823
-0.451225183	-6.548699547
-0.333805987	-4.594578391
-0.197935215	-2.468956117
-0.162709454	-0.263678488
-0.134193356	1.132161799
0.070451523	1.275718031
0.24825772	2.164211315
0.404257485	3.773028641
0.41264459	5.810697381
0.431096166	7.909805176
0.659224869	9.91200438
0.625676549	11.96953371
0.840385924	14.10392079
0.895740677	16.25463263
1.043353362	18.11535153
1.194320903	20.34798218
1.219482143	22.21916252
1.372127101	24.08757053
1.476126944	24.96957259
1.341933587	24.08756783
1.273159506	21.94522915
1.180901575	19.67583936
1.055095299	17.34546624
1.001417936	14.80996016
0.764902153	12.57194955
0.746450552	10.42717874
0.541805698	8.219567658
0.519999265	5.997251445
0.395870405	3.901987466
0.268386712	1.850578681
0.139225604	0.432576838
-0.057032169	0.341556196
0.157677206	0.288515126
-0.035225761	0.410534909
0.154322374	0.188938995
-0.030193513	0.532421789
0.147612684	0.665586884
-0.051999921	0.779116592
0.142580436	0.746824366
-0.036903177	0.682014189
0.149290126	0.687310324
-0.040258009	0.706047725
-0.1073547	-1.247366205
-0.169419118	-2.95527932
-0.281806066	-4.92245418
-0.43780583	-7.106762708
-0.483096087	-9.295236036
-0.625676549	-11.4645205
-0.7095474	-13.65889985
-0.820256907	-15.74981428
-0.868901996	-17.76629109
-1.006450184	-20.02731145
-1.180901575	-22.10213193
-1.209417647	-23.99503532
-1.402320614	-26.19632855
-1.42915927	-28.13172124
-1.546578466	-30.24254975
-1.603610636	-32.17065082
-1.804900683	-34.03031314
-1.793158771	-35.30196693
-1.8250297	-34.25113127
-1.695868592	-31.8426921
-1.70928792	-29.92241141
-1.509675289	-28.18067132
-1.472772112	-25.91598764
-1.338578755	-23.70904315
-1.17251447	-21.49799259
-1.100385556	-19.29736503
-0.996385688	-17.07849275
-0.914192253	-14.97322296
-0.771611817	-12.85077082
-0.788385977	-10.65582407
-0.546837946	-8.488067867
-0.462967095	-6.745957344
-0.337160819	-4.480520464
-0.194580383	-2.448150189
-0.150967542	-0.246884741
-0.038580593	1.167502358
0.192902967	1.964350079
0.303612474	3.58256454
0.390838157	5.404690489
0.538450866	7.467116438
0.580386292	9.567363267
0.727998976	11.69860876
0.749805409	13.60735016
0.967869616	15.93107126
0.981288944	17.86420414
1.128901628	19.86211493
1.254707905	21.89918278
1.281546586	23.90368072
1.432514102	26.07066248
1.591868724	27.98086481
1.660642831	29.82114733
1.756255593	32.08927399
1.865287684	33.8348005
1.99109396	35.44944126
1.781416859	34.04823946
1.819997427	31.86930621
1.670707327	29.49962857
1.583481644	27.20760241
1.496255961	24.73810975
1.323482011	22.56565167
1.221159559	20.55089548
1.060127547	18.27838709
0.987998608	16.12282132
0.944385767	13.72976139
0.828643987	11.64290899
0.69445063	9.58310603
0.620644301	7.496945603
0.489805751	5.493046639
