"Hamilton 2002, UCI-1"	
7575	
0	0.128998427
0.0254	0.128998427
0.0254	0.146791313
0.0254	0.128998427
0	0.186825308
0	0.128998427
0.0508	0.093412654
0	0.133446648
0.0254	0.120101984
0	0.080067989
0	0.120101984
0.0254	0.120101984
0	0.155687757
0	0.102309097
0	0.160135978
0	0.133446648
0.0254	0.169032421
0.0254	0.142343092
0	0.169032421
0	0.133446648
0.0508	0.075619767
0.0508	0.053378659
0.0254	0.075619767
0	0.169032421
0	0.106757319
0.0254	0.080067989
0.0508	0.106757319
0.0254	0.106757319
0.0508	0.093412654
0.0508	0.102309097
0.0254	0.062275103
0	0.115653762
0	0.088964432
0.0254	0.142343092
0	0.128998427
0	0.088964432
0.0254	0.200169973
0.0254	0.066723324
0	0.160135978
0	0.088964432
0.0254	0.511545486
0.0254	0.831817442
0.0254	1.196571614
0.0508	1.672531327
0.0762	2.406487894
0.1905	3.291683995
0.254	4.141294324
0.3302	5.062076198
0.4064	6.000650959
0.508	6.930329276
0.5842	7.797732491
0.6858	8.75854836
0.7747	9.554780029
0.8593582	10.41773502
0.9398	11.21396669
1.016	11.88564816
1.0922	12.65963872
1.1684	13.3357684
1.2192	13.81172811
1.2954	14.41223803
1.3208	14.88374952
1.4139418	15.28853769
1.4478	15.80897962
1.5578582	16.16928557
1.651	16.65858995
1.7272	16.91213858
1.778	17.32137497
1.8034	17.5749236
1.905	17.94412599
1.9558	18.00195288
2.0066	18.21101929
2.0828	18.48236081
2.159	18.58022169
2.2225	18.75370233
2.2902418	18.78483988
2.3452582	18.81152921
2.413	19.14069761
2.4638	19.31417825
2.5146	19.67893242
2.5654	19.75010397
2.6162	20.03034193
2.7178	20.19492613
2.7686	20.34171745
2.8194	20.65754118
2.8956	20.84436649
2.9464	21.0534329
3.0226	21.29808509
3.0734	21.39594597
3.175	21.62725349
3.2512	21.83187169
3.2766	22.03648988
3.3274	22.2677974
3.4036	22.45462271
3.4544	22.54803537
3.5306	22.81492866
3.556	22.96171998
3.6322	23.1307524
3.7084	23.40654214
3.7719	23.46436902
3.8608	23.64674611
3.8862	23.98481095
3.9878	24.04263783
4.0132	24.26060069
4.0894	24.42518489
4.1656	24.52304576
4.191	24.77214617
4.2672	24.87445527
4.318	25.1280039
4.3688	25.28813988
4.445	25.51944741
4.5212	25.68403161
4.5974	25.85751225
4.6228	25.96426957
4.6736	26.15109487
4.7244	26.25340397
4.699	25.69737627
4.7117	25.13245212
4.7244	24.62090664
4.7244	24.09156827
4.6736	23.63340144
4.5974	23.04623619
4.5466	22.5346907
4.445	21.92083612
4.4196	21.43153174
4.2926	21.01339891
4.2418	20.41733721
4.191	20.00810082
4.1148	19.64334665
4.064	19.12735294
3.9878	18.88714898
3.9878	18.42008571
3.9116	18.10426197
3.8862	17.71726669
3.8608	17.40144296
3.7846	17.06337812
3.7338	16.73865794
3.683	16.41838598
3.6322	16.11590691
3.5814	15.84456539
3.5306	15.59101676
3.4967418	15.32857169
3.4544	15.01274795
3.4036	14.75919932
3.3782	14.54568468
3.3528	14.28768783
3.2766	13.97186409
3.2766	13.82062456
3.2004	13.52704193
3.2004	13.34466485
3.1496	13.08666799
3.1242	12.8820498
3.0734	12.73525848
3.048	12.40164186
2.9972	12.15254145
2.9464	11.98350903
2.921	11.82337305
2.921	11.52979043
2.8448	11.40524022
2.8194	11.25844891
2.794	10.97821095
2.7686	10.86700541
2.7432	10.63124966
2.7178	10.43997613
2.6924	10.36435636
2.667	10.05298085
2.6373582	10.02629152
2.6162	9.799432218
2.5908	9.599262245
2.5527	9.528090699
2.54	9.278990289
2.4892	9.154440084
2.4638	8.949821889
2.4638	8.847512792
2.4384	8.705169701
2.3876	8.464965733
2.3876	8.349311971
2.3622	8.242554653
2.3368	8.073522231
2.3198582	7.922282696
2.286	7.784387826
2.286	7.584217854
2.2606	7.499701643
2.2352	7.268394119
2.2098	7.201670795
2.2098	7.068224146
2.159	6.903639946
2.159	6.743503968
2.1336	6.601160877
2.1082	6.49885178
2.0828	6.294233585
2.0531582	6.214165596
2.0066	6.054029618
2.0066	5.933927634
1.9812	5.75599877
1.9304	5.675930781
1.9304	5.444623257
1.8796	5.404589262
1.8796	5.262246171
1.8542	5.164385295
1.8542	4.933077771
1.8288	4.893043777
1.8034	4.790734679
1.8034	4.563875377
1.7526	4.617254036
1.7526	4.310326745
1.7526	4.310326745
1.7018	4.096812107
1.6764	4.101260329
1.651	3.887745692
1.6256	3.785436594
1.6256	3.665334611
1.6002	3.576370178
1.5748	3.407337757
1.5748	3.30502866
1.5494	3.207167784
1.524	3.069272914
1.524	3.00254959
1.4732	2.829068947
1.4732	2.660036526
1.4732	2.633347196
1.4224	2.473211218
1.397	2.393143229
1.3716	2.326419905
1.3716	2.152939262
1.3716	2.126249932
1.3462	1.966113954
1.3208	1.912735294
1.3208	1.797081532
1.3208	1.699220657
1.2954	1.619152668
1.2954	1.588015117
1.2615418	1.427879138
1.2446	1.427879138
1.2192	1.227709166
1.1938	1.214364501
1.2192	1.005298085
1.1938	0.974160534
1.1684	0.831817442
1.1684	0.787335226
1.1684	0.711715458
1.1176	0.658336799
1.0922	0.524890151
1.1176	0.515993707
