"henry et al. 1998,No.415s"	
2992	
0	0
0	0
0	0
0	0
0.2032	1.685875986
0.2794	3.216064217
0.4318	5.524691227
0.635	9.399092241
0.7366	11.2228631
0.889	13.72721186
1.0922	17.44592512
1.1938	19.40759084
1.3462	21.94307715
1.4986	24.98566073
1.5748	24.90114452
1.524	23.09071833
1.3716	19.49655527
1.2192	15.53318983
1.0414	12.35271138
0.9144	9.190025826
0.762	5.787136302
0.6096	2.935826256
0.4572	0.831817439
0.3048	-0.155687756
0.1524	-0.836265661
0.0762	-1.040883854
0	-1.58356689
-0.0762	-2.588864971
-0.1778	-4.047881656
-0.254	-5.159937056
-0.508	-9.781639298
-0.635	-12.1303003
-0.6858	-13.65604031
-0.9398	-18.46901608
-1.0668	-20.60861067
-1.143	-22.03204158
-1.397	-26.34236832
-1.4732	-27.55673281
-1.5748	-28.51310046
-1.3208	-22.6948266
-1.1938	-20.10596163
-1.1176	-18.59356629
-0.8636	-13.55373122
-0.7366	-11.27624176
-0.6858	-9.679330202
-0.4064	-4.848561544
-0.2794	-3.127099785
-0.2032	-1.912735288
-0.0254	-0.609406359
0.0254	-0.502649041
0.1016	-0.017792886
0.2032	0.400339944
0.2794	0.867403212
0.5334	4.550530697
0.6604	6.565575082
0.7366	7.940075556
0.9652	12.87315331
1.0922	15.27519297
1.1684	17.0099994
1.4224	22.20552223
1.4986	23.71791757
1.6002	25.21252003
1.524	23.3531634
1.3716	19.67003592
1.2192	15.86235823
1.0922	12.42388293
0.9144	9.225611598
0.7874	5.960616944
0.635	3.042583574
0.4826	0.920781871
0.3302	-0.155687756
0.1524	-0.782887002
0.1016	-1.058676741
0.0508	-1.356707588
-0.0508	-2.433177215
-0.1778	-3.821022354
-0.254	-5.039835073
-0.4826	-9.572572883
-0.635	-11.76554613
-0.6858	-13.38025057
-0.9652	-18.07312436
-1.0668	-20.12375452
-1.1684	-21.72066607
-1.397	-26.07992324
-1.4732	-27.22756441
-1.6002	-28.54868623
-1.4986	-26.51584896
-1.3208	-23.04178789
-1.1684	-20.19047784
-1.016	-17.04558517
-0.8636	-14.02079448
-0.7366	-11.50310106
-0.6604	-10.21756502
-0.4064	-5.440175017
-0.2794	-3.389544859
-0.1778	-2.36200567
-0.0254	-0.747301229
0.0508	-0.364754171
0.0508	-0.364754171
0.2286	0.346961285
0.3302	1.165434059
0.4572	3.109306898
0.6604	6.325371115
0.762	8.304829727
0.9398	11.08496823
1.1176	15.13284988
1.2192	17.44592512
1.3462	20.46626758
1.524	23.80243378
1.6002	25.1235556
1.5494	23.94477687
1.4224	20.38175137
1.1938	15.37750207
1.1176	12.90873908
0.9652	9.817225071
0.762	5.578069886
0.6604	3.371751973
0.508	1.232157383
0.3048	-0.071171546
0.1778	-0.662785018
0.1016	-0.97416053
0	-1.823770856
0	-1.823770856
-0.1778	-3.909986786
-0.2794	-5.733757642
-0.4064	-8.322622614
-0.5842	-11.20951843
-0.7112	-13.97186405
-0.889	-16.80093298
-1.0414	-19.56772682
-1.1938	-22.25890089
-1.3208	-24.9189374
-1.4732	-27.41883794
-1.5494	-28.33961981
-1.4732	-26.48026318
-1.3208	-23.16188987
-1.1684	-20.27944227
-1.0414	-17.1345496
-0.8636	-14.14534469
-0.7366	-11.48530817
-0.5588	-8.47831037
-0.4064	-5.524691227
-0.2794	-3.407337746
-0.2032	-2.433177215
-0.0508	-0.765094115
0.0508	-0.209066415
0.1524	0.226859302
0.3048	1.005298082
0.5842	4.897491982
0.762	8.651791012
1.2192	17.08117094
1.3716	21.09346683
1.6764	27.4722166
1.8796	31.06637965
2.1336	36.83572307
2.3114	40.20747504
2.4638	43.07657797
2.54	42.76075424
2.5146	42.04903878
2.2606	35.8126321
2.1082	31.93823109
1.8288	25.36820778
1.651	21.458221
1.3462	15.44867362
1.143	11.39634374
0.7366	3.073721126
0.5588	0.591613473
0.2286	-0.818472774
0.1016	-1.547981117
0.0508	-1.894942402
0	-3.006997802
-0.2794	-7.001500798
-0.4318	-10.18197924
-0.8128	-16.80093298
-1.0414	-21.00895062
-1.3462	-26.27119677
-1.524	-29.1402997
-1.8034	-33.60631419
-1.9812	-36.21297205
-2.2606	-40.22526793
-2.413	-41.68428461
-2.4638	-41.7020775
-2.3876	-40.53664344
-2.2606	-37.7075745
-1.9558	-32.45867302
-1.778	-29.62515586
-1.4986	-24.72766387
-1.2192	-20.12375452
-1.016	-16.07142464
-0.6096	-9.105509615
-0.4064	-5.751550529
-0.127	-1.565774003
-0.0254	-0.800679888
