BRI No. 2 (Japan) spbaa1	
2476	
0	0
0	2.985
0	6.3018
0.040123	10.945
0.080245	14.593
0.040123	18.242
0.040123	22.222
0.060184	27.196
0.10031	31.508
0.14042	34.825
0.18056	39.8
0.28086	45.439
0.32098	49.749
0.38117	54.726
0.46142	56.715
0.50154	58.04
0.48147	55.056
0.44135	48.753
0.42128	43.117
0.3611	36.152
0.34105	31.176
0.26079	24.543
0.22068	16.915
0.18056	10.282
0.14042	4.3117
0.060184	-1.6583
0.040123	-5.3067
-0.020061	-11.94
-0.080245	-19.9
-0.14042	-26.865
-0.18056	-33.83
-0.22068	-40.131
-0.28086	-45.105
-0.34105	-51.074
-0.3611	-54.393
-0.42128	-57.711
-0.46142	-60.362
-0.46142	-56.052
-0.44135	-47.098
-0.40123	-38.805
-0.40123	-31.176
-0.3611	-21.558
-0.34105	-13.93
-0.30093	-5.3067
-0.12037	4.3117
-0.040123	12.272
0.020061	21.226
0.080245	31.176
0.18056	41.126
0.3611	53.067
0.44135	61.359
0.64196	70.313
0.82252	76.945
1.0231	83.248
1.1836	87.23
1.3241	90.544
1.4444	91.54
1.5046	92.536
1.5246	87.892
1.4644	79.93
1.4042	72.964
1.3241	66.666
1.2237	59.037
1.1034	51.742
0.98301	43.117
0.80245	33.166
0.56172	21.89
0.38117	11.608
0.28086	1.3266
0.14042	-5.97
0.020061	-15.92
-0.10031	-23.88
-0.22068	-33.498
-0.34105	-46.101
-0.40123	-53.067
-0.50154	-61.025
-0.68209	-69.65
-0.94289	-78.271
-1.1034	-83.911
-1.284	-87.892
-1.4444	-90.877
-1.5246	-92.203
-1.4644	-83.911
-1.4444	-78.271
-1.3442	-71.309
-1.1836	-61.025
-1.0633	-54.726
-0.94289	-46.764
-0.7824	-38.805
-0.62191	-27.86
-0.50154	-18.242
-0.32098	-8.6233
-0.10031	0.99498
0.020061	9.6184
0.16049	18.905
0.24074	28.191
0.42128	39.468
0.56172	48.753
0.80245	60.033
0.94289	67.657
1.1234	75.62
1.2639	81.256
1.3842	84.908
1.4444	86.233
1.4444	83.248
1.4243	77.942
1.4042	73.298
1.304	66.666
1.1836	59.037
