BRI No. 3 (Japan) ws22bs	
2226	
0	0
0.09502	5.5652
0.15837	10.203
0.19004	15.768
0.22172	23.188
0.41175	29.99
0.41175	36.792
0.57012	43.593
0.69681	48.85
0.82351	55.652
1.0135	60.287
1.2036	65.545
1.2986	67.711
1.4253	68.947
1.3619	64.615
1.2986	59.362
1.2036	54.415
1.1086	46.684
0.88685	36.482
0.72848	27.516
0.60179	17.005
0.47509	8.9658
0.31674	0.9275
0.15837	-7.1109
-0.031674	-19.787
-0.22172	-31.227
-0.34841	-40.811
-0.47509	-47.921
-0.66514	-56.577
-0.79183	-63.378
-0.91853	-67.711
-0.98188	-64.926
-0.88685	-58.432
-0.72848	-50.394
-0.60179	-42.047
-0.41175	-32.772
-0.31674	-20.405
-0.19004	-11.749
-0.031674	-3.0917
0.09502	5.256
0.25339	16.696
0.47509	29.062
0.60179	38.956
0.76016	47.302
1.0135	57.507
1.3619	66.781
1.7421	75.13
2.2488	83.168
2.6605	88.115
2.7873	89.658
2.9456	90.588
2.9456	86.567
2.7555	78.529
2.5339	70.184
2.1538	59.668
1.8687	51.012
1.5203	40.811
1.0452	30.299
0.76016	22.569
0.53844	13.294
0.19004	0.30917
0	-9.5841
-0.31674	-22.26
-0.53844	-34.009
-0.69681	-42.975
-0.79183	-52.56
-0.91853	-59.98
-1.0769	-67.399
-1.3936	-74.512
-1.7103	-81.62
-2.1222	-89.04
-2.4705	-92.75
-2.6923	-94.605
-2.6605	-91.513
-2.5022	-85.949
-2.3122	-79.147
-2.0904	-69.873
-1.9004	-61.835
-1.6153	-52.249
-1.2986	-43.284
-1.0769	-37.101
-0.57012	-18.55
-0.28506	-8.0384
-0.031674	-1.2367
0.25339	9.8933
0.53844	21.024
0.79183	32.154
1.0769	44.212
1.4569	54.104
2.0904	65.851
2.4388	75.13
2.7239	82.239
2.9139	84.405
2.7555	78.222
2.4072	67.399
2.027	57.507
1.6471	47.302
1.2353	36.482
0.72848	23.806
0.50677	13.604
0.31674	1.5458
0	-10.512
-0.31674	-22.879
-0.76016	-37.41
-1.2986	-51.942
-1.7737	-64.615
-2.2172	-73.894
-2.5972	-84.712
-2.7239	-90.277
-2.7555	-92.75
-2.6923	-84.094
-2.3755	-73.582
-2.1222	-64.308
-1.7421	-53.797
-1.3936	-41.738
-1.0135	-31.227
-0.63346	-20.096
-0.34841	-11.13
-0.031674	0.30917
0.28506	11.439
0.63346	25.043
0.91853	36.173
1.2353	47.614
1.8687	61.523
2.3438	71.728
2.7873	79.459
2.6923	75.749
2.1854	61.523
1.7103	47.614
1.1719	35.245
0.72848	21.333
0.50677	11.439
0.25339	0
0.031674	-11.749
-0.28506	-22.879
-0.60179	-34.936
-1.0452	-46.377
-1.5519	-59.05
-1.9638	-68.636
-2.4072	-78.222
-2.6605	-87.803
-2.7873	-91.513
-2.5972	-83.168
-2.3438	-72.039
-2.027	-61.216
-1.6787	-51.012
-1.2986	-40.502
-0.91853	-30.608
-0.50677	-17.314
-0.28506	-8.9658
-0.031674	1.5458
0.19004	10.203
0.47509	21.642
0.79183	32.154
1.0135	41.738
1.3303	51.942
1.7421	60.287
2.0904	68.018
2.4705	74.512
2.7873	80.695
2.5655	73.582
2.2172	63.69
1.8687	52.249
1.4569	42.356
1.0769	33.7
0.82351	22.879
0.53844	12.985
0.31674	3.0917
0.19004	-3.0917
-0.063346	-14.84
-0.34841	-26.898
-0.76016	-38.337
-1.2986	-51.942
-1.8054	-65.545
-2.2172	-74.512
-2.5339	-85.023
-2.8189	-91.206
-2.6605	-82.55
-2.4072	-72.657
-2.027	-60.905
-1.6471	-49.157
-1.2669	-40.192
-0.85518	-28.444
-0.57012	-18.241
-0.28506	-8.0384
-0.12669	0
0.15837	10.821
0.53844	22.879
0.85518	35.245
1.2036	48.232
1.8687	60.598
2.2488	69.254
2.6289	76.674
2.7555	76.674
2.3438	66.474
1.9321	54.722
1.5203	42.047
1.1402	34.009
0.66514	20.096
0.34841	6.8018
0.031674	-5.5652
-0.28506	-22.879
-0.66514	-35.864
-1.0452	-47.302
-1.6787	-61.835
-2.027	-69.873
-2.4072	-78.84
-2.6923	-87.803
-2.8823	-91.513
-2.7239	-84.405
-2.3122	-71.421
-1.9321	-57.195
-1.4887	-45.447
-1.1402	-34.627
-0.63346	-21.642
-0.28506	-9.275
0.031674	4.3284
0.41175	17.932
0.72848	28.444
0.98188	39.574
1.2986	49.469
1.8371	61.835
2.3755	72.964
2.6923	77.604
2.6289	73.276
2.1222	60.287
1.8371	49.776
1.4253	39.265
0.9502	27.516
0.69681	17.623
0.41175	6.4926
0.22172	-3.0917
0.031674	-11.439
-0.15837	-19.787
-0.60179	-32.463
-0.91853	-42.047
-1.3303	-54.415
-1.7737	-63.997
-2.1538	-72.346
-2.4388	-80.695
-2.6605	-87.803
-2.8823	-90.588
-2.6289	-80.384
-2.2805	-68.329
-1.9954	-57.195
-1.5203	-43.903
-1.1402	-34.009
-0.63346	-21.642
-0.25339	-9.5841
-0.031674	3.7101
0.34841	17.005
0.57012	24.734
0.85518	35.864
1.1086	46.995
1.5837	56.888
2.0588	66.781
2.4705	74.819
2.8189	80.077
2.4388	69.254
2.0904	58.432
1.7421	47.921
1.1719	35.555
0.72848	22.879
0.41175	12.985
0.25339	1.855
0.031674	-10.512
-0.22172	-21.024
-0.53844	-31.845
-0.88685	-43.593
-1.3619	-54.722
-1.8687	-66.781
-2.3122	-76.985
-2.5655	-85.023
-2.8189	-88.733
-2.5339	-79.766
-2.1854	-67.711
-1.8687	-56.888
-1.6153	-47.302
-1.1719	-33.7
-0.57012	-20.096
-0.28506	-8.3475
0.12669	7.7292
0.44342	21.642
0.79183	29.99
1.0135	39.265
1.3936	49.469
1.8687	62.142
2.5022	72.964
2.7555	78.84
2.4072	67.093
1.9321	53.797
1.4569	40.192
0.98188	29.68
0.69681	20.405
0.38009	7.1109
0.031674	-8.3475
-0.25339	-20.714
-0.66514	-35.864
-1.1086	-48.85
-1.6471	-63.378
-2.1538	-74.201
-2.4705	-83.168
-2.7555	-89.04
-2.7555	-85.642
-2.3755	-73.894
-2.1222	-62.76
-1.7737	-51.324
-1.2353	-38.337
-0.72848	-23.806
-0.38009	-11.13
-0.09502	-0.30917
0.28506	13.294
0.50677	23.188
0.76016	33.7
1.0452	42.666
1.5837	55.959
1.9954	65.233
2.5972	76.985
2.8506	80.695
2.4388	68.018
1.9004	52.249
1.3936	39.883
0.91853	29.371
0.63346	18.55
0.41175	8.9658
0.25339	-0.9275
-0.031674	-15.149
-0.34841	-25.661
-0.57012	-34.627
-1.0769	-48.232
-1.5837	-59.98
-1.9638	-68.636
-2.4388	-80.695
-2.7239	-89.04
-2.8506	-91.825
-2.5022	-78.84
-2.2488	-68.636
-1.9321	-57.195
-1.3936	-42.975
-0.88685	-29.99
-0.47509	-17.314
-0.15837	-4.3284
0.12669	8.0384
0.38009	17.932
0.66514	28.444
0.9502	38.956
1.2669	49.776
1.6787	59.98
2.2172	68.636
2.5655	76.056
2.8189	78.529
2.3755	64.615
1.9638	54.104
1.4569	40.811
1.0135	29.371
0.69681	18.55
0.38009	4.6377
0.031674	-8.3475
-0.22172	-22.26
-0.66514	-36.482
-1.2036	-49.776
-1.7103	-63.378
-2.2172	-76.367
-2.6289	-86.26
-2.8506	-92.132
-2.5972	-81.314
-2.1538	-66.163
-1.8687	-54.415
-1.2986	-38.028
-0.66514	-23.497
-0.38009	-12.058
-0.09502	-2.1642
0.28506	10.203
0.69681	24.734
1.0135	39.265
1.3303	50.394
1.9004	63.378
2.5972	75.437
2.9456	84.712
3.5474	90.588
4.6559	99.244
5.3844	101.72
5.7329	102.03
5.8279	101.72
5.8279	95.841
5.5112	87.497
5.1311	77.911
4.6243	67.093
4.1808	59.98
3.3574	48.539
2.5655	36.792
1.7421	22.879
1.1402	13.604
0.60179	3.0917
0.34841	-3.0917
0	-14.531
-0.22172	-24.734
-0.60179	-34.936
-1.1402	-47.921
-1.6153	-58.432
-2.1854	-70.802
-2.5655	-79.766
-3.0406	-87.497
-3.8009	-95.223
-4.5926	-99.863
-5.1944	-101.72
-5.6062	-102.34
-5.8913	-102.65
-5.7645	-97.696
-5.5112	-89.97
-5.2578	-80.077
-4.9411	-72.964
-4.2758	-62.76
-3.6107	-53.485
-2.7555	-42.356
-2.1222	-30.917
-1.3303	-18.241
-0.63346	-4.9469
-0.12669	4.0192
0.25339	12.676
0.63346	22.569
1.2669	34.627
1.8054	46.066
2.4072	55.34
3.0723	65.233
3.9275	74.819
4.8461	84.405
5.4795	91.206
5.7962	93.68
5.4795	87.803
5.1628	80.077
4.7509	70.184
3.9592	56.888
3.0723	43.284
2.3122	33.081
1.6471	22.879
1.0769	13.604
0.63346	4.3284
0.31674	-3.7101
0	-11.749
-0.50677	-24.425
-1.0135	-35.864
-1.7421	-48.232
-2.5339	-60.905
-3.3257	-69.873
-4.0858	-78.84
-4.7509	-86.26
-5.3212	-91.513
-5.5745	-93.986
-5.7962	-96.46
-5.7012	-91.513
-5.5428	-85.33
-5.1628	-74.819
-4.5926	-65.851
-4.0225	-59.05
-3.389	-50.087
-2.8506	-41.429
-2.0588	-31.227
-1.3936	-21.642
-0.82351	-9.8933
-0.34841	-0.30917
0.031674	7.7292
0.41175	15.458
1.1402	29.371
1.6787	39.574
