Kowalsky & Moyer 2001 No.1	
7269	
0	-0.030581486
-0.02	-0.030581486
0	-0.030581486
0	-0.030581486
0.041	-0.030581486
-0.02	-0.030581486
0	-0.030581486
-0.02	-0.030581486
0.02	0.061162972
0.02	-0.030581486
0.041	-0.030581486
0.041	-0.030581486
0.041	-0.030581486
0.02	-0.030581486
0	-0.030581486
0	0.091744458
0.02	0.122325944
0.02	-0.030581486
0.02	-0.030581486
0.02	-0.030581486
0	-0.030581486
-0.02	-0.030581486
0	0.15290743
-0.02	-0.030581486
-0.02	-0.061162972
0	-0.030581486
0	-0.030581486
0.041	0.061162972
0.041	-0.061162972
0.041	-0.030581486
0.041	0.061162972
0.081	-0.030581486
0	-0.030581486
0.041	-0.030581486
0	-0.030581486
0.02	-0.061162972
0	0.061162972
0	-0.061162972
0	-0.030581486
0	-0.091744458
-0.04	-0.030581486
0	-0.030581486
0.02	-0.030581486
0.02	-0.030581486
0	0.091744458
0	-0.030581486
-0.02	-0.030581486
-0.02	-0.030581486
0	-0.030581486
0	-0.030581486
0	-0.061162972
0	-0.030581486
0	-0.030581486
0	-0.030581486
0	-0.030581486
-0.04	0.061162972
-0.02	-0.030581486
-0.02	-0.030581486
0.02	-0.030581486
0	-0.030581486
0.02	-0.030581486
0	-0.030581486
0.02	-0.030581486
0	-0.061162972
-0.04	-0.030581486
0.02	0.091744458
-0.04	-0.030581486
0	-0.030581486
0.02	-0.030581486
0.02	0.091744458
0	-0.030581486
0.02	-0.030581486
0	-0.030581486
0	-0.030581486
0	-0.030581486
0.02	-0.030581486
0	-0.061162972
0	-0.030581486
0	-0.030581486
0	-0.030581486
0	-0.030581486
-0.04	-0.030581486
0	-0.061162972
0	-0.091744458
-0.02	-0.061162972
-0.02	-0.030581486
-0.04	-0.061162972
0	-0.030581486
0.729	4.067337642
0.769	3.241637519
0.749	2.171285508
0.749	1.253840927
0.769	0.45872229
0.688	0.061162972
0.749	-0.091744458
0.729	-0.15290743
0.749	-0.244651888
0.729	-0.336396346
0.749	-0.244651888
0.749	-0.30581486
0.729	-0.336396346
0.769	-0.397559318
0.729	-0.45872229
0.749	-0.519885263
0.729	-0.581048235
0.749	-0.672792693
0.749	-0.611629721
0.749	-0.703374179
0.769	-0.703374179
0.749	-0.764537151
0.749	-0.795118637
0.709	-0.856281609
0.729	-0.917444581
0.769	-0.886863095
0.749	-0.917444581
0.729	-0.948026067
0.749	-1.009189039
0.729	-1.070352011
0.709	-0.886863095
0.729	-0.978607553
0.729	-0.948026067
0.729	-1.009189039
0.729	-0.948026067
0.729	-1.009189039
0.729	-0.917444581
0.749	-1.009189039
0.749	-0.764537151
0.79	2.630007799
0.749	5.810482346
0.972	8.960375407
1.417	12.11026847
1.66	15.29074302
1.822	18.62412499
2.268	21.6822736
2.592	25.01565557
2.693	26.2694965
2.734	26.20833353
2.734	26.23891501
2.713	26.20833353
2.734	26.20833353
2.713	26.2694965
2.713	26.2694965
2.693	26.2694965
2.693	26.2694965
2.713	26.33065947
2.693	26.2694965
2.734	26.23891501
2.734	26.33065947
2.713	26.2694965
2.673	26.17775204
2.693	26.20833353
2.673	26.20833353
2.734	26.14717056
2.713	26.20833353
2.693	26.20833353
2.693	26.2694965
2.673	26.33065947
2.734	26.2694965
2.734	26.30007799
2.713	26.33065947
2.693	26.20833353
2.693	26.39182244
2.673	26.42240393
2.713	26.36124096
2.713	26.30007799
2.673	26.33065947
2.693	26.39182244
2.713	26.45298542
2.713	26.2694965
2.693	26.39182244
2.754	26.33065947
2.754	26.39182244
2.673	26.33065947
2.693	26.30007799
2.673	26.23891501
2.713	26.30007799
2.693	26.30007799
2.693	26.2694965
2.713	26.2694965
2.713	26.33065947
2.693	26.39182244
2.713	26.2694965
2.673	26.33065947
2.754	26.17775204
2.713	26.36124096
2.713	26.33065947
2.713	26.33065947
2.693	26.2694965
2.713	26.30007799
2.693	26.2694965
2.673	26.2694965
2.673	26.33065947
2.734	26.33065947
2.693	26.33065947
2.713	26.23891501
2.713	26.2694965
2.713	26.33065947
2.713	24.40402585
2.673	21.46820319
2.734	18.3794731
2.713	15.22958004
2.713	12.29375738
2.754	9.174445809
2.713	6.055134234
2.693	2.996985631
2.734	-0.214070402
2.713	-3.272219005
2.592	-6.360949095
2.369	-9.419097698
2.126	-12.50782779
1.802	-15.68830233
1.458	-18.86877688
1.134	-21.55994765
0.648	-25.04623706
0.486	-27.85973377
0.445	-27.98205972
0.364	-28.04322269
0.405	-28.07380418
0.405	-28.04322269
0.405	-28.07380418
0.405	-28.07380418
0.405	-28.10438566
0.405	-28.16554863
0.405	-28.16554863
0.364	-28.19613012
0.405	-28.22671161
0.364	-28.07380418
0.385	-28.16554863
0.405	-28.07380418
0.405	-28.10438566
0.405	-28.19613012
0.405	-28.16554863
0.425	-28.16554863
0.385	-28.16554863
0.385	-28.10438566
0.405	-28.13496715
0.405	-28.16554863
