"Kowalsky et al.1996,specimen nr.FL2"	
1041	
0	0
-0.043	0.066
-0.048	0.026
-0.053	0.107
-0.048	0.122
-0.048	0.169
-0.043	0.1
-0.048	0.178
-0.043	0.279
-0.048	0.296
2.876	10.474
5.738	20.624
8.939	31.034
11.867	41.264
14.847	51.554
18.297	61.684
20.857	68.384
18.417	58.174
15.457	47.934
12.447	37.614
9.548	27.234
6.72	16.994
3.6	6.737
0.5855	-3.783
-2.52	-14.046
-5.634	-24.306
-8.833	-34.486
-12.173	-44.876
-15.603	-55.026
-19.243	-65.256
-21.783	-71.836
-20.183	-61.436
-16.953	-50.726
-13.613	-39.846
-10.393	-29.256
-7.187	-18.656
-3.882	-8.067
-0.529	2.697
2.629	13.454
6.124	23.934
9.248	34.514
12.627	45.244
16.017	55.824
19.507	66.614
23.207	77.284
27.767	87.824
32.927	98.114
35.817	102.744
34.077	92.394
30.297	81.874
26.417	71.304
22.557	60.694
19.077	50.324
15.597	40.014
12.127	29.604
8.863	19.204
5.324	8.894
2.1047	-1.57584
-1.262	-12.066
-4.62	-22.426
-8.097	-32.816
-11.663	-43.286
-15.373	-53.646
-19.073	-63.956
-22.983	-74.186
-27.533	-84.396
-32.623	-94.356
-37.673	-102.756
-39.403	-106.956
-38.023	-96.806
-34.003	-86.516
-29.823	-75.996
-25.613	-65.276
-21.513	-54.466
-17.553	-43.596
-13.843	-32.986
-9.983	-21.826
-6.173	-10.466
-2.429	0.448
1.0713	11.054
4.676	21.954
8.258	32.604
12.217	43.394
16.127	53.844
20.407	64.644
24.647	74.954
29.047	85.424
33.517	95.854
38.337	106.144
43.417	115.944
48.557	125.044
53.677	133.144
55.547	135.644
53.787	125.544
49.347	115.144
44.657	104.244
39.997	93.454
35.297	82.514
30.807	71.804
26.277	60.474
21.887	49.364
17.737	38.314
13.757	27.614
9.944	17.034
5.986	6.274
2.2428	-4.271
-1.439	-14.866
-5.215	-25.556
-9.173	-36.236
-13.413	-47.026
-17.893	-57.786
-22.633	-68.486
-27.533	-78.986
-32.533	-89.426
-37.423	-99.746
-42.563	-109.856
-47.683	-118.656
-52.783	-126.956
-57.883	-134.656
-61.203	-138.556
-59.843	-128.656
-54.793	-118.256
-49.873	-107.856
-44.763	-97.126
-39.923	-86.766
-34.893	-75.946
-29.973	-65.146
-25.313	-54.696
-20.993	-44.116
-16.763	-33.626
-12.673	-22.876
-8.482	-12.066
-4.272	-1.50749
-0.277	9.114
3.614	19.734
7.548	30.424
11.747	40.844
16.167	51.394
20.807	62.014
25.587	72.424
30.507	82.714
35.597	93.154
40.717	103.344
45.897	113.644
51.057	124.044
56.217	133.944
61.357	142.544
66.407	150.644
70.027	152.844
67.887	143.044
63.257	132.844
58.327	122.644
53.477	112.344
48.607	101.844
43.657	91.484
38.877	81.014
34.027	70.304
29.287	59.574
24.677	48.744
19.987	37.584
15.597	26.554
11.211	15.804
6.953	5.033
2.638	-6.11
-1.677	-17.196
-6.177	-28.436
-10.643	-39.246
-15.533	-50.226
-20.563	-61.106
-25.933	-71.726
-31.143	-81.516
-36.343	-91.226
-41.523	-100.506
-46.783	-110.056
-51.913	-118.956
-57.023	-127.656
-62.183	-136.356
-67.323	-144.556
-70.473	-148.956
-68.583	-138.456
-63.583	-127.656
-58.163	-116.656
-52.943	-106.056
-47.643	-95.596
-42.343	-85.056
-37.113	-74.426
-31.773	-63.436
-26.673	-52.476
-21.573	-41.246
-16.983	-30.476
-12.433	-19.606
-7.873	-8.404
-3.405	2.674
0.8522	13.344
4.953	23.884
9.391	34.774
14.037	45.384
19.077	56.264
24.017	66.674
29.337	77.284
34.597	87.504
39.787	97.284
44.987	106.844
50.097	116.044
55.267	125.144
60.567	134.544
65.727	143.044
70.077	148.644
65.997	138.344
61.127	128.144
56.147	117.744
51.107	107.444
46.077	97.084
41.127	86.794
36.177	76.394
31.267	65.994
26.637	55.554
21.947	45.244
17.557	34.774
13.217	24.504
8.872	13.874
4.696	3.244
0.4331	-7.272
-3.767	-18.136
-8.244	-29.076
-13.073	-40.196
-17.903	-50.796
-23.003	-61.316
-28.303	-71.666
-33.443	-81.096
-38.653	-90.266
-43.763	-99.036
-48.853	-107.556
-53.913	-116.256
-59.033	-125.056
-64.183	-133.756
-69.263	-141.956
-70.463	-144.256
-66.563	-133.656
-61.483	-123.156
-56.103	-112.456
-50.723	-101.956
-45.343	-91.376
-40.043	-81.066
-34.643	-70.396
-29.353	-59.526
-24.213	-48.586
-19.463	-38.086
-14.903	-27.516
-10.373	-16.596
-5.911	-5.698
-1.553	5.291
2.752	15.974
7.153	26.834
11.657	37.644
16.357	48.184
21.217	58.584
26.407	69.314
31.667	79.714
36.917	89.514
42.117	99.144
47.417	108.744
52.737	118.244
57.937	127.444
63.097	136.144
68.237	144.944
70.077	146.644
67.237	136.544
62.247	126.144
57.117	115.444
51.997	104.944
46.967	94.664
41.787	83.974
37.017	73.334
31.707	62.324
26.797	51.764
22.007	40.814
17.477	30.084
12.797	19.274
8.277	8.604
3.981	-2.201
-0.434	-12.636
-4.825	-23.376
-9.483	-34.286
-14.213	-44.656
-19.183	-55.216
-24.453	-65.546
-29.613	-74.766
-34.703	-83.706
-39.823	-92.596
-44.873	-100.876
-49.973	-109.356
-55.073	-117.656
-60.173	-126.056
-65.233	-134.556
-70.133	-142.756
-67.533	-132.656
-62.643	-122.456
-57.493	-112.156
-52.193	-101.656
-46.833	-91.306
-41.433	-80.796
-35.943	-69.786
-30.473	-58.626
-25.083	-47.326
-20.053	-36.346
-15.323	-25.526
-10.493	-14.126
-5.963	-3.236
-1.486	7.612
2.891	18.364
7.529	29.504
12.347	40.484
17.447	51.364
22.557	62.004
27.907	72.604
33.287	82.814
38.587	92.474
43.787	101.744
49.047	110.944
54.337	120.144
59.687	129.344
65.087	138.544
70.297	147.044
75.537	154.744
80.717	160.944
85.917	165.344
91.047	168.044
96.127	169.444
101.267	171.744
105.257	171.644
103.657	161.544
99.417	151.544
94.267	141.444
89.147	132.044
83.927	122.044
78.667	112.344
73.457	102.744
68.237	93.104
62.837	83.014
57.477	73.184
52.087	63.544
46.797	53.984
41.477	44.274
36.267	34.784
31.027	25.184
25.747	15.644
20.327	5.71
14.957	-4.367
9.649	-13.956
4.405	-24.066
-0.843	-34.006
-6.068	-43.946
-11.413	-53.796
-16.633	-63.206
-22.003	-72.316
-27.283	-80.846
-32.523	-88.776
-37.763	-96.446
-42.963	-103.756
-48.143	-110.956
-53.283	-118.056
-58.463	-125.056
-63.773	-132.356
-69.083	-139.656
-74.443	-146.356
-79.743	-151.756
-84.883	-155.856
-90.073	-159.156
-95.193	-162.556
-100.343	-165.456
-105.343	-166.956
-104.043	-156.856
-100.243	-146.356
-95.003	-136.556
-89.783	-126.856
-84.533	-117.356
-79.193	-107.756
-73.903	-98.476
-68.543	-88.956
-63.173	-79.516
-57.903	-70.336
-52.653	-61.276
-47.373	-52.386
-42.183	-43.806
-36.903	-34.956
-31.663	-26.216
-26.413	-17.466
-21.103	-8.553
-15.793	0.646
-10.503	9.794
-5.21	19.114
0.062	28.844
5.491	38.384
10.853	47.444
16.117	56.004
21.477	64.724
26.827	72.874
32.337	81.024
37.827	88.744
43.287	95.934
48.737	102.944
54.237	109.744
59.607	116.244
65.127	122.644
70.567	128.944
75.967	134.744
81.237	140.244
86.417	145.644
91.537	150.444
96.657	155.344
101.757	159.544
105.057	160.244
100.257	150.244
94.847	139.244
89.487	129.844
83.967	119.644
78.217	109.444
72.637	99.244
66.927	89.004
61.307	79.334
55.897	69.584
50.277	59.624
44.627	49.854
39.157	40.264
33.547	30.384
28.137	20.984
22.827	11.834
17.397	2.376
12.027	-7.011
6.529	-16.616
1.1427	-26.086
-4.534	-36.096
-10.113	-45.546
-15.593	-54.256
-21.203	-62.976
-26.603	-70.876
-32.163	-78.596
-37.533	-85.716
-43.003	-92.386
-48.233	-98.476
-53.483	-104.456
-58.693	-110.356
-63.923	-116.356
-69.153	-122.256
-74.313	-127.956
-79.503	-133.556
-84.703	-138.956
-89.863	-144.356
-95.103	-149.456
-100.243	-153.956
-104.943	-157.156
-104.943	-157.056
-105.043	-157.156
-100.843	-147.056
-95.543	-137.156
-90.233	-127.556
-84.993	-118.156
-79.683	-108.856
-74.423	-99.706
-69.223	-90.826
-63.873	-81.366
-58.553	-72.266
-53.103	-62.986
-47.563	-53.776
-42.143	-44.806
-36.723	-35.686
-31.433	-26.846
-26.003	-17.836
-20.603	-8.77
-15.183	0.636
-9.823	9.884
-4.448	19.484
0.8617	28.904
6.224	38.134
11.707	47.414
17.087	55.714
22.407	64.224
27.747	72.414
33.077	80.134
38.367	87.264
43.677	94.184
49.037	101.044
54.227	107.244
59.407	113.444
64.627	119.444
69.807	125.044
75.077	130.744
80.417	136.544
85.717	142.044
90.967	147.444
96.207	152.444
101.317	156.744
105.057	158.344
102.357	148.544
97.207	139.044
91.997	129.244
86.797	119.744
81.397	109.944
75.987	100.544
70.617	91.014
65.287	81.574
59.887	71.714
54.597	62.694
49.047	53.014
43.607	43.394
38.147	33.974
32.817	24.484
27.487	15.414
22.087	6.366
16.787	-3.176
11.357	-12.016
6.077	-21.286
0.7903	-30.076
-4.415	-38.846
-9.763	-47.466
-15.023	-55.596
-20.273	-63.586
-25.583	-70.956
-30.963	-78.326
-36.253	-85.066
-41.563	-91.616
-46.923	-97.746
-52.383	-103.856
-57.823	-109.756
-63.113	-115.456
-68.483	-121.356
-73.663	-126.756
-78.853	-132.156
-84.163	-137.556
-89.333	-142.556
-94.623	-147.756
-99.843	-152.556
-104.943	-156.656
-105.543	-157.056
-104.543	-146.856
-99.343	-137.156
-94.053	-127.656
-88.813	-118.556
-83.463	-109.156
-78.003	-99.746
-72.643	-90.506
-67.233	-81.126
-61.703	-71.676
-56.093	-62.246
-50.463	-53.156
-44.943	-44.376
-39.643	-35.866
-34.343	-27.416
-29.173	-19.246
-24.073	-11.163
-18.963	-2.981
-16.773	-0.8698
-16.463	-0.5608
-16.233	-0.447
-16.113	-0.541
-16.083	-0.7932
-16.113	-2.2338
-16.953	-5.976
-16.983	-5.572
-16.983	-5.249
-16.993	-5.005
-16.993	-4.912
-17.013	-4.868
-16.973	-3.359
-16.933	-3.845
-16.883	-4.211
-16.843	-4.73
-16.813	-5.142
-16.793	-5.232
-16.753	-5.492
-12.853	4.586
-7.925	14.904
-3.077	25.164
2.038	35.294
7.267	44.784
12.387	53.514
17.527	61.534
22.737	69.714
27.907	77.164
33.057	84.334
38.267	91.414
43.487	97.974
48.677	104.044
53.837	110.344
59.047	116.044
64.307	121.844
69.557	127.444
74.737	132.644
79.827	137.644
84.907	142.544
89.997	147.444
95.127	152.144
100.307	156.744
105.457	160.844
110.557	163.944
115.657	167.344
120.757	170.344
125.857	172.244
130.957	173.544
136.057	174.744
140.057	172.844
139.457	162.744
134.557	152.644
129.257	143.044
124.057	133.644
118.657	124.344
113.057	114.944
107.657	105.744
102.157	96.414
96.517	86.884
91.057	77.974
85.597	69.314
79.877	60.324
74.427	51.444
68.907	43.424
63.147	34.824
57.297	26.324
51.827	18.394
46.057	10.644
40.367	2.829
34.737	-4.533
29.307	-11.776
23.817	-18.866
18.257	-26.026
12.727	-32.536
7.262	-39.126
1.6904	-46.166
-4.063	-53.386
-9.733	-60.306
-15.383	-67.286
-20.903	-74.096
-26.343	-80.326
-31.803	-86.796
-37.163	-92.656
-42.773	-98.516
-48.283	-104.056
-53.823	-109.556
-59.313	-114.856
-64.633	-120.056
-69.903	-125.056
-75.203	-129.656
-80.553	-134.656
-85.953	-139.356
-91.303	-143.856
-96.513	-148.156
-101.743	-152.156
-106.943	-156.156
-112.243	-159.356
-117.443	-162.256
-122.543	-164.856
-127.643	-166.756
-132.843	-168.356
-138.043	-169.056
-140.443	-169.256
-140.443	-159.256
-136.343	-148.856
-131.043	-139.456
-125.743	-130.356
-120.443	-121.456
-115.143	-112.656
-109.843	-103.956
-104.543	-95.356
-99.143	-86.546
-93.783	-78.006
-88.253	-69.186
-82.893	-60.896
-77.603	-52.746
-72.153	-44.516
-66.603	-36.446
-60.983	-28.226
-55.533	-20.756
-50.133	-13.796
-44.713	-6.975
-39.513	-1.2434
-31.033	8.634
