SPECIMEN A2	
DISP(mm)	SHEAR(kN)
-0.166211631	-0.077550373
-0.259492648	-1.337537326
-0.716571694	-5.665713508
-0.665266691	-4.647018857
-0.637282673	-4.388444291
-0.641945681	-4.431535506
-0.63261969	-4.450090293
-0.655937677	-4.498001151
-0.646611686	-4.558427391
-0.660603683	-4.582975249
-0.646611686	-4.516538658
-0.660603683	-4.499198037
-0.660603683	-4.562033892
-0.665266691	-4.521335377
-0.660603683	-4.541098415
-0.660603683	-4.520139399
-0.665266691	-4.500394055
-0.646611686	-4.53747438
-0.655937677	-4.498006996
-0.655937677	-4.456089124
-0.646611686	-4.495602932
-0.646611686	-4.474644165
-0.660603683	-4.47825079
-0.665266691	-4.458517345
-0.660603683	-4.45729177
-0.655937677	-4.477059749
-0.655937677	-4.456106658
-0.660603683	-4.457297659
-0.655937677	-4.393264389
-0.646611686	-4.390860409
-0.655937677	-4.456106658
-0.660603683	-4.499192152
-0.665266691	-4.542324115
-0.669929674	-4.564461579
-0.669929674	-4.606350103
-0.674595704	-4.691347909
-0.674595704	-4.733254426
-0.68392167	-4.79848882
-0.688587701	-4.84158003
-0.679258687	-4.881087838
-0.68392167	-4.9241723
-0.697916714	-4.927780077
-0.702579697	-4.970883964
-0.688587701	-4.946316793
-0.693250684	-4.9894442
-0.702579697	-5.012790974
-0.70724268	-5.013999473
-0.697916714	-4.948752726
-0.693250684	-4.947543529
-0.70724268	-4.993045394
-0.697916714	-5.032529276
-0.70724268	-5.034939888
-0.702579697	-5.012778457
-0.697916714	-5.032541713
-0.697916714	-5.011582559
-0.70724268	-4.972117586
-0.702579697	-4.970890222
-0.702579697	-4.99183694
-0.697916714	-4.990628565
-0.702579697	-5.012790974
-0.70724268	-4.993045394
-0.702579697	-4.970896481
-0.70724268	-4.993045394
-0.60929868	-3.66905589
-0.469375668	-1.83151883
-0.460046654	-1.787219161
-0.469375668	-1.8943611
-0.478704681	-1.980568055
-0.483367664	-2.06555128
-0.488030647	-2.129590911
-0.506688674	-2.218203793
-0.492696678	-2.31932842
-0.497359661	-2.320530701
-0.502025691	-2.32173376
-0.502025691	-2.342685481
-0.502025691	-2.447421714
-0.511351657	-2.386989172
-0.506688674	-2.406738572
-0.506688674	-2.427681304
-0.502025691	-2.468373431
-0.506688674	-2.490532602
-0.516017688	-2.492929082
-0.516017688	-2.471985901
-0.502025691	-2.468377906
-0.511351657	-2.470782717
-0.511351657	-2.512673185
-0.506688674	-2.490541632
-0.520680671	-2.515092608
-0.497359661	-2.509083035
-0.502025691	-2.468391321
-0.511351657	-2.407954642
-0.502025691	-2.426505777
-0.511351657	-2.428906447
-0.506688674	-2.364866648
-0.511351657	-2.407959201
-0.502025691	-2.384606809
-0.506688674	-2.448655634
-0.506688674	-2.448660149
-0.511351657	-2.428924671
-0.506688674	-2.46961191
-0.497359661	-2.404359568
-0.506688674	-2.448673693
-0.506688674	-2.4067792
-0.394749655	-1.037267955
-0.142890621	2.169785432
0.150947425	4.884934299
0.402806433	6.814201826
0.659331473	8.72373968
0.89719851	10.54466869
1.149057519	12.28541754
1.363606569	13.80705692
1.680762602	15.39711266
1.951279638	16.9122587
2.193809659	18.29448218
2.441005684	19.69889508
2.683538727	21.14400394
2.940063767	22.61364827
3.201251789	24.08449545
3.443781809	25.44576199
3.686314852	26.86999858
3.95216888	28.15352827
4.204027914	29.32878448
4.469878944	30.54943802
4.735732972	31.56061189
4.982929023	32.48331184
5.239451015	33.21980876
5.486647066	34.12147747
5.738509097	34.94061207
5.976376135	35.7979803
6.22357216	36.61591742
6.484760183	37.39551794
6.736619217	38.19347587
6.997807239	38.95255664
7.277653288	39.88335293
7.030457262	35.9862152
6.983815242	35.61807815
6.974489251	35.6366806
6.988481248	35.64016652
6.983815242	35.61807815
6.993144256	35.59972311
6.988481248	35.5984576
6.983815242	35.63902487
6.993144256	35.5996608
6.988481248	35.53549095
6.988481248	35.51454424
6.988481248	35.51473087
6.993144256	35.53675623
6.993144256	35.51593412
6.993144256	35.55782968
6.983815242	35.53447355
6.997807239	35.53802174
6.988481248	35.49365963
7.119075272	37.11928784
7.398918298	39.83085007
7.660106321	40.94574236
7.935286339	41.79172675
8.18248239	42.56778937
8.43900743	43.26239935
8.690866438	43.99778034
8.942728495	44.79576761
9.185258515	45.48692756
9.451112543	46.22558758
9.698308594	46.91813072
9.954830586	47.59161957
10.19736363	48.30375091
10.45388867	48.93514762
10.73839773	49.72114543
10.98092772	50.41224502
11.23745276	51.1067601
11.48464879	51.79906786
11.74583683	52.43183656
12.00236187	53.16844702
12.24489187	53.79671693
12.27754189	52.46473295
12.07698486	50.27581343
12.08631385	50.25727381
12.08631385	50.27843589
12.07698486	50.19234934
12.07698486	50.19213414
12.09097686	50.17490553
12.07232185	50.08640825
12.08631385	50.13180463
12.08631385	50.17380998
12.09097686	50.25890783
12.10030587	50.21952964
12.09564286	50.19748731
12.09564286	50.11358847
12.08631385	50.09012656
12.10030587	50.11479183
12.09564286	50.0927495
12.09564286	50.09264172
12.08165087	50.10997758
12.09564286	50.09242622
12.08165087	50.08913848
12.09564286	50.07191053
12.09097686	50.04965189
12.09564286	50.02980158
12.07698486	49.98308891
12.09564286	50.02990936
12.10030587	49.98910727
12.09564286	49.94611824
12.08631385	49.92287162
12.09097686	49.86091173
12.08165087	49.87966708
12.09097686	49.90302064
12.08631385	49.90192492
12.09097686	49.79806736
12.09097686	49.86134261
12.08165087	49.87977472
12.08165087	49.817038
12.08631385	49.77624036
12.07698486	49.75277836
12.08631385	49.79707937
12.08165087	49.79587597
12.09097686	49.75649707
12.10030587	49.75868918
12.08165087	49.77514455
12.08165087	49.73303582
12.07698486	49.73204686
12.08631385	49.7554013
12.08631385	49.71296947
12.08631385	49.69234583
12.07698486	49.64793295
12.07698486	49.66931004
12.07698486	49.6062547
12.08165087	49.64967528
12.07698486	49.62709385
12.08631385	49.65066349
12.08165087	49.60745895
12.08165087	49.60767419
12.07698486	49.6064699
12.08165087	49.60767419
12.09564286	49.63201676
12.08165087	49.62862094
12.07232185	49.56315781
12.08165087	49.54451117
12.08631385	49.58771566
12.08631385	49.60877005
12.09097686	49.6311357
12.09097686	49.58881138
12.09097686	49.610189
12.08165087	49.6285133
12.07698486	49.64847094
12.09097686	49.63102797
12.08631385	49.6505558
12.09097686	49.5471334
12.08165087	49.58661985
12.08631385	49.56687665
12.08631385	49.54603759
12.09564286	49.52771001
12.08165087	49.48188204
12.09097686	49.56818783
12.08165087	49.54461877
12.10497188	49.55128467
12.09564286	49.52717118
12.08165087	49.50293638
12.09564286	49.52738673
12.07698486	49.48100054
12.08165087	49.52409836
12.08631385	49.48319322
12.08631385	49.48340855
12.08165087	49.46104294
12.08165087	49.41947242
12.09564286	49.46476209
12.08631385	49.39994472
12.07698486	49.4179452
12.07698486	49.39721369
12.08165087	49.39841808
12.07698486	49.37615513
12.07698486	49.37593993
12.08631385	49.42046072
12.08165087	49.35630513
12.07232185	49.3121114
12.07698486	49.37626272
12.08165087	49.37757475
12.07232185	49.35400484
12.08631385	49.35750867
12.08631385	49.39929865
12.09097686	49.31703418
12.08165087	49.37735947
12.08631385	49.33677729
12.07232185	49.33284304
12.07698486	49.31331498
12.07698486	49.31320739
12.08165087	49.35662805
12.08165087	49.29346498
12.07232185	49.3541124
12.07698486	49.33415409
12.09097686	49.31703418
12.08165087	49.29368027
12.08165087	49.27262592
12.07698486	49.31342258
12.07698486	49.27142154
12.09564286	49.25518291
12.07232185	49.27011045
12.07232185	49.27043311
12.06765887	49.28996112
12.08165087	49.23062061
12.07232185	49.2491637
12.07232185	49.24937881
12.07698486	49.20846957
12.07698486	49.14573703
12.08165087	49.20978151
12.07698486	49.14573703
12.07232185	49.18674955
12.07698486	49.20836198
12.07232185	49.144641
12.07232185	49.14474855
12.07698486	49.16689892
12.07232185	49.16548014
12.07232185	49.14474855
12.07698486	49.12479028
12.07232185	49.10274755
12.06765887	49.20638506
12.06765887	49.1642766
11.92307285	47.53528307
11.67121082	45.4593235
11.4146888	43.84320892
11.16282675	42.35357487
10.91096774	40.86414271
10.63112169	39.11621351
10.38392564	37.69063977
10.12273762	36.32457594
9.87554159	35.04564441
9.614353568	33.82629499
9.367157517	32.67288986
9.115298508	31.47705294
8.872765465	30.36707853
8.616243448	29.1907294
8.364381417	28.1200141
8.103193369	27.02610487
7.823350343	25.78082352
7.580817325	24.69180169
7.319629277	23.57708404
7.072433252	22.46572042
6.825237226	21.48054091
6.568712186	20.36666082
6.316853152	19.31724488
6.060328113	18.26650632
5.813132087	17.26007022
5.551944065	16.18713167
5.309414045	15.14010208
5.024905012	13.99834774
4.768379973	12.90554258
4.516520939	11.83518814
4.269324913	10.78681904
4.036120884	9.805051584
3.756274834	8.60155618
3.513744839	7.533578458
3.252556792	6.48160195
3.010023749	5.581076501
2.753498709	4.488491643
2.492310687	3.457446938
2.21246766	2.254077225
1.979263631	1.104601246
1.704083612	-0.055659875
1.466216575	-1.18537657
1.219020549	-2.401312243
0.96249551	-3.514876507
0.715299484	-4.688896528
0.46344045	-5.843171988
0.202252428	-6.853225505
-0.044943598	-8.027245014
-0.296805655	-9.013945935
-0.544001681	-9.999438107
-0.837836704	-11.33212109
-1.089698735	-12.40259637
-1.350886783	-13.49647028
-1.602745791	-14.65073365
-1.845278834	-15.80260369
-2.111129865	-16.91859547
-2.353662908	-18.0286328
-2.605521916	-19.22467109
-2.862046956	-20.40119482
-3.118568972	-21.59856947
-3.384423025	-22.81927186
-3.645611048	-24.03876711
-3.892807073	-25.12899396
-4.149332113	-26.22170496
-4.401191147	-27.33400815
-4.648387173	-28.36147749
-4.904912212	-29.39118926
-5.156771246	-30.41986908
-5.403967272	-31.3634708
-5.669818277	-32.3747284
-5.926343316	-33.21589483
-6.196860377	-34.18645853
-6.439390372	-35.00328124
-6.705244425	-35.82589507
-6.943111438	-36.66253147
-7.194970472	-37.46064318
-7.451495511	-38.23914084
-7.712683533	-38.99762097
-7.955216576	-39.81447085
-8.221067607	-40.53246486
-8.468263632	-41.26651851
-8.724788672	-42.04502037
-8.99996869	-42.84897278
-9.251827724	-43.58462818
-9.503689781	-44.31970524
-9.75554879	-45.09701326
-10.01207383	-45.77070307
-10.25926985	-46.60965401
-10.51112889	-47.24015
-10.7629879	-47.97528751
-11.01951294	-48.69135644
-11.27603798	-49.36465051
-11.523234	-50.05708108
-11.79375106	-50.88069998
-12.06426508	-51.60021046
-12.30213511	-52.31087356
-12.54933114	-53.00310032
-12.81051918	-53.6988245
-13.35621624	-55.57830252
-13.44949423	-54.84803647
-13.43550526	-54.50926998
-13.43550526	-54.19482138
-13.43084225	-53.98438583
-13.43550526	-53.90179826
-13.43084225	-53.79562183
-13.43550526	-53.77587431
-13.43550526	-53.71327356
-13.43550526	-53.67126042
-13.41684723	-53.56158764
-13.43084225	-53.52342571
-13.42617322	-53.50139357
-13.42617322	-53.48032722
-13.41684723	-53.43614216
-13.43084225	-53.33502066
-13.42617322	-53.37558941
-13.43550526	-53.33610446
-13.44016824	-53.29517081
-13.42617322	-53.20825066
-13.42617322	-53.1869451
-13.42617322	-53.18706471
-13.43550526	-53.1056821
-13.42151022	-53.14372442
-13.42617322	-53.10339324
-13.41218425	-53.12072941
-13.43084225	-53.08341225
-13.42617322	-53.06126054
-13.42617322	-53.04031384
-13.43550526	-53.04296165
-13.42617322	-53.04043345
-13.42617322	-52.99853578
-13.42617322	-52.99829657
-13.42151022	-52.91354544
-13.42151022	-52.91378461
-13.42151022	-52.91354544
-13.42151022	-52.89259874
-13.43084225	-52.91595395
-13.43084225	-52.8951269
-13.42617322	-52.8729751
-13.42617322	-52.85202413
-13.42617322	-52.80977187
-13.43550526	-52.79159258
-13.42617322	-52.81013073
-13.43084225	-52.74837599
-13.42617322	-52.76799803
-13.42151022	-52.76691419
-13.42617322	-52.74681212
-13.43550526	-52.74922035
-13.43084225	-52.76920304
-13.42151022	-52.76655546
-13.44016824	-52.72959671
-13.42617322	-52.74693173
-13.43084225	-52.70611932
-13.42617322	-52.66302101
-13.43084225	-52.70623898
-13.44016824	-52.70864579
-13.43084225	-52.66446523
-13.43550526	-52.68649568
-13.43084225	-52.70635867
-13.43550526	-52.64472193
-13.42617322	-52.66302101
-13.43084225	-52.68541193
-13.42617322	-52.66326022
-13.43550526	-52.6235358
-13.43550526	-52.58188179
-13.42617322	-52.64207426
-13.43084225	-52.55996672
-13.42151022	-52.66169808
-13.43550526	-52.5815227
-13.42617322	-52.64231352
-13.43084225	-52.62257178
-13.44016824	-52.62497864
-13.42617322	-52.57923412
-13.44016824	-52.60355298
-13.43084225	-52.58055869
-13.42617322	-52.57935373
-13.43084225	-52.60138574
-13.44016824	-52.56189479
-13.43550526	-52.62365549
-13.43550526	-52.56069143
-13.43550526	-52.5817621
-13.42617322	-52.66278175
-13.42617322	-52.57935373
-13.43550526	-52.5815227
-13.43550526	-52.56093082
-13.43084225	-52.53866102
-13.44016824	-52.56177505
-13.43550526	-52.53974473
-13.43550526	-52.43477175
-13.18830619	-49.94109618
-12.92712119	-47.40168339
-12.69391716	-45.47742748
-12.4280631	-43.98418811
-12.15754607	-42.40618041
-11.89635805	-40.93563547
-11.64449901	-39.48791206
-11.38797397	-38.14382855
-11.13145196	-36.75786103
-10.87492692	-35.49777119
-10.62773089	-34.26093594
-10.37120585	-33.12643114
-10.12400983	-31.95225958
-9.890805796	-30.90782965
-9.620291783	-29.87436231
-9.35443773	-28.67469073
-9.093249708	-27.58079415
-8.846053682	-26.55351022
-8.589528643	-25.43987229
-8.337669609	-24.43225489
-8.095139614	-23.38529332
-7.829285561	-22.3949366
-7.582089535	-21.30472877
-7.330230501	-20.31805536
-7.083034475	-19.31157532
-6.826509436	-18.32357826
-6.546666409	-17.28791178
-6.304133366	-16.21980155
-6.042945344	-15.14688208
-5.79108631	-14.22321078
-5.548553292	-13.17600214
-5.282702262	-12.24856428
-5.035506236	-11.24201546
-4.78831021	-10.31956718
-4.536448153	-9.311987933
-4.289252128	-8.347501694
-4.023401097	-7.273389238
-3.743555048	-6.279458004
-3.501025027	-5.274245655
-3.244499988	-4.286369128
