SPECIMEN A7			
DISP(mm)	SHEAR(kN)		
-6.73E-06	1.77E-05		
-0.004610684	0.082489712		
0.013805103	0.171546897		
-0.699777036	-5.562663863		
0.552442583	8.432237211		
1.836889087	18.68681407		
3.066091252	25.76259679		
4.341329849	32.76764324		
5.588946277	39.66015997		
6.555732583	43.2041453		
5.298909773	31.61686443		
4.042085439	24.05156192		
2.803676917	16.82668302		
1.519230413	8.960139871		
0.28542582	0.312084753		
-0.976001706	-9.433140511		
-1.777054282	-13.83086528		
-0.534041782	-0.110866298		
0.741196816	10.66477979		
1.993417197	19.56955923		
3.264051841	26.57345681		
4.507064341	33.21317988		
5.377173828	36.2060624		
4.115745566	25.0782546		
2.858921232	17.74329988		
1.611306302	10.03390308		
0.340670159	1.207692769		
-0.897737625	-8.59385888		
-1.813884333	-14.63745052		
-0.543249688	-0.02971127		
0.695158859	10.1488993		
1.98420929	19.39934678		
3.231825744	26.31283672		
4.493252507	32.99983896		
5.455436384	37.10808535		
4.175593833	25.53534692		
2.937185286	18.18466261		
1.684966429	10.51580068		
0.428142095	1.651652635		
-0.80566326	-7.813389746		
-2.085505811	-18.02472322		
-1.132529053	-5.372298546		
0.133501663	5.79872086		
1.385722044	15.54140103		
2.656356689	23.19461614		
3.913180998	29.88026558		
5.170003833	36.67067354		
4.258461841	26.43867985		
2.987827197	18.63893119		
1.74941865	11.12074687		
0.515612532	2.409835959		
-0.745814231	-7.293525979		
-2.002637803	-17.22598671		
-1.155548032	-5.504567796		
0.10127554	5.496238013		
1.353495921	15.49026064		
2.610318732	22.93005025		
3.8809549	29.6616082		
5.13777771	36.49377918		
4.318310109	26.81198463		
3.056883345	18.93105627		
1.818474798	11.72704289		
0.56165049	2.695311059		
-0.667550176	-6.642729651		
-1.961204561	-16.79520507		
-1.220000252	-5.983848706		
0.069049443	5.298494207		
1.312061917	15.08039473		
2.582696562	22.73364676		
3.825709062	29.45727452		
5.077929443	36.2882731		
4.373555947	27.28862886		
3.139751353	19.37373716		
1.873719138	11.95228476		
0.62610271	3.216483761		
-0.626116172	-6.295701108		
-1.896751579	-16.29492573		
-1.238415278	-6.324274286		
0.013805103	4.926584575		
1.27983582	14.9454916		
2.527452248	22.57116166		
