"McLean 1990, Spec. Con3"	
1870	
0	0
0	-0.017793
0.381	4.1991
0.6858	5.6314
0.9144	6.8414
1.2954	9.0254
1.4732	9.6838
2.0574	12.624
2.1844	13.042
2.5654	14.991
2.7432	15.684
3.0734	17.077
3.4036	18.731
3.4544	17.797
3.2258	13.999
2.9464	11.81
2.4892	9.11
2.2098	7.6643
2.0066	6.6323
1.7018	5.0309
1.397	3.434
1.1176	1.9884
0.8382	0.58717
0.5334	-0.77844
0.2286	-2.2508
-0.4318	-5.3156
-0.5588	-6.014
-0.7874	-7.1572
-1.0668	-8.4472
-1.3716	-9.7461
-1.651	-10.863
-1.9812	-12.068
-2.2606	-13.207
-2.8702	-15.595
-3.0226	-15.974
-3.2512	-16.819
-3.556	-17.966
-3.6322	-17.748
-3.4798	-15.337
-3.2258	-12.642
-2.7432	-9.8261
-2.4638	-8.8208
-2.2352	-7.602
-1.9558	-6.2275
-1.651	-4.9153
-1.3208	-3.354
-1.0414	-2.1529
-0.6858	-0.66723
-0.4064	0.54268
0.0508	2.4465
0.2286	3.2561
0.5588	4.8219
0.889	6.272
1.1176	7.4864
1.397	8.7408
1.7526	10.573
2.0066	11.832
2.5908	14.568
2.7432	15.16
2.9718	16.316
3.2766	17.886
3.3274	17.677
3.2004	14.586
2.9464	12.184
2.5654	9.6838
2.3114	8.4205
2.0574	7.0638
1.778	5.6403
1.4478	4.1546
1.1684	2.7846
0.8636	1.2277
0.5588	-0.040034
0.3048	-1.2677
-0.4064	-4.3148
-0.508	-4.635
-0.7112	-5.6759
-0.9906	-6.9036
-1.3462	-8.4383
-1.5494	-9.3502
-1.9304	-10.92
-2.1844	-12.099
-2.921	-14.991
-3.0226	-15.4
-3.2512	-16.298
-3.5052	-17.419
-3.5814	-17.344
-3.4544	-15.142
-3.2258	-12.553
-2.7432	-9.6571
-2.4384	-8.5228
-2.2098	-7.3396
-1.9558	-6.1741
-1.6256	-4.6706
-1.2954	-3.2561
-1.0414	-2.1263
-0.6858	-0.72061
-0.381	0.71172
-0.1524	1.3211
-0.127	1.3789
-0.127	1.0765
-0.127	1.2233
0.3302	3.7098
0.4826	4.2481
0.889	6.1964
1.1176	7.433
1.397	8.5717
1.7526	10.329
1.9812	11.605
2.4892	14.088
2.7178	15.004
2.9464	16.169
3.2512	17.659
3.5814	19.296
3.8862	20.337
4.191	21.423
4.4196	22.246
4.8006	23.389
5.08	24.083
5.588	25.617
5.8166	26.062
5.9944	26.471
6.35	27.579
6.6294	28.139
6.985	29.207
7.0866	28.05
6.9088	25.075
6.6548	22.975
6.4008	21.307
6.1214	19.964
5.842	18.683
5.5372	17.397
5.0038	15.146
4.8514	14.608
4.5974	13.545
4.318	12.388
4.0132	11.081
3.683	9.8439
3.4036	8.6696
3.0988	7.3173
2.6416	5.458
2.3114	4.4749
2.1844	4.0345
1.8288	2.5177
1.5748	1.5925
1.27	0.36475
0.9652	-0.51155
0.6604	-1.7126
0.381	-2.6734
-0.4572	-5.5603
-0.5334	-6.0051
-0.7366	-6.8503
-1.016	-7.9668
-1.27	-9.0299
-1.5748	-10.137
-1.8542	-11.298
-2.159	-12.402
-2.8194	-14.933
-2.9464	-15.315
-3.1242	-16.143
-3.4036	-17.219
-3.7592	-18.545
-4.0132	-19.528
-4.318	-20.511
-4.6482	-21.672
-5.1562	-23.754
-5.5118	-24.434
-5.6896	-24.866
-5.9182	-25.653
-6.1976	-26.569
-6.5278	-27.606
-6.8072	-28.322
-7.112	-29.26
-7.2136	-28.998
-7.0866	-26.658
-6.858	-23.825
-6.604	-22.161
-6.3246	-20.546
-5.9944	-18.972
-5.7658	-17.984
-5.3086	-15.92
-5.1054	-15.204
-4.7752	-13.678
-4.4704	-12.295
-4.0894	-11.014
-3.8862	-10.009
-3.556	-8.8831
-3.2766	-7.6643
-2.921	-6.4143
-2.6416	-5.4135
-2.286	-4.1413
-2.032	-3.3451
-1.6764	-2.0907
-1.397	-1.1565
-1.1176	-0.29803
-0.7366	0.96526
-0.508	1.5969
0.0508	3.3362
0.2286	4.0078
0.4826	4.9865
0.8128	6.1074
1.1176	7.2239
1.3462	7.9757
1.778	9.537
1.9558	10.053
2.54	12.246
2.6924	12.593
2.921	13.585
3.2258	14.79
3.5052	15.676
3.8354	16.783
4.1402	17.913
4.4196	18.963
4.9276	21.08
5.2578	21.876
5.4102	22.446
5.7404	23.722
5.9944	24.621
6.2738	25.635
6.7056	27.027
6.858	27.477
7.0104	27.512
6.8072	24.536
6.5532	21.93
6.2992	20.342
6.0198	18.998
5.7404	17.788
5.461	16.623
5.0292	14.902
4.8514	14.19
4.5466	12.989
4.2672	11.877
3.9624	10.716
3.6576	9.6526
3.3782	8.5094
3.0988	7.4953
