"Munro 1976, Spec. 1"	
1125	
0	0
1.0529	2.3714
1.4741	3.5571
1.8952	5.5331
2.527	6.719
2.9482	9.0904
3.1587	11.462
3.5799	13.438
3.7904	16.599
4.001	18.576
4.2116	20.947
5.0538	24.109
5.2647	25.69
5.4752	27.666
5.8964	31.223
6.1069	33.99
6.7386	37.152
6.9492	39.523
7.3703	43.08
7.3703	45.452
8.002	47.823
8.002	49.798
8.2126	52.961
8.4231	55.331
9.2657	57.702
9.4762	59.682
9.6868	61.657
9.8974	63.632
10.318	65.607
10.529	66.399
10.74	67.19
10.529	69.165
10.74	68.374
10.529	66.795
10.318	65.607
10.318	64.424
10.108	63.236
9.6868	61.657
9.8974	60.073
9.8974	57.306
9.4762	55.727
9.2657	53.356
8.634	49.798
8.4231	47.031
8.2126	42.685
7.7915	39.918
7.3703	36.757
6.9492	33.199
6.5281	30.038
6.1069	27.666
5.6858	25.295
5.4752	22.528
5.2647	20.157
4.8433	17.39
4.2116	13.833
3.5799	10.671
3.3693	8.2999
2.9482	5.5331
2.3164	2.3714
2.527	0
2.1058	-3.5571
1.4741	-5.9286
1.2635	-9.4854
0.63175	-13.833
0	-18.971
-0.63175	-22.923
-1.0529	-26.48
-1.4741	-29.247
-2.1058	-32.409
-2.527	-35.175
-3.1587	-38.337
-3.7904	-41.894
-4.2116	-44.266
-4.8433	-47.031
-5.2647	-49.402
-6.1069	-52.565
-6.5281	-54.148
-6.9492	-56.519
-7.5809	-58.494
-7.5809	-60.073
-8.2126	-62.444
-8.634	-64.028
-9.0551	-65.607
-9.2657	-67.978
-9.2657	-66.003
-9.0551	-63.632
-8.8445	-61.261
-8.4231	-57.306
-8.2126	-54.148
-8.002	-51.773
-7.7915	-49.011
-7.3703	-45.452
-6.9492	-42.685
-6.5281	-39.523
-5.6858	-35.966
-5.2647	-32.409
-4.8433	-28.852
-4.2116	-24.109
-3.1587	-19.762
-2.527	-15.809
-1.6847	-10.276
-1.2635	-7.5095
-0.63175	-3.9523
0	-0.39523
0	1.9762
1.0529	6.3236
1.4741	9.0904
1.8952	12.252
2.7376	15.809
3.7904	21.343
4.4221	25.295
4.8433	29.247
5.6858	33.99
6.1069	36.757
6.9492	40.313
7.5809	43.871
8.002	47.031
8.8445	50.986
9.4762	54.148
9.6868	56.915
10.318	60.073
10.74	61.657
10.95	63.632
11.371	66.399
11.792	68.77
13.056	73.115
13.688	77.07
14.32	79.045
14.951	82.603
15.794	84.974
16.425	88.137
17.478	90.904
17.899	93.671
18.742	96.437
19.374	98.412
20.216	100.39
21.269	103.15
21.69	104.74
22.953	106.71
23.585	108.29
24.638	110.27
26.111	112.64
27.587	114.62
29.271	116.59
30.533	118.17
31.587	119.36
32.639	120.15
33.271	120.55
33.693	121.73
35.377	122.52
36.22	123.31
37.061	124.1
37.483	124.1
37.904	124.1
38.326	124.89
38.326	123.31
38.115	120.94
37.904	119.36
37.694	117.78
37.904	115.8
37.904	115.01
37.483	112.64
36.853	109.88
36.431	107.9
36.22	105.13
35.799	101.97
35.588	99.992
35.166	97.225
34.536	94.458
34.115	91.691
33.482	88.533
32.85	84.974
32.639	82.208
32.009	79.045
30.955	75.882
30.533	73.511
30.114	70.349
29.693	66.795
29.06	63.632
28.428	60.865
27.798	57.306
26.954	54.936
26.322	50.986
25.27	47.427
24.217	42.685
23.585	39.128
23.164	36.757
22.532	33.199
21.69	30.828
21.058	27.666
20.216	24.109
19.795	21.738
18.742	17.39
17.899	14.624
17.478	11.857
16.847	9.4854
16.004	6.719
15.583	3.9523
14.53	1.1857
13.898	-0.79045
13.056	-3.9523
12.424	-7.114
11.371	-10.276
11.161	-13.043
10.318	-16.599
9.4762	-19.366
8.634	-22.133
7.5809	-25.295
7.3703	-26.876
6.5281	-29.642
5.4752	-33.199
4.4221	-35.966
3.3693	-39.128
2.527	-42.685
1.4741	-46.244
0.21058	-49.798
-1.0529	-53.752
-2.3164	-58.494
-3.5799	-61.657
-4.8433	-64.819
-5.8964	-67.978
-6.9492	-71.536
-8.2126	-75.491
-9.6868	-79.441
-10.74	-82.208
-11.582	-85.37
-12.846	-88.137
-14.109	-91.3
-15.373	-94.458
-16.636	-96.833
-17.689	-99.204
-18.531	-101.58
-20.216	-105.13
-21.269	-107.11
-22.743	-109.08
-24.006	-111.45
-25.27	-113.03
-26.533	-114.22
-28.009	-116.59
-29.903	-117.78
-30.955	-118.57
-33.061	-118.96
-34.536	-120.15
-35.377	-120.55
-36.01	-120.55
-36.431	-120.55
-37.061	-121.33
-36.642	-119.76
-36.642	-117.38
-36.431	-114.62
-36.22	-111.85
-36.431	-109.08
-36.01	-105.92
-35.588	-102.76
-34.955	-98.808
-34.326	-94.458
-33.482	-90.508
-33.061	-87.345
-32.431	-82.999
-31.798	-78.649
-31.377	-75.491
-30.744	-72.328
-29.903	-69.561
-29.271	-66.003
-28.639	-63.236
-28.217	-60.073
-26.954	-54.936
-26.322	-52.169
-25.481	-48.615
-24.849	-44.66
-24.217	-41.894
-23.796	-39.128
-23.164	-37.152
-22.532	-34.385
-21.69	-31.223
-21.058	-28.457
-20.216	-25.69
-18.742	-20.947
-18.11	-17.785
-17.478	-15.414
-16.636	-12.647
-16.004	-10.276
-15.162	-7.114
-14.53	-5.1381
-14.109	-2.7666
-13.477	-0.79045
-12.214	1.9762
-10.95	7.114
-9.6868	10.671
-8.634	13.438
-7.3703	18.181
-6.1069	21.738
-4.8433	24.899
-3.1587	28.457
-1.4741	31.618
-0.21058	35.966
1.0529	39.918
2.9482	43.08
4.6327	47.427
6.3175	50.59
8.2126	53.356
9.4762	56.519
10.74	58.89
12.846	62.444
13.898	64.424
15.373	67.586
16.636	70.349
18.321	73.115
19.584	75.491
21.69	79.441
22.532	81.812
24.638	84.974
26.111	89.32
27.587	92.087
29.06	96.042
30.323	99.204
32.22	102.76
33.904	105.92
36.01	109.48
37.272	111.85
39.588	115.41
41.486	117.38
44.011	119.36
46.96	121.73
49.698	122.92
51.803	124.1
53.698	125.29
55.382	126.08
58.331	126.87
61.28	127.66
63.807	128.06
65.07	128.06
67.386	128.45
69.492	128.45
71.387	129.24
73.282	129.63
74.336	129.24
75.179	129.63
74.968	127.26
74.968	124.89
74.757	122.52
74.757	120.15
74.546	117.38
73.914	115.01
73.703	111.45
73.282	107.11
73.071	102.76
71.808	96.833
71.176	92.483
69.913	86.949
68.859	80.628
67.597	75.491
66.543	70.349
65.913	65.607
64.437	59.286
62.964	53.752
61.702	49.402
60.437	44.66
58.753	39.128
57.069	33.99
55.171	27.666
52.647	21.738
50.538	15.019
48.854	10.671
45.908	3.5571
42.116	-3.1618
38.959	-10.276
37.483	-14.624
34.326	-20.552
30.744	-27.666
28.217	-32.409
25.059	-36.757
21.9	-41.499
18.531	-46.635
14.109	-52.169
12.003	-55.331
7.5809	-60.865
5.2647	-63.632
2.3164	-66.003
-0.21058	-68.374
-3.7904	-71.14
-5.6858	-72.328
-8.4231	-73.907
-11.792	-76.278
-14.741	-78.258
-17.057	-80.628
-19.584	-81.812
-23.375	-84.578
-25.9	-85.766
-27.798	-86.949
-30.744	-88.533
-32.431	-90.112
-34.747	-91.691
-37.904	-94.067
-39.799	-95.25
-42.748	-98.412
-45.486	-100.78
-48.433	-103.15
-51.382	-105.92
-54.331	-107.5
-56.647	-108.69
-59.593	-110.27
-61.491	-111.45
-63.807	-112.25
-65.702	-114.22
-67.386	-116.2
-70.754	-117.78
-73.492	-120.15
-74.757	-120.94
-76.02	-122.13
-76.863	-122.92
-76.23	-120.15
-75.809	-116.2
-75.179	-112.25
-74.125	-107.11
-73.492	-102.36
-72.23	-96.042
-71.598	-91.3
-70.965	-84.974
-70.124	-79.441
-68.859	-74.699
-67.597	-69.561
-66.754	-65.211
-65.913	-60.865
-64.859	-57.306
-63.807	-52.961
-62.753	-49.402
-61.91	-45.452
-60.648	-40.313
-59.593	-36.361
-58.331	-30.828
-56.647	-26.085
-55.593	-22.133
-54.331	-18.971
-52.647	-14.228
-51.382	-10.671
-49.276	-4.3475
-47.17	0.39523
-45.486	3.9523
-43.381	8.2999
-41.486	13.438
-38.748	18.181
-36.431	23.318
-34.115	28.061
-30.955	34.385
-28.639	37.547
-26.111	40.709
-23.375	45.056
-21.9	47.031
-19.374	50.59
-16.847	53.752
-14.32	56.519
-12.003	58.89
-9.8974	60.865
-6.5281	64.424
-4.4221	66.795
-2.3164	68.374
-0.42116	70.349
1.6847	72.328
4.2116	73.907
6.5281	75.882
8.4231	77.466
10.74	78.649
12.635	79.441
14.951	80.628
17.268	82.603
19.374	83.787
22.743	84.974
25.27	85.766
27.798	86.949
30.533	88.924
32.85	89.32
35.588	91.3
39.588	92.879
42.537	93.671
44.854	95.25
46.538	96.042
49.487	98.017
53.277	99.992
55.804	101.97
58.331	103.55
60.648	105.13
62.964	107.5
65.07	108.69
67.386	110.66
69.703	111.85
72.652	114.62
74.125	116.2
74.968	116.59
74.757	115.01
74.336	112.25
73.282	107.11
72.652	103.55
71.808	99.596
71.176	95.25
70.124	90.904
69.281	86.554
68.649	81.416
67.808	77.07
66.543	72.328
65.281	68.374
64.437	64.028
63.386	59.682
62.121	55.727
61.702	53.356
60.226	48.615
58.964	43.475
57.488	37.942
56.225	34.385
55.171	31.223
53.698	25.69
52.436	20.157
51.171	16.599
49.698	11.066
48.224	6.3236
46.538	1.1857
45.276	-4.3475
43.8	-9.4854
41.905	-15.809
40.432	-20.157
38.537	-24.899
36.642	-30.038
34.115	-35.175
31.798	-40.313
29.271	-45.056
25.9	-49.798
23.164	-52.961
19.795	-56.915
17.057	-60.469
15.162	-62.053
12.003	-65.607
9.6868	-68.374
6.9492	-70.745
4.2116	-73.115
1.2635	-76.674
-1.0529	-79.045
-4.001	-81.812
-7.3703	-84.183
-8.2126	-84.974
-10.95	-86.949
-12.424	-87.345
-13.898	-88.137
-17.689	-91.3
-20.426	-92.879
-22.953	-95.25
-26.111	-98.017
