"Ng 1978, Spec. 2"	
1286	
0	0
0.75471	0.41904
1.1321	0.97776
1.6981	1.6761
2.2641	2.3745
2.4528	2.9332
3.0188	3.6317
3.2075	4.33
3.5847	4.7489
3.9621	5.3076
4.3396	6.006
4.7168	6.5647
4.9055	6.844
5.2829	7.5429
5.4717	7.9619
5.8489	8.5206
6.2263	9.0793
6.6035	9.3586
6.9809	9.9173
7.5471	10.476
7.9243	10.755
7.3584	10.336
6.9809	9.638
6.7922	9.2189
6.415	8.6602
6.2263	8.2412
5.6601	7.2635
5.2829	6.5647
4.9055	6.006
4.3396	5.3076
3.9621	4.7489
3.7734	4.0507
3.5847	3.6317
3.2075	2.9332
2.6413	2.2349
2.0754	1.5365
1.6981	0.83809
1.3207	0.13968
0.56601	-0.41904
0	-0.97776
-0.56601	-1.6761
-0.94338	-2.3745
-1.5094	-3.0729
-2.2641	-3.6317
-2.8301	-4.1904
-3.3962	-4.8886
-3.7734	-5.4473
-4.1509	-6.1457
-4.7168	-6.5647
-5.0942	-7.2635
-5.6601	-7.8222
-6.2263	-8.9396
-6.2263	-9.3586
-6.6035	-9.7776
-6.7922	-10.336
-7.1697	-10.755
-7.1697	-11.174
-7.3584	-11.733
-7.1697	-11.314
-6.9809	-11.035
-6.7922	-10.336
-6.415	-9.3586
-6.0376	-8.9396
-5.8489	-7.8222
-5.4717	-7.5429
-4.9055	-6.5647
-4.5283	-5.7266
-3.7734	-4.7489
-3.3962	-4.1904
-2.6413	-3.3523
-2.2641	-2.6539
-1.6981	-2.0952
-0.75471	-1.3968
-0.18867	-0.5587
0.18867	0
0.94338	0.41904
1.5094	1.1174
1.8867	1.8158
2.0754	2.5142
2.6413	3.3523
3.0188	4.0507
3.7734	5.0283
4.1509	5.8663
4.5283	6.5647
4.9055	7.1234
5.2829	7.9619
6.0376	8.9396
6.415	9.3586
6.9809	10.057
7.5471	10.616
7.7356	11.314
8.3017	12.012
8.6789	12.85
8.8676	13.409
9.2451	14.108
9.6223	14.806
9.9997	15.504
10.377	16.203
11.132	16.901
11.698	17.599
12.264	18.158
13.019	18.856
13.585	19.415
14.717	19.834
15.471	20.253
16.037	20.533
15.66	19.834
15.283	19.415
14.905	18.717
14.528	17.46
14.151	16.203
13.773	15.365
13.207	14.666
12.83	13.828
12.453	12.85
11.886	11.733
11.321	10.755
10.754	9.7776
9.9997	8.6602
9.4338	7.6825
8.6789	6.5647
7.9243	5.3076
7.1697	3.911
6.2263	2.6539
5.4717	1.5365
4.7168	0.41904
3.9621	0
3.2075	-0.69837
2.2641	-1.5365
1.3207	-2.5142
0.56601	-3.2126
0	-4.0507
-0.94338	-5.0283
-1.5094	-6.1457
-2.0754	-7.1234
-3.3962	-8.2412
-3.9621	-9.0793
-4.5283	-9.9173
-5.0942	-11.035
-5.6601	-11.873
-6.6035	-12.711
-7.7356	-13.828
-8.4905	-14.527
-9.4338	-15.365
-10.566	-16.203
-11.132	-17.041
-12.075	-18.018
-13.019	-18.717
-13.962	-19.555
-14.339	-19.834
-14.905	-20.253
-15.094	-20.393
-15.66	-20.812
-15.66	-20.393
-15.471	-19.834
-15.283	-19.136
-15.094	-18.437
-14.717	-17.599
-14.151	-16.761
-13.773	-15.644
-13.019	-14.527
-12.641	-13.269
-12.264	-12.152
-11.698	-11.314
-10.754	-9.9173
-10.188	-8.9396
-9.0564	-7.5429
-8.6789	-6.5647
-8.113	-5.7266
-7.5471	-4.8886
-6.9809	-4.1904
-6.2263	-3.3523
-5.2829	-2.3745
-4.7168	-1.3968
-3.9621	-0.5587
-3.2075	0.27936
-2.6413	0.97776
-1.5094	2.0952
-0.94338	2.7936
-0.56601	3.4919
0.18867	4.0507
0.94338	5.0283
1.6981	5.8663
2.8301	7.1234
3.5847	8.2412
4.7168	9.2189
5.8489	10.336
6.9809	11.733
