"Petrovski and Ristic 1984, Spec. M2E2"	
430	
0	0
0	0
0	0.098097
0.20015	3.5568
0.20015	-0.66136
0.60046	20.48
-0.70053	-34.226
0.50038	18.898
1.6012	40.815
1.6012	25.315
0.4003	-8.6798
0.10008	-16.663
-0.4003	-28.204
-1.8014	-53.299
-1.6012	-32.182
-0.60046	-6.9428
-0.30023	1.9239
1.6012	39.245
1.4011	19.6
0.70053	-1.0885
0.20015	-13.12
-0.60046	-30.191
-1.0008	-37.305
-1.8014	-52.614
-1.7013	-35.726
-0.60046	-6.8445
-0.10008	3.9111
1.6012	38.264
1.4011	19.699
0.4003	-6.7182
0	-16.578
-1.0008	-36.52
-1.8014	-52.218
-1.6012	-28.945
-0.60046	-5.962
-0.10008	4.8922
0.50038	17.132
1.6012	39.245
2.5019	50.937
2.5019	34.65
2.1016	20.376
1.7013	12.281
1.0008	0.51893
0.20015	-15.082
-1.0008	-37.011
-1.8014	-51.631
-2.7021	-62.929
-2.5019	-39.261
-1.6012	-19.822
-0.90068	-7.1768
-0.4003	2.7941
0.80061	21.585
1.7013	35.432
2.602	49.478
2.2017	23.037
1.8014	13.177
0.60046	-5.712
0	-15.892
-1.5011	-40.802
-1.9014	-48.406
-2.8021	-61.47
-2.602	-45.75
-2.0015	-26.837
-0.70053	-4.3068
0.10008	9.7243
0.90068	22.088
1.4011	30.097
2.5019	47.894
2.2017	23.135
1.8014	14.354
0.30023	-10.949
-0.50038	-24.685
-1.7013	-43.182
-2.7021	-60.474
-2.4018	-35.226
-1.9014	-25.255
-0.50038	-1.4367
0	8.2399
0.90068	22.186
1.7013	34.255
2.602	49.771
3.4026	59.192
3.4026	37.805
2.8021	23.211
2.0015	10.946
0.70053	-6.582
-0.20015	-21.901
-1.301	-37.049
-2.1016	-49.117
-2.8021	-61.274
-3.6027	-70.398
-3.1024	-38.062
-2.3017	-26.483
-1.1008	-8.2813
0	9.5152
1.301	26.847
2.1016	37.347
3.5027	57.142
3.2024	31.6
2.3017	16.477
0.60046	-6.4966
-0.50038	-24.489
-1.6012	-39.343
-2.8021	-56.564
-3.6027	-68.632
-3.0023	-37.362
-1.0008	-7.3858
0.10008	10.313
1.8014	31.815
3.5027	56.457
3.1024	28.252
1.6012	7.2662
0.60046	-7.4775
-0.50038	-24.097
-2.3017	-47.965
-3.7028	-68.058
-2.9022	-35.29
-1.0008	-8.2688
0.10008	9.2336
1.5011	27.657
3.6027	57.551
4.4033	66.577
4.7036	69.068
4.4033	40.188
3.4026	22.698
2.5019	11.892
0.90068	-7.3413
-0.10008	-20.024
-1.2009	-34.78
-2.3017	-48.655
-3.6027	-67.555
-4.9037	-80.473
-4.003	-43.276
-3.0023	-29.808
-1.0008	-5.6199
-0.10008	7.3445
1.7013	27.192
2.8021	39.888
4.8036	65.06
4.5034	41.574
3.5027	23.986
0.70053	-8.3475
-0.50038	-25.078
-2.7021	-49.687
-4.9037	-78.707
-4.2032	-47.422
-2.602	-25.638
-1.0008	-5.4237
0.50038	13.11
3.0023	40.699
4.8036	63.587
4.4033	38.913
2.8021	15.167
0.70053	-7.7599
-0.4003	-23.201
-2.0015	-41.16
-4.8036	-77.319
-4.3033	-48.61
-2.7021	-26.141
-0.90068	-4.8219
0.4003	11.528
2.4018	33.951
4.6035	60.127
5.4041	69.939
5.6043	70.945
5.1039	41.944
3.5027	18.983
1.1008	-5.6484
0	-19.423
-2.2017	-43.932
-3.5027	-58.614
-4.7036	-75.442
-5.6043	-84.877
-5.1039	-52.929
-2.7021	-22.806
-0.10008	6.9521
2.1016	29.597
4.2032	51.737
5.0038	62.24
6.2047	74.948
7.5057	78.057
8.8067	79.69
11.108	70.762
10.408	41.722
7.3055	7.6923
5.8044	-5.6421
0	-41.299
-2.4018	-55.727
-5.1039	-78.929
-6.9052	-85.237
-8.6065	-88.791
-11.008	-91.642
-10.308	-58.694
-7.906	-31.312
-0.30023	13.499
2.4018	25.319
6.2047	48.463
11.008	71.83
10.708	46.773
7.4056	7.0184
5.6043	-6.4579
2.7021	-25.752
0.10008	-37.166
-3.1024	-51.991
-5.5042	-67.11
-7.4056	-77.946
-11.008	-91.055
-10.408	-61.941
-6.4049	-21.214
-4.7036	-9.2278
-0.20015	11.06
4.3033	32.525
8.8067	60.367
10.908	71.327
10.208	38.371
5.5042	-5.4842
3.0023	-22.673
1.4011	-30.723
0	-36.197
-3.4026	-51.341
-6.9052	-72.978
-8.9068	-83.039
-10.908	-90.552
-10.508	-61.265
-4.2032	-7.2026
-1.6012	5.5847
1.2009	15.553
4.1031	30.342
6.9052	47.08
8.3063	56.283
10.908	70.638
10.608	44.994
5.6043	-4.2943
3.0023	-21.005
-0.30023	-36.432
-3.5027	-50.963
-11.209	-90.099
-10.508	-61.466
-3.8029	-5.7787
-0.20015	9.4898
2.8021	21.937
6.5049	44.086
11.008	70.553
10.708	46.382
5.1039	-5.8338
2.3017	-24.625
0	-35.217
-3.1024	-48.165
-7.7059	-75.139
-10.908	-89.867
-10.408	-58.899
-4.3033	-9.2754
-0.10008	8.9142
4.3033	29.681
10.708	69.241
15.912	73.823
15.712	46.23
14.211	26.125
10.408	-4.1773
4.8036	-35.001
3.0023	-39.055
0	-44.438
-3.903	-56.604
-7.4056	-72.257
-9.9075	-83.168
-12.309	-89.356
-15.912	-92.95
-15.212	-60.002
-11.409	-23.809
-7.1054	-0.21283
0.20015	15.917
5.8044	34.875
10.508	55.776
15.712	71.247
16.012	53.819
12.509	10.703
6.8052	-25.723
1.8014	-40.482
-10.008	-77.194
-15.612	-90.953
-15.912	-75.784
-11.909	-28.189
-6.8052	-0.76372
-1.5011	11.385
2.5019	19.348
8.2062	43.126
12.309	60.518
16.312	71.323
16.713	60.287
14.211	20.141
11.209	-1.7218
8.7066	-17.046
6.2047	-30.017
0.80061	-42.57
