"Potangaroa 1979, Spec. 3"	
773	
0	0
0.10204	24.742
0.13606	41.237
0.13606	51.132
0.23809	65.98
0.23809	80.824
0.23809	95.668
0.30612	108.87
0.40815	123.71
0.4762	135.26
0.54422	150.1
0.64625	160
0.68026	174.85
0.81633	186.39
0.85034	199.59
0.91836	216.08
0.95237	225.98
0.98638	234.23
1.0544	247.42
1.2245	258.97
1.2925	272.16
1.3265	285.36
1.4626	300.21
1.5987	313.4
1.6327	331.54
1.7347	341.44
1.8367	356.29
1.9728	366.19
2.0068	381.03
2.1428	395.87
2.2789	412.37
2.3469	425.57
2.483	442.06
2.5509	456.92
2.7211	471.73
2.8913	491.53
3.0952	512.97
3.2654	529.47
3.4353	552.56
3.7074	565.77
3.9797	582.27
4.2517	600.42
4.5237	615.28
4.762	628.44
5.0681	644.95
5.3401	653.18
5.7483	663.1
6.1224	672.97
6.5646	684.54
6.9047	692.77
7.1768	701.04
7.4491	705.98
7.7551	712.56
7.9251	710.91
8.0612	717.54
8.1633	719.19
8.1633	712.56
8.0952	705.98
8.1293	696.1
8.1633	686.18
8.0952	677.95
8.1293	664.74
8.0612	656.51
8.0272	643.3
8.0612	635.07
7.9931	620.22
7.9591	610.3
7.9591	595.48
7.9591	585.56
7.9251	577.33
7.9251	565.77
7.8913	554.2
7.8913	539.39
7.8232	524.53
7.7551	512.97
7.6871	494.86
7.619	475.07
7.5171	456.92
7.4491	438.76
7.3469	422.27
7.2108	404.12
7.0749	385.98
6.9047	362.89
6.7008	339.8
6.5646	324.95
6.3607	305.15
6.2245	290.31
6.0884	268.86
5.9185	242.47
5.7483	224.33
5.6462	207.83
5.4762	189.69
5.272	171.55
5.1361	156.7
4.9319	133.61
4.762	118.76
4.6258	100.62
4.4557	80.824
4.2857	62.68
4.0815	42.887
3.8776	24.742
3.7074	9.8968
3.5375	-6.598
3.3332	-21.443
3.1974	-39.587
3.0612	-56.083
2.8232	-72.577
2.653	-89.071
2.483	-102.27
2.3469	-125.36
2.1769	-141.85
2.0748	-156.7
1.9048	-168.25
1.7347	-184.74
1.5987	-206.18
1.4286	-224.33
1.2245	-240.82
1.0884	-263.92
0.95237	-283.71
0.81633	-300.21
0.61224	-321.65
0.40815	-339.8
0.30612	-354.64
0.17007	-367.83
0.068026	-376.08
-0.034013	-390.93
-0.23809	-409.07
-0.40815	-422.27
-0.54422	-440.41
-0.81633	-456.92
-1.0204	-475.07
-1.2585	-489.88
-1.4626	-506.39
-1.6327	-521.24
-1.9388	-537.75
-2.2449	-557.54
-2.5509	-574
-2.8572	-590.5
-3.1293	-602.07
-3.5034	-618.57
-3.7755	-628.44
-4.0815	-635.07
-4.3538	-640.01
-4.6599	-648.24
-4.8979	-654.82
-5.2042	-663.1
-5.5783	-668.03
-5.7823	-669.68
-6.0543	-676.31
-6.3944	-679.6
-6.6667	-684.54
-6.9047	-686.18
-7.109	-686.18
-7.3469	-689.47
-7.4831	-689.47
-7.619	-689.47
-7.619	-681.25
-7.619	-669.68
-7.5849	-656.51
-7.5849	-640.01
-7.5509	-628.44
-7.5171	-603.71
-7.5509	-588.86
-7.4831	-572.35
-7.381	-557.54
-7.3469	-536.1
-7.3129	-516.31
-7.2448	-504.74
-7.1427	-491.53
-7.0409	-475.07
-6.9728	-458.57
-6.8026	-442.06
-6.7686	-428.87
-6.6667	-417.32
-6.5306	-399.17
-6.3607	-384.33
-6.2245	-371.13
-6.0884	-357.94
-5.9863	-346.39
-5.8844	-323.3
-5.6802	-308.45
-5.5103	-288.66
-5.3061	-275.47
-5.0681	-257.32
-4.8979	-235.88
-4.728	-222.68
-4.5578	-207.83
-4.4219	-192.99
-4.2517	-176.5
-4.0137	-158.35
-3.7755	-141.85
-3.5375	-125.36
-3.4013	-108.87
-3.1974	-98.968
-2.9591	-79.174
-2.585	-56.083
-2.449	-44.536
-2.2449	-26.392
-2.0748	-11.546
-1.8708	1.6495
-1.7007	16.495
-1.5306	31.34
-1.2925	49.486
-1.1225	65.98
-0.88435	85.775
-0.61224	107.22
-0.27211	131.96
0	151.75
0.20408	169.9
0.40815	186.39
0.68026	209.48
0.91836	227.63
1.1905	252.37
1.4966	275.47
1.6327	288.66
1.9048	303.51
2.0748	323.3
2.2449	339.8
2.415	354.64
2.653	372.78
2.8913	389.28
3.0952	404.12
3.4353	425.57
3.6733	445.36
4.0137	463.5
4.2177	481.65
4.5578	498.16
4.8979	519.6
5.2042	539.39
5.7142	557.54
6.0543	577.33
6.4625	595.48
6.9047	618.57
7.2789	635.07
7.653	648.24
7.8572	659.8
8.0612	659.8
8.0612	648.24
7.9931	636.72
8.0272	623.51
8.0272	611.94
7.9931	595.48
7.9251	578.98
7.8913	560.83
7.7551	549.27
7.7551	534.45
7.7551	516.31
7.653	499.8
7.5849	481.65
7.5849	463.5
7.4831	448.65
7.3469	433.81
7.2789	420.62
7.1427	404.12
7.0409	384.33
6.9047	362.89
6.6667	339.8
6.5646	324.95
6.4285	310.1
6.2245	290.31
6.0543	272.16
5.8504	249.07
5.6121	230.93
5.3741	209.48
5.1702	192.99
4.966	174.85
4.728	161.65
4.5578	148.45
4.3198	127.01
4.1156	112.17
3.9116	95.668
3.7414	79.174
3.5375	65.98
3.3673	56.083
3.1974	41.237
2.9931	28.041
2.7551	9.8968
2.619	1.6495
2.483	-4.9486
2.3129	-13.196
2.1428	-26.392
2.0408	-37.938
1.8708	-51.132
1.7347	-62.68
1.4966	-70.927
1.3265	-84.125
1.1905	-92.372
1.0204	-105.57
0.78232	-118.76
0.68026	-127.01
0.57823	-140.21
0.40815	-150.1
0.23809	-164.95
0.10204	-176.5
0	-184.74
-0.17007	-201.24
-0.40815	-216.08
-0.57823	-230.93
-0.74831	-247.42
-0.91836	-258.97
-1.0544	-272.16
-1.2245	-282.06
-1.3946	-298.56
-1.5646	-313.4
-1.7007	-323.3
-1.8367	-338.14
-2.1428	-356.29
-2.3129	-372.78
-2.653	-390.93
-2.8913	-405.77
-3.1633	-422.27
-3.2992	-437.11
-3.5375	-448.65
-3.8435	-470.09
-4.0137	-480.01
-4.1496	-491.53
-4.3538	-504.74
-4.6258	-516.31
-4.966	-536.1
-5.1702	-547.62
-5.3401	-555.89
-5.5443	-565.77
-5.7483	-578.98
-6.0203	-590.5
-6.2586	-603.71
-6.5306	-613.59
-6.8026	-621.86
-7.0409	-630.09
-7.3469	-638.36
-7.4831	-643.3
-7.5849	-646.59
-7.7551	-646.59
-7.8232	-648.24
-7.7892	-631.74
-7.7892	-618.57
-7.6871	-598.78
-7.5509	-574
-7.5509	-555.89
-7.4491	-536.1
-7.415	-512.97
-7.415	-489.88
-7.2108	-466.8
-7.0068	-448.65
-6.8367	-423.92
-6.5987	-397.52
-6.2926	-367.83
-6.1905	-348.04
-6.0543	-329.9
-5.8504	-308.45
-5.4762	-288.66
-5.238	-258.97
-5	-242.47
-4.728	-219.38
-4.5237	-201.24
-4.3198	-184.74
-4.1836	-171.55
-3.9456	-150.1
-3.6733	-131.96
-3.3673	-112.17
-3.1633	-95.668
-2.9931	-79.174
-2.7551	-61.03
-2.3809	-41.237
-2.1769	-24.742
-1.9048	-8.2474
-1.6327	8.2474
-1.3946	28.041
-1.1565	46.186
-0.81633	67.631
-0.57823	87.421
-0.20408	110.52
0	127.01
0.23809	145.15
0.37414	161.65
0.64625	181.44
0.85034	201.24
1.2245	219.38
1.4626	242.47
1.8027	260.62
2.0068	282.06
2.3129	298.56
2.483	316.7
2.7211	333.19
2.9931	349.69
3.1974	366.19
3.4353	381.03
3.7074	404.12
3.9116	415.67
4.1496	432.16
4.4897	455.28
4.8638	475.07
5.1702	489.88
5.6121	514.66
5.9525	536.1
6.3607	560.83
6.6327	578.98
6.9728	593.79
7.1427	602.07
7.5171	615.28
7.8232	630.09
8.2314	648.24
8.7414	663.1
9.2517	677.95
9.8301	692.77
10.238	701.04
10.578	704.33
11.02	709.27
11.394	717.54
11.837	720.83
12.279	722.48
12.653	725.77
13.027	725.77
13.299	727.42
13.571	729.06
13.775	727.42
13.741	717.54
13.674	705.98
13.674	694.41
13.606	684.54
13.64	666.39
13.571	649.89
13.435	635.07
13.469	618.57
13.401	605.36
13.401	590.5
13.367	570.71
13.299	549.27
13.095	521.24
12.993	494.86
12.891	481.65
12.789	461.86
12.653	447
