"Potangaroa 1979, Spec. 5b"	
931	
0	0
0.083327	16.659
0.16665	31.235
0.3333	43.729
0.3333	56.221
0.58329	74.966
0.66662	87.456
0.91658	106.2
1.1666	120.77
1.4166	149.93
1.4999	166.59
1.6665	179.08
1.9998	197.82
2.2498	214.48
2.5832	239.47
2.9997	262.37
3.2497	276.95
3.5832	297.77
3.9997	316.51
4.1664	333.18
4.5829	349.83
4.9997	370.66
5.4163	389.4
5.7495	406.06
6.0828	418.55
6.5829	443.54
6.9162	456.03
7.3327	474.76
7.8326	495.58
8.1661	514.35
8.5827	526.85
8.9159	543.48
9.416	555.98
9.7493	570.57
10.083	587.21
10.416	595.53
10.749	608.03
11.166	622.62
11.499	637.21
11.832	649.71
12.249	660.12
12.416	670.53
12.749	678.84
12.999	689.25
13.249	701.75
13.499	712.16
13.832	701.75
13.666	691.34
13.666	683.02
13.582	670.53
13.666	660.12
13.666	645.53
13.582	630.94
13.416	614.3
13.499	599.71
13.499	587.21
13.332	570.57
13.249	545.57
13.249	528.89
13.166	508.08
13.166	487.26
13.082	474.76
12.999	453.94
12.999	439.37
12.916	422.71
12.832	408.14
12.832	391.48
12.749	376.9
12.666	356.08
12.499	337.34
12.416	314.43
12.332	293.61
12.166	272.79
11.916	247.8
11.666	226.97
11.416	204.07
11.166	183.24
10.999	158.26
10.833	137.43
10.416	116.61
10.249	91.624
9.9159	70.798
9.4993	54.139
9.1658	35.4
8.9992	18.741
8.5827	2.0823
8.416	-20.823
8.1661	-37.482
7.7493	-54.139
7.5827	-72.88
7.3327	-89.543
6.9995	-106.2
6.6662	-127.02
6.4996	-147.85
6.2494	-168.67
5.8329	-189.49
5.5829	-210.32
5.2497	-231.14
4.8329	-251.97
4.6662	-270.71
4.2497	-291.53
3.6665	-314.43
3.333	-333.18
2.9164	-351.92
2.4165	-368.58
1.9165	-387.32
1.5832	-406.06
1.1666	-420.63
0.83327	-437.29
0.3333	-456.03
-0.16665	-474.76
-0.74994	-495.58
-1.2499	-516.44
-1.7499	-537.26
-2.3331	-558.07
-2.9164	-578.89
-3.4996	-595.53
-4.083	-616.39
-4.7495	-635.12
-5.4163	-655.93
-6.2494	-680.93
-7.0828	-701.75
-7.5827	-716.34
-8.1661	-735.07
-9.1658	-753.8
-9.7493	-768.39
-10.499	-778.79
-11.332	-795.43
-12.249	-805.88
-12.832	-816.29
-13.166	-820.43
-13.499	-822.52
-13.999	-828.79
-14.332	-830.84
-14.166	-816.29
-14.166	-801.7
-14.082	-789.2
-14.166	-768.39
-14.082	-745.48
-14.249	-728.8
-14.082	-712.16
-14.166	-687.16
-13.999	-672.62
-14.082	-653.84
-13.999	-635.12
-13.999	-624.71
-13.999	-603.89
-13.832	-589.3
-13.832	-572.66
-13.666	-551.8
-13.582	-535.17
-13.582	-520.58
-13.416	-503.94
-13.499	-483.12
-13.332	-464.35
-13.249	-451.85
-13.166	-433.13
-13.082	-422.71
-12.999	-412.3
-12.916	-399.81
-12.749	-376.9
-12.582	-351.92
-12.332	-337.34
-12.249	-318.6
-12.082	-306.1
-11.916	-287.36
-11.582	-272.79
-11.249	-243.63
-10.999	-231.14
-10.749	-210.32
-10.416	-185.33
-10.166	-168.67
-9.9992	-152.01
-9.666	-129.11
-9.416	-106.2
-9.2492	-81.211
-8.9992	-66.634
-8.7493	-45.812
-8.4993	-29.153
