"Saatcioglu, 1999, Specimen RC-7"	
3294	
-0.06	-1.108906387
-0.02	-1.212968796
-0.01	-0.421484398
2.08	16.94875424
3.08	22.74719289
3.46	23.08359932
3.51	23.91102121
3.63	24.37883372
3.92	25.35188056
4.06	27.06266176
5.14	30.73297285
5.73	32.27054938
6.28	33.66218791
7.16	36.9328082
7.64	38.20405485
8.28	39.67904946
8.52	41.05467215
9	41.43591703
9.07	42.06630685
9.33	42.62489747
9.49	42.61864545
9.73	43.51426725
9.85	43.77207809
9.93	43.09395195
10.04	43.35027847
10.05	43.2817627
10.09	43.18769961
10.11	42.64066806
9.09	28.08927536
7.83	20.59225649
6.35	13.03257822
4.56	6.25688008
-0.9	-14.84359576
-2.97	-21.87086468
-3.09	-22.74867727
-3.59	-23.48289622
-4.26	-26.89234913
-4.9	-27.36734832
-6.24	-32.21625058
-6.71	-33.21601395
-7.17	-34.79429251
-7.98	-36.09452088
-9.38	-39.71231873
-9.67	-40.95536182
-9.86	-40.36356232
-9.96	-40.75840464
-10.07	-41.05473115
-10.1	-40.74918383
-10.15	-40.57660495
-9.84	-33.95059385
-8.96	-25.54997998
-8.36	-23.47092371
-7.19	-18.08726113
-6.93	-16.63866897
-6.66	-15.45859234
-5.57	-9.686799872
-4.52	-5.360942627
-3.38	0.628275702
-2.83	1.679916686
-0.26	11.53140566
0.56	14.89312627
1.13	16.63773688
1.98	20.72391034
2.75	22.41820824
3.13	24.0946148
3.22	25.07797423
3.75	26.08664622
4.82	30.30547346
5.46	32.47047206
6.01	33.45211089
7.09	36.81241801
7.26	38.2576513
7.56	38.57218045
7.99	39.25600517
8.38	40.28389227
8.61	41.03803062
8.83	41.86068455
8.88	42.31810587
9.42	43.70825572
9.61	43.90645637
9.76	44.40871997
9.95	44.78692041
10.02	44.58731002
7.99	23.57600517
6.23	15.56476625
3.09	2.938677273
2.56	-0.279995096
0.37	-8.185077283
-0.33	-9.838985127
-2.56	-18.0900049
-5	-26.03219189
-5.36	-27.80562858
-6.09	-29.60398557
-6.97	-32.56460624
-7.57	-33.92366475
-8.29	-35.79053375
-8.4	-36.42686083
-8.77	-37.48177894
-9.52	-39.35309818
-9.46	-39.54419271
-10.31	-41.40035249
-10.39	-40.92222623
-10.36	-40.57777358
-10.22	-36.04699451
-9.45	-28.62270846
-8.72	-24.4543576
-8.62	-23.91951489
-7.64	-19.84405485
-7.6	-18.59811765
-7.02	-16.96202781
-5.97	-11.67617354
-3.33	-0.394302403
-2.5	3.068901419
-0.61	10.54945174
1.29	17.4814872
1.79	18.31570689
2.73	22.14523947
3.22	23.55797423
3.53	25.08398996
3.84	26.03000558
4.06	26.27266176
4.54	28.20391135
4.68	29.08469242
5.08	29.97406673
5.27	30.51226943
5.44	31.64750337
6.01	32.93211089
6.18	34.19734458
6.56	35.2237491
7.16	36.5528082
7.4	37.9584316
7.59	38.54663335
8.16	39.63123806
8.56	41.17060925
9.07	42.55630685
9.31	43.03192897
9.66	44.12387758
