"Soderstrom, 2001,C1"	
7998	
0.016840665	-2.134833779
-0.462231088	-4.485395123
-0.360155855	-6.858661714
-0.604955758	-9.129754696
-0.869817858	-9.765667938
-0.76881005	-8.925365892
-0.700447569	-6.597495933
-0.392117076	-3.849495742
-0.14194832	0.011352623
0.080535558	3.372533087
0.2487793	4.939583224
0.387522281	6.745080035
0.67966842	8.720935503
0.693247927	9.163784842
0.501432912	7.426417633
0.821988862	5.075842427
0.454397833	3.088648197
0.325133228	1.601108007
-0.216605712	-3.735927925
-0.639586129	-6.018373529
-0.719753599	-8.266733541
-0.712570606	-9.254661275
-0.5957657	-8.209942701
-0.555775927	-5.791265617
-0.008768763	-3.440690411
0.012528959	-0.74948106
0.248256502	1.567050137
0.288909568	3.361180464
0.460367181	4.871453623
0.566862317	6.835928745
0.744000912	8.891252576
0.74140189	9.209209197
0.626697068	7.437756394
0.452352018	5.007698964
0.27404619	3.293064724
0.006264598	0.374705876
-0.374740176	-4.065251031
-0.585136335	-6.870028199
-0.689816413	-9.663466606
-1.291327398	-12.05943844
-1.187384821	-13.88766822
-1.355861109	-14.59169721
-1.370818329	-13.22904973
-1.127987371	-10.65136662
-0.947223981	-9.004848116
-0.589276265	-6.756460381
-0.683110482	-4.621668188
-0.327909804	-2.293798228
-0.168444958	1.135525698
0.095134142	3.077295574
0.363670208	4.894158869
0.482515009	6.779165628
0.680159066	9.459008494
0.909396984	11.73011534
1.068614006	13.72866219
1.329609312	15.10266229
0.975263689	14.97775571
1.235315967	12.66123837
1.029586522	9.697496753
0.834923062	7.028964925
0.764084117	4.791971398
0.289181833	3.281712101
0.349132444	1.6465185
-0.019820343	-0.05679084
-0.453266929	-3.190877253
-0.569666592	-5.439237264
-0.745138141	-7.744388115
-1.020520538	-10.12902119
-1.256456867	-12.45687729
-1.41209294	-13.81953862
-1.206847303	-13.39936681
-1.217680692	-10.83306404
-0.840831266	-7.914732911
-0.71056446	-5.14398589
-0.512058839	-2.725308805
-0.294588758	-0.49965404
-0.035289941	1.48754019
0.163302922	3.009165972
0.430757255	4.701122689
0.661823765	6.43850376
0.68455521	8.17587097
0.863079133	10.70812973
1.296045445	13.0019141
1.648469505	14.56896424
1.237036216	13.92169837
1.173908933	11.19640343
1.02399856	8.244014433
0.767858764	5.893439227
0.127631503	4.167410779
0.279166445	2.679856728
0.055220368	1.067382236
-0.161978414	-1.010646842
-0.830327896	-2.645826581
-0.675834471	-4.701164274
-0.677452298	-6.4952946
-1.009113031	-8.561984916
-0.910788733	-10.7081436
-1.143589026	-13.00194182
-1.53029074	-14.8301716
-1.675553564	-16.24959605
-1.714532746	-16.17009997
-1.67489211	-16.05653215
-2.271096899	-16.02246042
-1.907507239	-14.33051756
-1.718875687	-14.35322281
-1.707109592	-14.44408538
-1.583558168	-12.75212866
-1.40178322	-10.81035879
-1.220389656	-8.539265808
-1.091834757	-6.268186688
-0.868520501	-4.0993089
-0.680208642	-2.452762677
