"Sritharan 1996_Specimen_No._IC2"	
4289	
-0.3937	157.86
1.4748	178.26
3.4668	194.56
5.4578	212.56
7.4798	233.06
9.3738	253.36
10.3878	261.96
10.2028	241.16
9.4078	220.86
8.5168	200.66
7.5418	180.06
6.5178	160.66
5.3848	140.16
4.1448	119.36
2.8848	99.63
1.4308	79.25
-0.0572	58.75
-1.5752	38.26
-3.1672	17.468
-4.7242	-3.87
-6.7482	-22.85
-8.5752	-43.18
-10.4522	-63.19
-11.2322	-70.51
-11.2622	-71.25
-10.2722	-50.83
-8.8152	-30.33
-7.3772	-10.28
-5.5352	11.172
-3.9292	30.84
-2.3002	50.99
-0.7352	71.18
0.7794	91.46
2.1928	111.84
3.5358	132.36
4.8848	153.56
6.1298	173.76
7.2738	194.06
8.3618	214.26
9.4898	234.26
10.6178	254.96
11.8778	274.86
13.5878	294.86
14.7178	301.46
14.7978	301.16
14.3778	277.26
13.5278	258.16
12.6178	237.76
11.6378	216.56
10.6278	196.36
9.6088	176.56
8.4848	156.16
7.3028	135.26
6.0498	115.56
4.6658	95.34
3.2068	74.98
1.7648	55.17
0.1556	34.78
-1.6272	14.4349
-3.3182	-6.11
-5.3342	-24.95
-7.3852	-45.2
-9.3722	-66.33
-10.8822	-86.74
-12.4122	-106.74
-13.9222	-126.64
-15.2322	-140.14
-15.2422	-139.34
-14.4322	-118.14
-13.4622	-98.14
-12.2922	-77.19
-11.0522	-57.11
-9.5382	-36.7
-7.0912	-8.7
-5.1002	10.927
-3.2512	31.72
-1.6082	51.2
-0.00640002	71.58
1.6508	92.46
3.2038	112.6
4.6958	132.66
6.1468	152.96
7.5568	174.06
8.8158	194.16
10.0648	215.36
11.2878	235.76
12.3878	255.76
13.6178	275.76
14.7578	292.86
14.0278	272.46
13.0978	251.16
12.1278	230.76
11.1378	210.36
10.0838	189.66
9.0138	169.16
7.9308	149.26
6.6928	128.46
5.3418	107.18
3.8908	86.48
2.3728	65.86
0.7286	44.78
-0.9702	24.97
-2.6272	4.615
-4.6642	-14.75
-6.6912	-35.58
-8.7182	-55.79
-10.3122	-76.52
-11.7822	-96.14
-13.2322	-116.24
-14.6622	-136.94
-16.0822	-157.64
-15.9922	-153.64
-15.3422	-133.94
-14.1422	-113.24
-13.0522	-93.14
-11.8422	-72.63
-10.5822	-52.54
-8.9822	-31.75
-7.1612	-11.44
-5.1542	7.235
-3.2212	28.04
-1.6352	48.21
0.027	68.37
1.6878	88.84
3.2888	108.67
4.8248	129.36
6.2678	149.56
7.5818	169.66
8.8388	189.76
10.0898	210.46
11.2178	230.26
12.3578	250.46
13.5578	272.46
14.6578	288.26
14.6778	288.46
14.2178	267.16
13.2778	245.86
12.2678	224.06
11.2678	203.66
10.2008	183.06
9.0968	162.46
7.8998	140.66
6.6528	120.16
5.3068	100.3
3.9008	80.89
2.2698	60.87
0.5096	40.08
-1.1482	19.827
-2.8352	-0.7
-4.8942	-20.26
-6.9312	-40.62
-8.9172	-61.15
-10.3822	-81.51
-11.8922	-101.24
-13.3022	-121.74
-14.8022	-142.24
-16.2922	-162.64
-17.7822	-182.64
-16.9322	-161.34
-16.7922	-158.24
-16.6622	-154.74
-15.7422	-134.34
-14.6622	-112.84
-13.3422	-90.14
-12.0622	-69.93
-10.6622	-48.97
-9.0682	-29.24
-7.2232	-9
-5.2812	8.491
-3.4132	29.08
-1.6302	49.79
0.1095	70.37
1.7478	90.1
3.4128	110.41
5.0398	131.36
6.6798	152.36
8.0928	173.66
9.3518	193.56
10.5278	213.66
11.6778	233.36
12.7878	253.36
13.9378	273.56
15.1178	293.66
16.5178	313.76
18.5178	330.36
20.5178	342.16
22.1778	347.16
22.2278	346.16
21.9478	325.16
21.1178	304.46
20.0778	282.36
19.0778	261.86
17.9978	241.76
16.9378	221.16
15.8178	200.46
14.7478	180.36
13.6378	160.26
12.4378	140.06
11.1378	119.26
9.7808	98.78
8.2568	77.72
6.6198	57.12
4.8708	36.34
3.1888	16.135
1.1446	-4.45
-0.8552	-19.62
-2.8782	-35.9
-4.9052	-51.85
-6.9662	-69.27
-9.0122	-89.34
-10.9522	-109.94
-12.8322	-129.54
-14.4322	-150.84
-16.2222	-171.74
-18.1622	-191.84
-20.1522	-211.94
-22.1622	-228.84
-22.5522	-230.34
-22.6922	-230.34
-22.7022	-229.64
-21.8522	-208.84
-20.8122	-187.04
-19.7322	-165.84
-18.5422	-144.44
-17.4322	-124.94
-16.1322	-103.84
-14.7722	-82.14
-13.3122	-61.4
-11.7422	-41.11
-9.7622	-21.73
-7.7182	-2.49
-5.6832	13.4238
-3.7512	33.37
-1.7652	53.96
0.2492	73.32
2.2668	92.86
4.3038	112.92
6.2758	132.96
8.0868	153.06
9.8398	174.16
11.4078	194.46
12.8778	214.76
14.3378	235.86
15.7978	255.76
17.2078	275.36
18.7278	295.36
20.2378	315.66
22.0078	335.86
22.2678	338.96
21.4378	318.56
20.5478	298.46
19.5278	277.66
18.4778	256.46
17.4278	235.46
16.3278	213.66
15.2078	193.06
14.0278	172.06
12.8378	151.86
11.6078	131.86
10.3278	110.86
8.9758	90.85
7.2838	69.94
5.5958	49.81
3.8278	29.08
2.1798	8.92
0.1651	-9.39
-2.0032	-26.25
-3.9542	-41.34
-6.0432	-57.97
-8.1252	-77.25
-10.1422	-97.44
-12.0222	-117.74
-13.8222	-138.74
-15.5622	-158.94
-17.4622	-179.34
-19.2722	-199.74
-21.1322	-219.54
-22.7922	-233.14
-21.7722	-212.54
-20.8022	-192.14
-19.7622	-171.44
-18.5622	-149.84
-17.4622	-130.34
-16.0822	-108.64
-14.7922	-88.34
-13.4022	-67.82
-11.8522	-47.95
-10.0622	-27.94
-8.0392	-8.56
-5.9862	7.725
-3.9452	26.75
-1.9652	46.85
0.0571	66.44
2.0558	86.51
4.1608	106.95
