"Sritharan 1996, Specimen No. IC3"	
3344	
0.886	30.2
1.344	34.51
2.339	46.9
2.779	54.24
3.184	65.74
3.444	74.99
3.676	80.19
3.782	67.6
3.801	65.73
3.816	83.96
3.92	69.02
3.919	85.51
3.921	68.44
3.781	61.69
3.369	56.59
3.137	51.49
2.913	46.47
2.786	43.73
2.223	35.43
1.643	29.95
1.25	24.34
1.024	18.46
0.583	13.21
0.234	7.994
0.14	2.643
-0.048	-2.741
-0.212	-7.96
-0.441	-12.98
-0.32	-7.83
-0.202	-2.791
-0.083	2.106
-0.036	5.508
-0.022	5.355
0	6.796
0.026	7.163
0.032	7.225
0.068	6.99
0.079	7
0.093	6.959
0.1	6.508
0.107	6.401
0.117	6.343
0.12	6.345
0.122	5.899
0.137	5.504
0.138	5.564
0.135	5.498
0.141	5.593
0.14	5.409
0.143	5.388
0.146	5.479
0.143	5.466
0.137	5.384
0.139	5.5
0.141	5.531
0.144	5.485
0.146	5.471
0.142	5.39
0.14	5.535
0.143	5.652
0.137	5.619
0.14	5.934
0.144	6.109
0.146	6.085
0.147	6.339
0.144	6.351
0.137	6.039
0.138	6.165
0.139	6.256
0.14	6.339
0.141	6.409
0.143	6.399
0.138	6.44
0.124	6.899
0.109	1.88
0.11	-3.144
0.107	4.268
0.153	9.733
0.24	14.54
0.362	19.77
0.466	25.63
0.58	30.95
0.705	36.74
0.837	43.36
0.985	48.75
1.096	53.81
1.225	59.13
1.372	64.36
1.539	69.67
1.713	74.42
1.858	77.57
1.915	80.27
1.806	75.22
1.722	71.36
1.58	66.31
1.489	61.27
1.258	53.39
1.112	47.88
1.059	43.87
0.868	37.16
0.754	30.92
0.611	23.48
0.472	16.32
0.293	11.29
0.237	5.954
0.128	0.15
0.003	-5.66
-0.127	-11.34
-0.294	-16.91
-0.424	-22.17
-0.546	-27.27
-0.659	-32.63
-0.561	-27.45
-0.489	-22.42
-0.427	-16.74
-0.514	-22.47
-0.584	-27.01
-0.708	-33.38
-0.804	-38.57
-0.883	-43.72
-0.971	-49.02
-1.149	-54.32
-1.267	-59.48
-1.408	-64.66
-1.489	-66.89
-1.877	-60.97
-1.787	-57.06
-1.717	-50
-1.619	-44.99
-1.523	-38.14
-1.459	-34.15
-1.364	-28.5
-1.253	-23.79
-1.194	-18.47
-1.003	-13.23
-0.961	-7.38
-0.733	-1.534
-0.721	-3.34
-0.636	2.193
-0.658	-3.072
-0.786	2.389
-0.747	6.353
-0.601	14.22
-0.475	19.5
-0.276	24.73
-0.178	29.72
-0.074	34.76
0.041	40.01
0.207	45.25
0.303	50.27
0.456	55.48
0.632	60.52
0.777	66
0.966	70.83
1.164	76.39
1.323	80.95
1.511	84.35
1.593	91.1
1.781	96.41
2.122	101.5
2.338	106.7
2.588	112.1
2.77	117.2
3.035	122.3
3.299	127.6
3.452	131.3
3.592	133.7
3.596	128.1
3.408	122.9
3.242	117.9
3.05	112.7
2.809	107.2
2.561	100.5
2.375	95.53
2.123	89.99
1.928	84.59
1.765	79.2
1.565	72.96
1.296	67.36
1.124	62.35
1.015	56.72
0.776	51.18
0.638	45.11
0.482	39.96
0.29	34.02
0.183	28.79
-0.01	21.77
-0.164	16.6
-0.343	10.19
-0.492	4.849
-0.534	-0.257
-0.636	-6.108
-0.779	-10.89
-0.916	-16.81
-1.037	-22.16
-1.194	-27.33
-1.284	-33.66
-1.461	-39.88
-1.324	-26.53
-1.348	-33.06
-1.467	-38.54
-1.545	-45.39
-1.667	-50.37
-1.809	-56.2
-1.91	-61.34
-2.015	-67.36
-2.148	-72.97
-2.289	-78.02
-2.326	-79.9
-2.441	-84.82
-2.65	-90.51
-2.778	-95.92
-2.936	-100.9
-3.191	-107.6
-3.439	-112.6
-3.588	-118.2
-3.834	-124.4
-4.132	-129.6
-4.233	-131.9
-4.27	-132.3
-4.315	-131.7
-4.315	-132.5
-4.339	-128.6
-4.222	-121.3
-4.137	-115.4
-4.05	-113.2
-3.908	-104.2
-3.849	-98.48
-3.531	-92.58
-3.431	-85.95
-3.182	-80.89
-3.15	-75.44
-2.892	-70.39
-2.765	-64.2
-2.623	-58.92
-2.433	-53.09
-2.323	-48.4
-2.174	-43.04
-2.053	-37.44
-1.901	-32.32
-1.751	-26.12
-1.622	-21.61
-1.495	-16.31
-1.33	-10.54
-1.219	-5.905
-1.005	0.194
-0.844	6.161
-0.684	11.46
-0.522	16.59
-0.413	21.8
-0.266	27.17
-0.131	32.88
0.029	38.85
0.213	43.27
0.346	48.37
0.505	53.64
0.656	58.54
0.827	63.67
1.053	68.95
1.214	73.9
1.396	78.93
1.653	84.74
1.84	89.66
2.027	94.7
2.28	100
2.436	106.4
2.735	111.6
3.054	117.8
3.267	122.6
3.407	128
3.758	133
3.996	138.5
4.238	143.3
4.498	148.5
4.723	153.7
4.982	158.7
5.266	163.8
5.522	168.8
5.801	174
6.06	179.1
6.306	184.3
6.593	189.4
6.887	194.5
7.139	199.6
7.246	201.1
7.266	201.2
7.316	194.4
7.06	189
6.929	183.9
6.721	178.7
6.559	173.5
6.348	168.4
6.003	163.1
5.72	157.3
5.516	152.3
5.29	147.2
5.043	142.1
4.791	136.8
4.504	130.3
4.294	125.4
4.081	120.5
3.823	114.8
3.592	108.6
3.268	101.4
3.03	97.73
2.813	92
2.552	86.1
2.313	80.03
2.124	74.68
1.972	70.03
1.803	64.59
1.559	59
1.289	53.09
1.174	48.64
1.026	42.81
0.866	37.72
0.755	32.69
0.511	25.7
0.413	21.27
0.225	15.23
0.002	9.187
-0.126	4.445
-0.319	-0.85
-0.506	-6.5
-0.64	-12.43
-0.771	-17.91
-0.894	-23.9
-1.157	-29.75
-1.249	-35.96
-1.508	-41.95
-1.607	-47.87
-1.771	-52.93
-1.946	-58.41
-2.146	-64.39
-2.269	-70.87
-2.503	-76.21
-2.553	-81.22
-2.773	-86.86
-2.945	-91.99
-3.082	-97.08
-3.246	-104.3
-3.35	-108.1
-3.532	-114.7
-3.738	-120.7
-3.894	-125
-4.059	-131.9
-4.219	-136.4
-4.524	-142.9
-4.624	-148
-4.889	-153
-5.101	-158.4
-5.361	-163.6
-5.557	-169.7
-5.786	-174.7
-6.046	-180.1
-6.305	-185.5
-6.555	-190.9
-6.824	-196
-7.028	-198.7
-7.324	-193.5
-7.207	-187.4
-7.089	-182.4
-6.974	-178
-6.812	-172
-6.677	-165.7
-6.565	-159.9
-6.417	-154.7
-6.156	-148
-6.077	-142.3
-5.635	-136.6
-5.471	-130.7
-5.283	-126
-5.144	-120.9
-4.939	-115.8
-4.763	-110.6
-4.623	-105.5
-4.443	-99.88
-4.245	-94.65
-4.083	-89.42
-3.91	-84.28
-3.763	-79.04
-3.551	-73.65
-3.42	-68.48
-3.213	-63.18
-3.049	-57.88
-2.912	-52.86
-2.716	-46.43
-2.545	-41.81
-2.403	-36.53
-2.231	-30.9
-2.054	-24.94
-1.885	-19.42
-1.64	-13.76
-1.54	-8.42
-1.384	-3.57
-1.161	2.877
-0.997	8.577
-0.836	14.57
-0.683	19.03
-0.521	24.42
-0.378	29.57
-0.172	35.86
0.005	40.66
0.191	46.07
0.372	51.49
0.518	56.79
0.778	62.27
1.005	68.22
1.249	73.85
1.465	79.05
1.715	84.45
1.924	89.45
2.168	95.09
2.386	100.5
2.562	105.5
2.788	110.6
3.069	116.5
3.315	120.8
3.551	126.2
3.829	131.5
4.119	137.5
4.344	142
4.582	147.2
4.87	152.4
5.119	157.7
5.38	163
5.666	168.3
5.97	173.9
6.186	178.7
6.439	184.3
6.668	189.3
6.962	194.5
7.246	200.4
7.466	204.9
7.686	210
7.936	215.5
8.146	220.1
8.406	225.2
8.666	231
8.916	235.6
9.176	241.2
9.446	245.8
9.716	251
9.746	251.2
9.806	252
10.08	246.2
9.826	241.5
9.666	235.9
9.386	227.9
9.296	225.3
8.986	219.9
8.646	213.4
8.416	207.9
8.326	203
8.046	197.7
7.826	192.1
7.586	188.4
7.246	181.7
7.084	176.1
6.76	170.9
6.465	164.7
6.258	158.8
5.905	153.1
5.679	147.9
5.42	142.5
5.119	136
4.875	131
4.601	125.7
4.345	120.4
4.09	115.2
3.848	110.1
3.583	104.4
3.345	98.73
3.104	93.64
2.854	87.82
2.637	82.06
2.401	76.68
2.216	71.34
1.97	65.12
1.765	59.96
1.578	55.15
1.374	50.13
1.194	43.92
0.986	38.77
0.772	32.98
0.557	26.86
0.446	21.59
0.252	16.17
0.138	10.71
-0.049	5.006
-0.23	-0.873
-0.553	-7.29
-0.761	-13.8
-0.959	-20.84
-1.143	-26.19
-1.313	-31.55
-1.499	-36.61
-1.651	-42.21
-1.896	-48.39
-2.071	-53.07
-2.258	-58.62
-2.427	-63.96
-2.663	-69.76
-2.816	-74.52
-3.032	-80.24
-3.197	-85.59
-3.429	-91.1
-3.634	-96.98
-3.8	-103.5
-3.96	-108.6
-4.218	-113.7
-4.342	-118.7
-4.609	-125.3
-4.763	-129.1
-4.872	-134.3
-5.14	-139.7
-5.271	-144.8
-5.515	-150.1
-5.669	-156.7
-5.871	-162.6
-6.142	-167.9
-6.276	-173.1
-6.524	-178.4
-6.642	-184.1
-6.918	-189.5
-7.128	-194.7
-7.36	-200.9
-7.539	-205.2
-7.764	-210.3
-7.932	-216.8
-8.28	-222.3
-8.506	-226.1
-8.835	-234.6
-9.091	-239.2
-9.447	-245
-9.722	-250.1
-9.743	-249.8
-9.748	-250.4
-10.26	-247.4
-10.17	-242.1
-10.08	-235.7
-9.864	-228.8
-9.751	-223.6
-9.545	-216.7
-9.123	-211.5
-8.945	-205.5
-8.69	-198.6
-8.551	-193.6
-8.36	-188.4
-8.15	-182.6
-7.947	-177.1
-7.749	-171.3
-7.553	-166.2
-7.316	-160.6
-7.121	-155
-6.922	-149.2
-6.647	-141.8
-6.43	-136.6
-6.27	-132.1
-6.059	-126.3
-5.856	-120.5
-5.627	-115.5
-5.494	-110.3
-5.243	-104.1
-5.059	-99.18
-4.853	-93.36
-4.629	-88.14
-4.425	-82.61
-4.259	-77.58
-3.975	-71.78
-3.798	-65.9
-3.572	-60.82
-3.421	-55.13
-3.17	-49.63
-3.028	-44.59
-2.825	-39.42
-2.641	-33.38
-2.411	-28.34
-2.236	-23.3
-2.036	-18.04
-1.888	-12.71
-1.706	-7.89
-1.439	-2.902
-1.346	0.233
-1.345	5.433
-1.348	-0.05
-1.178	4.958
-0.396	30.18
0.527	55.23
1.618	80.53
2.802	106.1
4.116	131.6
5.479	157.8
6.679	182.7
7.926	207.9
9.176	233.7
10.32	258.3
11.55	283.7
12.65	303.8
14.29	328.9
14.92	333.2
14.95	333.1
15.03	330.2
14.34	305
13.32	279.4
12.16	252.7
11.03	228.3
9.756	201.7
8.426	174.3
7.206	149.1
5.715	121.3
4.485	96.77
3.291	70.91
2.054	43.22
1.137	20.15
0.052	-5.839
-1.037	-34.11
-2.016	-57.92
-3.123	-84.14
-4.181	-110
-5.27	-136
-6.325	-161.8
-7.336	-187.1
-8.398	-212.9
-9.462	-238.8
-10.68	-264.9
-12.1	-290
-14.56	-305.1
-15.1	-312.1
-15.06	-286.5
-13.14	-260.8
-11.75	-235.5
-10.51	-208.2
-9.489	-182.8
-8.36	-155.8
-7.208	-130.6
-6.228	-105.2
-5.1	-78.79
-4.005	-52.66
-2.916	-25.6
-1.97	0.58
-0.586	27.37
0.201	52.46
1.36	79.01
2.663	101.7
3.934	129.5
5.465	156.2
6.838	182.7
8.326	209.4
9.636	234.9
10.89	261.2
12.36	287.3
13.61	313
14.92	333.4
14.35	307.8
13.27	281
12.16	256.5
10.94	230.2
9.746	205.7
8.436	180
7.146	153.4
5.79	127.6
4.428	101.7
3.192	76.64
2.025	50.6
0.95	23.75
0.114	-0.451
-1.117	-26.55
-2.271	-53.8
-3.301	-77.7
-4.446	-103.7
-5.571	-129.3
-6.684	-154.9
-7.856	-181.8
-8.961	-206
-10.13	-232.2
-11.25	-257.1
-12.41	-282.2
-14.8	-298.3
-13.83	-274.3
-11.91	-243.1
-11.01	-219.9
-9.675	-192.1
-8.713	-168.4
-7.628	-142.6
-6.577	-116.5
-5.396	-91.39
-4.344	-65.38
-3.216	-41.43
-2.292	-12.55
-1.165	12.94
0.031	43.04
0.967	66.48
2.189	91.76
3.464	116.8
4.89	142
6.287	164.9
7.606	191.4
8.966	218.6
10.5	241.9
11.8	270.2
12.97	296.8
14.44	321.9
14.88	327.8
14.89	317.7
14.3	291.5
13.19	265.2
11.99	239.6
10.81	214.4
9.396	186.7
8.126	162.4
6.784	137.1
5.481	112
4.079	85.04
2.845	60.42
1.696	34.06
0.725	9.978
-0.466	-15.91
-1.487	-41.96
-2.632	-67.86
-3.765	-93.8
-4.905	-119.1
-6.078	-145.7
-7.186	-170.4
-8.36	-196.7
-9.397	-220.7
-10.59	-246.2
-11.76	-271.4
-13.16	-297.4
-14.57	-293.6
-14.68	-295.4
-13.57	-269
-11.85	-238.2
-10.77	-214.8
-9.747	-189.7
-8.562	-163
-7.33	-134.2
-6.193	-109.4
-4.93	-84.26
-3.934	-58.66
-2.914	-30.89
-1.839	-5.056
-1.205	-4.773
-1.196	-4.085
-1.187	-8.27
-0.223	16.72
-0.972	-8.15
-1.113	-12.3
-0.599	13.83
0.303	41.41
1.4	68.33
2.749	94.22
4.06	120.9
5.518	146.3
6.787	172.7
8.356	198.1
9.766	224.9
11.19	250.9
12.26	276.3
13.72	300.5
15.02	326.7
16.61	352.7
19.08	371.2
21.07	381.2
22.27	385.1
22.48	359.5
21.38	330.2
20.34	306.9
19.13	280.6
17.84	254.5
16.42	226.3
15.08	201.3
13.64	175.7
12.14	149.5
10.61	123.6
9.046	97.18
7.656	72.74
6.225	46.42
4.728	18.86
3.249	-4.407
1.803	-29.9
0.083	-55.8
-1.702	-81.34
-3.314	-106.7
-4.837	-133
-6.167	-158.4
-7.476	-185.2
-8.626	-209.1
-9.887	-235.2
-11.1	-259.7
-12.34	-284.9
-14.87	-309.2
-16.66	-334.2
-19.11	-355.9
-21.62	-368.9
-22.28	-372.4
-22.3	-370.9
-21.71	-345.5
-21.12	-317.3
-20.19	-293.7
-18.99	-267.3
-16.44	-241.8
-15.12	-216.5
-13.8	-189.4
-12.52	-164.3
-11.23	-138.8
-9.933	-112.5
-8.476	-87.23
-7.176	-59.7
-5.127	-21.2
-3.785	2.141
-2.078	27.85
-0.19	54.33
1.575	80.58
3.352	106.2
5.172	131.9
6.817	157.1
8.636	183.7
10.34	210.6
12.08	235.2
13.87	260.6
15.47	287.1
17.53	312.7
19.34	338.1
21.48	363.6
22.3	370.9
22.35	371.3
21.66	346.2
20.68	320.5
19.43	294.3
18.17	268.1
16.92	244.1
15.58	218.2
14.17	192.9
12.73	167.6
11.19	141.1
9.686	116.1
8.126	89.25
6.742	65.32
5.161	39.29
3.473	10.97
1.732	-13.53
-0.142	-39.91
-2.022	-64.5
-3.884	-90.15
-5.582	-115.7
-7.074	-140.8
-8.486	-166.5
-9.877	-191.7
-11.31	-217.2
-12.88	-243
-14.36	-268.4
-16.46	-293.5
-18.95	-315.2
-20.79	-340.5
-21.75	-355
-22.04	-357.8
-22.11	-358.5
-21.51	-332.4
-20.54	-306.3
-19.4	-280.7
-17.95	-253.3
-15.39	-228.6
-14.17	-203
-12.83	-177.5
-11.46	-152.3
-10.05	-124.9
-8.606	-100.1
-7.387	-73.82
-5.84	-48.61
-4.61	-21.51
-2.795	5.066
-1.037	31.3
0.526	57
2.332	82.94
4.041	108.4
5.99	134.5
7.676	160.6
9.336	185.9
11.07	213.1
12.75	239.8
14.65	265.4
16.47	291.7
18.24	317.1
19.85	342.3
