"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH6"	
4153	
0	-0.4128
-0.25225	6.697
-0.272	6.651
-0.2885	5.229
-0.32	4.037
-0.363925	2.477
-0.3823	1.651
-0.406475	0.2752
-0.413975	-1.927
-0.4412	-5.55
-0.468425	-7.018
-0.468375	-11.28
-0.466875	-20.87
-0.495625	-9.22
-0.495625	0.8257
-0.482125	10.41
-0.40645	21.15
-0.339975	31.28
-0.2765	41.83
-0.23125	51.51
-0.17075	61.65
-0.11475	72.11
-0.04525	82.38
-0.03925	81.19
-0.01375	70.09
-0.0105	60.55
-0.01375	50.64
-0.02725	40.14
-0.06475	30.27
-0.0995	19.59
-0.1435	9.724
-0.21	0.2294
-0.24175	-6.33
-0.26	3.624
-0.266	14.04
-0.269	2.156
-0.2675	-8.578
-0.31275	-18.35
-0.35655	-28.39
-0.427675	-38.67
-0.492625	-48.81
-0.556275	-58.99
-0.601475	-69.36
-0.675625	-79.63
-0.748075	-90.73
-0.78435	-95.78
-0.823525	-85.96
-0.822025	-76.19
-0.820525	-85.04
-0.822025	-73.25
-0.820525	-62.84
-0.80555	-52.66
-0.74975	-40.14
-0.68915	-29.59
-0.619725	-19.4
-0.54705	-9.036
-0.48065	-0.0917
-0.424625	11.65
-0.36725	21.38
-0.3144	31.65
-0.25375	41.83
-0.192	51.56
-0.12075	61.92
-0.0635	72.47
0.00425	82.61
0.068	92.84
0.13	103.3
0.192	114.1
0.278	123.7
0.35675	134
0.42625	143.9
0.49725	154.5
0.57725	164.4
0.6485	172.6
0.68025	162.1
0.6785	151.8
0.677	141.8
0.671	131.7
0.67425	121.6
0.6305	111.3
0.60775	101
0.53225	91.01
0.467	81.01
0.39775	69.72
0.3235	59.31
0.2525	49.59
0.171	39.26
0.11025	28.94
0.0425	18.03
-0.00625	8.348
-0.083	-1.881
-0.1315	-12.02
-0.201	-22.16
-0.269	-32.29
-0.34005	-42.57
-0.40345	-52.61
-0.4731	-63.12
-0.52135	-73.25
-0.604625	-83.71
-0.65435	-94.17
-0.72855	-104.4
-0.80705	-114.3
-0.873675	-124.4
-0.947625	-134.7
-1.023275	-144.8
-1.08965	-155.2
-1.169875	-165.3
-1.245325	-175.3
-1.34075	-185.5
-1.35125	-186.4
-1.386	-176
-1.386	-166.1
-1.3875	-175.8
-1.3965	-166.4
-1.3965	-156.1
-1.3905	-145.5
-1.359	-133.9
-1.284875	-123.8
-1.22885	-112.3
-1.163975	-102.2
-1.073175	-92.15
-1.00505	-81.74
-0.94315	-71.69
-0.8859	-61.47
-0.81925	-51.33
-0.75435	-41.05
-0.678625	-31.19
-0.619775	-20.55
-0.56225	-10.69
-0.4913	-0.2752
-0.440025	9.724
-0.368875	20.18
-0.31905	30.09
-0.248	40.64
-0.18	50.55
-0.10575	60.92
-0.03025	71.01
0.03025	80.91
0.09975	91.37
0.171	101.8
0.23875	112.2
0.3055	121.9
0.4065	132.6
0.47925	143
0.55925	153.1
0.62275	163.1
0.68775	173.2
0.76025	183.6
0.83275	193.8
0.9295	204.2
1.02925	214.4
1.105	224.7
1.188	234.8
1.268	244.9
1.36175	255.1
1.4555	263.1
1.47525	252.4
1.47975	242.4
1.48575	232.6
1.48275	222.5
1.4675	212.4
1.463	222.4
1.47975	208.9
1.47825	199.8
1.463	189.1
1.433	178.5
1.34075	167.8
1.26975	157.5
1.1835	148.1
1.114	137.5
1.037	127.2
0.96425	116.8
0.907	106.9
0.8375	96.05
0.7695	86.14
0.69225	75.55
0.62875	65.36
0.55325	55.18
0.48075	45.09
0.41125	35.09
0.34175	24.72
0.2675	13.94
0.183	3.486
0.11325	-6.284
0.04375	-16.15
-0.02125	-26.42
-0.10275	-36.15
-0.1755	-46.83
-0.24625	-57.75
-0.311425	-67.8
-0.374775	-78.02
-0.4671	-88.39
-0.5214	-98.62
-0.597125	-108.7
-0.672525	-119.1
-0.75125	-128.9
-0.8251	-139.4
-0.920525	-149.7
-0.999175	-160.1
-1.06855	-170.5
-1.1533	-181
-1.233275	-190.9
-1.318	-201.1
-1.41	-211.4
-1.49475	-221.8
