"Watson and Park 1989, Spec. 10"	
764	
0	0
0.24046	13.708
0.64122	24.823
0.88168	34.455
1.2023	41.865
1.5229	53.721
2.0038	65.576
2.4847	75.211
2.8854	84.472
3.5268	93.733
3.9273	101.89
4.1679	108.55
4.4084	113.37
4.729	118.93
4.9695	121.52
5.0495	116.7
5.1298	109.29
5.2098	103.74
5.2901	95.214
4.9695	84.103
4.5687	74.098
4.0879	63.356
3.8473	52.609
3.2863	41.865
2.8054	28.898
2.4046	19.266
2.0038	11.115
1.6832	2.5934
1.3626	-4.4459
0.80152	-13.708
0.48092	-22.971
0.1603	-31.862
-0.24046	-42.606
-0.56106	-53.721
-0.96182	-65.576
-1.4427	-74.841
-1.9237	-84.472
-2.4046	-93.364
-3.0457	-101.14
-3.3665	-110.04
-3.6068	-115.59
-3.9273	-118.93
-4.2482	-121.15
-4.1679	-111.89
-4.0076	-102.26
-3.6871	-92.995
-3.3665	-84.103
-3.3665	-74.468
-3.126	-61.87
-2.8054	-49.277
-2.4046	-38.16
-1.8435	-26.676
-1.4427	-15.561
-0.56106	-1.8525
-0.080152	10.003
0.3206	22.6
0.88168	35.938
1.4427	54.464
2.084	65.949
2.6452	77.804
3.4465	91.14
4.1679	102.62
4.4884	113
4.9695	123
5.4503	134.49
6.0917	143.01
6.4122	147.08
6.5725	144.12
6.4122	136.34
6.4122	127.45
6.0114	116.33
5.7709	105.96
5.3703	95.214
4.8892	82.621
4.4084	69.281
3.8473	58.165
3.3665	47.422
3.126	38.16
2.8054	26.305
2.084	12.226
1.603	2.9639
1.1221	-7.7804
0.56106	-20.006
0.1603	-30.38
-0.24046	-44.459
-0.48092	-54.833
-1.1221	-66.688
-1.603	-79.654
-2.2443	-91.14
-2.8854	-100.4
-3.3665	-109.67
-3.9273	-118.93
-4.5687	-127.82
-5.1298	-135.97
-5.3703	-140.04
-5.7709	-143.01
-5.6106	-136.34
-5.8511	-128.56
-5.6909	-120.78
-5.4503	-112.26
-5.0495	-100.77
-4.8892	-92.621
-4.4884	-82.248
-4.0879	-71.505
-3.6068	-59.277
-3.0457	-48.904
-2.3244	-38.16
-1.9237	-28.157
-1.603	-15.561
-0.80152	-1.1115
-0.080152	11.856
0.48092	24.452
0.96182	38.901
1.5229	50.759
1.9237	63.356
2.5649	74.841
3.0457	87.434
3.9273	99.293
4.2482	109.67
4.649	120.78
5.2901	130.41
5.7709	139.67
6.332	145.97
6.5725	147.45
6.4922	141.53
6.4122	132.26
6.1717	121.15
5.7709	108.19
5.4503	97.438
5.0495	87.065
4.5687	74.468
4.2482	65.206
3.6871	55.572
3.3665	44.829
2.9657	33.715
2.4046	22.971
1.9237	11.856
1.5229	3.3344
1.1221	-5.1871
0.3206	-24.452
0.080152	-34.826
-0.24046	-44.829
-0.56106	-52.978
-0.96182	-63.725
-1.2824	-70.393
-1.6832	-79.654
-2.4847	-91.513
-3.126	-101.14
-3.6068	-111.15
-3.9273	-118.56
-4.3282	-126.34
-4.729	-133.75
-5.2901	-139.3
-5.6909	-142.27
-5.6909	-136.34
-5.5306	-128.56
-5.5306	-119.3
-5.2901	-108.55
-4.8892	-97.069
-4.4884	-84.103
-4.1679	-70.762
-3.4465	-54.833
-2.5649	-39.643
-1.7633	-23.341
-1.042	-10.374
