"Wong et al. 1990, Spec. 1"	
1496	
0	0
0.084033	-1.428
0.084033	17.136
0.16807	32.844
0.33614	48.552
0.58824	67.115
0.58824	82.826
0.67226	97.105
0.84033	115.67
0.84033	128.52
1.0924	144.23
1.4286	164.22
1.5126	175.64
1.6807	192.78
1.7647	209.92
2.1008	222.77
2.437	237.05
2.7732	251.33
3.1933	265.61
3.4453	272.75
3.6975	275.6
3.9497	268.46
4.0335	264.18
4.0335	249.9
3.9497	232.76
3.5293	217.06
3.2774	202.78
3.1933	187.07
2.9411	171.36
2.6891	154.22
2.437	139.95
2.1849	122.81
1.8487	102.82
1.5126	82.826
1.6807	75.682
1.2605	57.12
0.92438	38.556
0.75631	15.708
0.67226	-5.712
0.33614	-21.42
-0.084033	-54.264
-0.2521	-79.97
-0.42017	-102.82
-0.84033	-131.38
-1.1765	-164.22
-1.4286	-187.07
-1.7647	-208.49
-2.0168	-224.19
-2.1849	-239.91
-2.521	-252.76
-2.7732	-261.32
-3.1933	-265.61
-3.6134	-261.32
-3.5293	-245.62
-3.4453	-224.19
-3.1092	-208.49
-2.9411	-194.21
-2.6891	-175.64
-2.2689	-154.22
-2.2689	-137.09
-1.9328	-121.38
-1.5126	-97.105
-1.3445	-74.254
-1.0924	-51.408
-0.67226	-32.844
-0.33614	-9.996
0	17.136
0.2521	42.84
0.58824	69.971
1.0924	102.82
1.5126	124.23
1.8487	147.08
2.3529	179.93
2.7732	209.92
3.1933	235.62
3.7816	258.47
4.2017	265.61
3.9497	247.05
3.6134	225.62
3.4453	209.92
3.0251	188.5
2.6891	157.08
2.437	131.38
1.9328	108.53
1.8487	94.249
1.3445	67.115
1.1765	44.268
0.75631	24.276
0.58824	5.712
0.33614	-21.42
-0.16807	-54.264
-0.42017	-74.254
-0.67226	-95.677
-1.0924	-124.23
-1.3445	-139.95
-1.6807	-161.36
-2.0168	-187.07
-2.3529	-209.92
-2.521	-231.33
-2.8572	-244.19
-3.1933	-258.47
-3.6975	-267.04
-3.7816	-254.18
-3.3614	-225.62
-3.0251	-194.21
-2.605	-165.65
-2.0168	-137.09
-1.3445	-102.82
-1.1765	-68.543
-0.75631	-44.268
-0.58824	-9.996
-0.16807	14.28
0.084033	48.552
0.33614	78.542
1.0084	107.1
1.3445	131.38
2.0168	159.94
2.521	188.5
2.7732	208.49
3.1092	229.91
3.5293	251.33
4.2017	267.04
4.0335	249.9
3.6134	228.48
3.3614	204.2
3.0251	178.5
2.521	144.23
2.1849	111.38
