Displacement	Force
-174.41	-151.44
-173.48	-146.97
-139.86	-161.61
-138.03	-152.61
-102.41	-157.82
-94.94	-167.71
-68.33	-162.09
-66.88	-169.23
-51.07	-168.37
-37.02	-160.87
-33.63	-143.1
-12.6	-103.16
-1.98	2.25
-1.89	3.23
-1.58	6.5
-1.49	-16.88
-1.43	9.51
-1.16	12.46
-0.71	15.71
-0.51	18.84
-0.09	22.02
0.02	25.12
0.47	28.27
0.76	31.39
1.09	34.59
1.21	69.32
1.32	37.74
1.63	40.87
2.05	44.02
2.25	47.2
2.68	50.36
3.01	53.52
3.44	56.71
3.82	59.88
4.13	63.06
4.53	66.24
4.91	69.45
5.27	72.61
5.6	75.81
6.05	79.01
6.47	82.21
6.8	85.41
7.29	88.65
7.63	91.86
8.23	95.09
8.66	98.31
9.06	101.55
9.52	103.35
25.67	167.23
30.94	143.02
48.42	158.7
48.55	165.31
64.75	166.95
66.02	158.96
97.13	165.24
100.68	159.2
127.44	156.15
131.01	144.58
170.36	143.72
173.79	136.78
194.92	129.86
