Displacement	Force
-78.59565631	-354.7599366
-71.29308849	-364.1254408
-70.93133607	-374.1983905
-67.95196823	-293.0420596
-62.50913675	-367.1405977
-62.01789112	-376.6745032
-53.00503089	-376.0007335
-52.47199261	-365.0182034
-38.4686254	-378.4598592
-36.9516528	-378.81392
-33.5797084	-358.2468128
-33.1027052	-358.9037824
-31.3530838	-337.7637728
-29.9100028	-336.2986016
-27.2425892	-314.4006528
-25.8578533	-315.1421344
-23.2052546	-293.4127648
-22.6980729	-291.2901792
-21.0055163	-267.2700896
-19.1106723	-270.57184
-18.4626576	-247.006336
-17.8762802	-247.6464032
-17.8417121	-229.6062048
-17.6602753	-226.8266496
-15.13260827	-186.1474789
-15.0029212	-205.9899936
-13.4539411	-200.9370656
-12.0845688	-185.0021056
-10.262519	-180.6564096
-9.1678625	-164.6876448
-8.8080982	-159.7356864
-7.762276	-140.8699392
-7.3266082	-135.5803776
-6.3768085	-116.8832096
-6.1897018	-116.310752
-5.241914	-94.1770592
-5.1329056	-89.1236864
-4.5673788	-73.5930496
-4.4453845	-72.0771712
-3.5853887	-54.9968512
-3.4926584	-51.392192
-2.6178477	-33.55406624
-2.4440927	-29.51141248
-1.0999606	-1.07806176
-1.0966684	-1.0948752
-1.0950223	-1.14540448
-1.091913	-1.06120384
-1.0906327	-1.0948752
-1.0873405	-1.19593376
-1.0867918	-1.482296
-1.0849628	-1.11173312
-1.084597	-1.027488
-1.0840483	-1.46548256
-1.0829509	-1.06120384
-1.0822193	-1.0948752
-1.0811219	-1.49915392
-1.080939	-1.44862464
-1.0798416	-1.027488
-1.0783784	-1.24650752
-1.0778297	-1.027488
-1.0750862	-1.36437952
-1.0730743	-1.49915392
-1.0719769	-1.8697168
-1.0716111	-1.06120384
-1.0714282	-1.53282528
-1.0706966	-1.81918752
-1.0694163	-1.46548256
-1.0690505	-1.49915392
-1.0686847	-1.482296
-1.0677702	-1.8023296
-1.0672215	-1.04434592
-1.0655754	-1.49915392
-1.0652096	-1.0948752
-1.0650267	-1.38123744
-1.0641122	-1.56654112
-1.0639293	-1.49915392
-1.0633806	-1.49915392
-1.0630148	-2.05502048
-1.0628319	-1.26332096
-1.062649	-1.46548256
-1.0613687	-1.49915392
-1.0606371	-1.76865824
-1.0599055	-1.8023296
-1.0595397	-1.56654112
-1.0593568	-1.66759968
-1.058991	-2.0718784
-1.0586252	-1.8697168
-1.0575278	-1.83604544
-1.0573449	-1.92024608
-1.0569791	-1.83604544
-1.0556988	-1.75180032
-1.055333	-1.49915392
-1.0542356	-2.10554976
-1.0540527	-1.76865824
-1.0538698	-2.0718784
-1.0533211	-1.39809536
-1.0522237	-1.51601184
-1.0520408	-1.51601184
-1.0513092	-1.90343264
-1.0511263	-2.03816256
-1.0502118	-1.63392832
-1.0500289	-1.78551616
-1.0496631	-2.0718784
-1.0494802	-2.08869184
-1.0492973	-1.8023296
-1.0487486	-2.0718784
-1.0483828	-1.66759968
-1.0481999	-2.13922112
-1.048017	-2.0718784
-1.0476512	-1.46548256
-1.0474683	-1.6844576
-1.0471025	-1.6844576
